
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2008-11-21,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21501

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2008-11-20,10:50:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 204
* ® HØ

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
252.1,0,274.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.034,28.10,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
951.61,1.230,9.9,1.1,70,2,0,631,60,23.3
950.91,1.360,9.5,1.3,43,0,2,637,60,23.3
949.75,1.370,8.9,1.5,36,0,4,647,60,23.4
948.59,1.450,8.8,1.7,35,0,6,657,61,23.4
947.44,1.480,8.7,2.0,39,0,8,667,62,23.4
946.28,1.530,8.6,2.3,44,0,10,678,62,23.4
944.90,1.590,8.5,2.6,50,0,12,690,63,23.4
943.74,1.610,8.4,2.8,54,0,14,700,63,23.4
942.59,1.700,8.2,3.1,57,0,16,710,64,23.4
941.67,1.750,8.1,3.3,61,2,18,718,65,23.4
940.75,1.790,8.2,3.5,63,0,20,726,65,23.4
939.83,1.840,8.0,3.7,66,0,22,734,65,23.4
938.92,1.870,7.9,3.9,68,0,24,742,66,23.4
937.77,1.920,7.9,4.1,69,0,26,752,65,23.4
936.86,1.920,7.8,4.3,70,0,28,760,66,23.4
935.71,1.940,7.7,4.5,70,0,30,770,67,23.4
934.80,1.980,7.6,4.7,71,0,32,778,67,23.4
933.66,2.000,7.6,4.9,70,0,34,788,67,23.4
932.52,2.010,7.5,5.1,70,0,36,798,67,23.5
931.38,2.040,7.4,5.2,69,0,38,808,67,23.5
930.47,2.040,7.3,5.4,69,0,40,817,68,23.5
929.34,2.060,7.2,5.6,68,0,42,827,68,23.5
928.20,2.060,7.0,5.7,67,0,44,837,68,23.5
927.07,2.100,7.0,5.8,67,0,46,847,69,23.5
925.71,2.110,6.9,5.9,66,0,48,859,69,23.5
925.04,2.130,6.8,6.0,66,0,50,865,69,23.5
923.91,2.140,6.7,6.1,66,0,52,875,70,23.5
922.33,2.140,6.5,6.2,66,0,54,889,70,23.5
920.98,2.150,6.4,6.3,66,0,56,901,71,23.5
919.41,2.170,6.4,6.4,66,0,58,915,70,23.5
918.06,2.180,6.4,6.5,66,0,60,927,68,23.6
916.72,2.220,6.4,6.6,67,0,62,939,68,23.6
915.60,2.250,6.3,6.8,67,0,64,949,69,23.6
914.48,2.280,6.2,6.9,68,0,66,959,69,23.6
913.37,2.290,6.1,7.1,69,0,68,969,69,23.6
912.25,2.310,6.1,7.3,69,0,70,979,69,23.6
911.14,2.350,5.9,7.5,70,0,72,989,70,23.6
909.58,2.360,5.8,7.8,71,0,74,1003,70,23.6
908.03,2.400,5.7,8.0,72,0,76,1017,70,23.6
906.70,2.440,5.4,8.1,73,0,78,1029,71,23.6
905.38,2.510,5.6,8.3,74,0,80,1041,70,23.6
903.83,2.510,5.5,8.4,75,0,82,1055,70,23.6
902.51,2.540,5.5,8.5,76,0,84,1067,69,23.6
901.19,2.610,5.2,8.5,77,0,86,1079,69,23.6
899.65,2.620,5.1,8.5,78,0,88,1093,69,23.6
898.11,2.630,4.9,8.5,79,0,90,1107,69,23.7
896.80,2.720,4.9,8.5,80,0,92,1119,69,23.7
895.48,2.730,4.8,8.4,82,0,94,1131,70,23.7
893.95,2.740,4.6,8.3,83,0,96,1145,70,23.7
892.65,2.740,4.5,8.3,85,0,98,1157,71,23.7
891.12,2.750,4.4,8.2,86,0,100,1170,71,23.7
889.60,2.750,4.2,8.2,86,2,102,1184,71,23.7
888.30,2.800,4.2,8.2,87,0,104,1196,71,23.7
887.00,2.840,4.2,8.2,86,0,106,1208,70,23.7
885.92,2.850,4.3,8.1,86,0,108,1218,68,23.7
884.83,2.860,4.4,8.1,85,0,110,1228,67,23.7
883.54,2.870,4.3,8.0,83,0,112,1240,67,23.7
882.46,2.900,4.2,7.9,81,0,114,1250,68,23.7
881.38,2.930,4.1,7.8,79,0,116,1260,68,23.7
880.09,2.970,4.0,7.7,76,0,118,1272,68,23.7
878.59,3.010,4.1,7.6,74,0,120,1286,66,23.8
877.31,3.030,4.1,7.6,72,0,122,1298,66,23.8
876.02,3.040,4.2,7.5,69,0,124,1310,65,23.8
874.95,3.090,4.3,7.4,67,0,126,1319,64,23.8
873.89,3.110,4.3,7.4,65,0,128,1329,63,23.8
872.82,3.140,4.2,7.3,64,0,130,1339,62,23.8
871.75,3.170,4.2,7.3,62,0,132,1349,61,23.8
870.48,3.200,4.1,7.3,60,0,134,1361,60,23.8
869.42,3.210,4.1,7.3,58,0,136,1371,61,23.8
868.36,3.250,4.0,7.2,57,0,138,1381,61,23.8
867.30,3.260,3.9,7.2,55,0,140,1391,61,23.8
866.24,3.260,3.8,7.1,54,0,142,1401,61,23.8
865.18,3.270,3.7,7.1,53,0,144,1411,61,23.8
863.92,3.290,3.7,7.0,53,0,146,1423,61,23.8
862.65,3.300,3.7,6.9,52,0,148,1435,61,23.8
861.39,3.330,3.5,6.7,52,0,150,1447,61,23.8
860.13,3.340,3.5,6.6,52,0,152,1458,60,23.9
858.66,3.350,3.7,6.4,53,0,154,1472,59,23.9
857.19,3.360,3.7,6.3,53,0,156,1486,57,23.9
855.94,3.360,3.6,6.2,54,0,158,1498,57,23.9
854.68,3.370,3.6,6.1,55,0,160,1510,57,23.9
853.64,3.370,3.7,6.0,55,0,162,1520,56,23.9
852.60,3.370,3.7,6.0,55,0,164,1530,55,23.9
851.35,3.370,3.5,5.9,55,0,166,1542,55,23.9
850.11,3.370,3.4,5.9,55,0,168,1554,55,23.9
850.00,3.370,3.4,5.9,55,3,168,1555,55,23.9
848.65,3.370,3.3,5.8,54,0,170,1567,55,23.9
847.41,3.390,3.2,5.7,53,0,172,1579,55,23.9
846.17,3.390,3.1,5.6,52,0,174,1591,56,23.9
844.73,3.390,2.9,5.5,50,0,176,1605,56,23.9
843.49,3.390,2.8,5.4,48,0,178,1617,57,23.9
842.46,3.400,2.7,5.2,46,0,180,1627,57,23.9
841.64,3.390,2.6,5.1,45,0,182,1635,57,23.9
840.61,3.400,2.5,5.0,44,0,184,1644,58,24.0
839.79,3.410,2.4,5.0,43,0,186,1652,58,24.0
838.97,3.410,2.3,4.9,43,0,188,1660,58,24.0
838.15,3.390,2.3,5.0,42,0,190,1668,58,24.0
837.34,3.390,2.3,5.0,43,0,192,1676,58,24.0
836.52,3.380,2.3,5.1,44,2,194,1684,56,24.0
835.50,3.370,2.4,5.3,44,0,196,1694,56,24.0
834.48,3.370,2.5,5.4,46,0,198,1704,55,24.0
833.46,3.370,2.4,5.5,47,0,200,1714,54,24.0
832.44,3.370,2.5,5.6,48,0,202,1723,54,24.0
831.43,3.400,2.6,5.6,49,0,204,1733,54,24.0
830.21,3.400,3.0,5.5,49,0,206,1745,52,24.0
829.00,3.400,3.4,5.4,50,0,208,1757,47,24.0
827.98,3.410,3.7,5.3,50,0,210,1767,43,24.0
826.77,3.410,3.8,5.1,49,0,212,1779,39,24.0
825.56,3.410,3.7,4.8,49,0,214,1791,39,24.0
824.35,3.400,3.7,4.6,48,2,216,1803,39,24.0
823.35,3.410,3.6,4.4,46,0,218,1812,38,24.0
822.14,3.410,3.5,4.2,44,0,220,1824,38,24.0
820.94,3.420,3.5,4.0,43,0,222,1836,38,24.0
819.94,3.410,3.4,3.9,40,0,224,1846,38,24.0
819.14,3.410,3.3,3.9,38,0,226,1854,38,24.0
817.94,3.410,3.3,3.9,36,0,228,1866,38,24.0
816.74,3.410,3.2,3.9,34,0,230,1878,38,24.1
815.55,3.390,3.1,4.0,32,0,232,1890,38,24.1
814.55,3.370,3.0,4.1,30,0,234,1900,38,24.1
813.36,3.370,2.9,4.2,29,0,236,1911,38,24.1
812.37,3.370,2.8,4.3,27,0,238,1921,38,24.1
811.38,3.370,2.7,4.3,26,0,240,1931,38,24.1
810.39,3.370,2.7,4.3,25,0,242,1941,38,24.1
809.20,3.370,2.6,4.3,24,0,244,1953,38,24.1
808.01,3.380,2.5,4.3,24,0,246,1965,38,24.1
806.83,3.380,2.3,4.3,25,0,248,1977,38,24.1
805.85,3.390,2.3,4.2,26,0,250,1986,38,24.1
804.86,3.380,2.2,4.1,27,0,252,1996,38,24.1
803.88,3.380,2.1,4.0,29,0,254,2006,38,24.1
802.90,3.350,2.0,4.0,32,0,256,2016,39,24.1
801.92,3.330,2.0,4.0,34,0,258,2026,38,24.1
800.94,3.330,1.9,4.0,35,0,260,2036,38,24.1
799.97,3.330,1.8,4.0,36,0,262,2046,39,24.1
799.19,3.350,1.8,4.1,36,0,264,2053,39,24.1
798.21,3.350,1.7,4.2,36,0,266,2063,39,24.2
797.24,3.350,1.6,4.3,35,0,268,2073,39,24.2
795.88,3.350,1.5,4.4,33,0,270,2087,40,24.2
794.52,3.350,1.5,4.5,31,0,272,2101,39,24.2
792.97,3.340,1.6,4.5,29,0,274,2116,38,24.2
791.61,3.340,1.6,4.6,26,0,276,2130,37,24.2
790.45,3.350,1.6,4.6,24,0,278,2142,36,24.2
789.49,3.350,1.5,4.7,22,0,280,2152,36,24.2
788.53,3.350,1.5,4.6,21,0,282,2162,36,24.2
787.56,3.350,1.5,4.6,19,0,284,2171,36,24.2
786.80,3.350,1.4,4.6,18,0,286,2179,36,24.3
786.03,3.340,1.4,4.5,18,0,288,2187,35,24.3
785.07,3.330,1.5,4.4,17,0,290,2197,35,24.3
784.11,3.330,1.4,4.3,17,0,292,2207,35,24.3
783.35,3.330,1.4,4.2,17,0,294,2215,35,24.3
782.39,3.320,1.2,4.1,17,0,296,2224,35,24.3
781.44,3.330,1.2,4.0,17,0,298,2234,36,24.3
780.48,3.340,1.1,3.9,17,0,300,2244,36,24.3
779.72,3.360,1.1,3.8,18,0,302,2252,36,24.3
778.77,3.360,1.1,3.7,18,0,304,2262,35,24.3
777.82,3.370,1.0,3.7,19,0,306,2271,35,24.3
776.87,3.380,0.9,3.6,20,0,308,2281,34,24.3
775.92,3.380,0.9,3.5,21,0,310,2291,33,24.3
775.17,3.380,0.8,3.5,22,0,312,2299,33,24.3
774.22,3.380,0.7,3.4,24,0,314,2309,33,24.3
773.28,3.380,0.6,3.4,25,0,316,2319,33,24.3
772.33,3.360,0.5,3.4,27,0,318,2328,33,24.3
771.58,3.360,0.5,3.3,28,0,320,2336,33,24.4
770.64,3.360,0.4,3.3,29,0,322,2346,33,24.4
769.88,3.360,0.3,3.3,30,0,324,2354,33,24.4
768.95,3.360,0.2,3.2,31,0,326,2364,33,24.4
768.01,3.360,0.1,3.1,33,0,328,2373,33,24.4
767.07,3.350,0.0,3.1,35,0,330,2383,33,24.4
766.32,3.350,0.0,3.0,37,0,332,2391,33,24.4
765.39,3.340,-0.1,2.9,40,0,334,2401,33,24.4
764.45,3.340,-0.2,2.9,43,0,336,2410,33,24.4
763.71,3.340,-0.2,2.8,47,0,338,2418,33,24.4
762.59,3.340,-0.3,2.8,51,0,340,2430,33,24.4
761.29,3.320,-0.5,2.8,53,0,342,2444,34,24.4
760.17,3.310,-0.5,2.8,55,0,344,2455,33,24.4
759.24,3.310,-0.6,2.9,55,0,346,2465,33,24.4
757.95,3.300,-0.6,3.0,55,0,348,2479,33,24.4
757.21,3.300,-0.7,3.0,54,0,350,2487,32,24.4
756.28,3.300,-0.7,3.1,51,0,352,2496,31,24.4
755.36,3.320,-0.6,3.2,48,0,354,2506,29,24.4
754.44,3.320,-0.6,3.4,44,0,356,2516,28,24.4
753.70,3.320,-0.6,3.5,41,0,358,2524,27,24.4
752.78,3.320,-0.6,3.6,38,0,360,2533,27,24.4
752.05,3.320,-0.7,3.8,35,0,362,2541,26,24.4
751.13,3.320,-0.8,3.9,32,0,364,2551,27,24.4
750.40,3.320,-0.9,3.9,30,0,366,2559,27,24.4
749.48,3.330,-1.0,4.0,29,0,368,2568,27,24.4
748.75,3.360,-1.0,4.1,28,0,370,2576,27,24.4
747.84,3.360,-1.0,4.1,27,0,372,2586,27,24.4
746.93,3.360,-1.1,4.1,27,0,374,2596,27,24.5
745.83,3.360,-1.2,4.1,27,0,376,2607,27,24.5
744.74,3.360,-1.3,4.1,27,0,378,2619,27,24.5
743.83,3.370,-1.3,4.1,27,0,380,2629,26,24.5
743.11,3.410,-1.3,4.1,27,0,382,2636,26,24.5
742.38,3.410,-1.3,4.2,28,0,384,2644,26,24.5
741.66,3.410,-1.3,4.2,28,0,386,2652,25,24.5
740.75,3.410,-1.4,4.3,28,0,388,2662,24,24.5
739.67,3.410,-1.4,4.4,28,0,390,2673,24,24.5
738.59,3.400,-1.5,4.5,29,0,392,2685,23,24.5
737.50,3.390,-1.4,4.6,28,0,394,2697,22,24.5
736.24,3.370,-1.5,4.7,28,0,396,2710,22,24.5
735.35,3.380,-1.5,4.7,28,0,398,2720,22,24.5
734.45,3.380,-1.6,4.7,28,0,400,2730,22,24.5
733.73,3.370,-1.6,4.7,27,0,402,2738,23,24.5
732.66,3.380,-1.7,4.7,26,0,404,2749,23,24.5
731.76,3.380,-1.6,4.6,26,0,406,2759,23,24.5
730.87,3.400,-1.7,4.5,25,0,408,2769,23,24.5
729.98,3.380,-1.8,4.4,25,0,410,2778,23,24.5
729.09,3.400,-1.8,4.2,26,0,412,2788,23,24.5
728.20,3.380,-1.9,4.1,26,0,414,2798,23,24.6
727.31,3.380,-2.0,4.0,27,0,416,2807,23,24.6
726.25,3.380,-2.2,3.9,28,0,418,2819,23,24.6
725.01,3.380,-2.3,3.8,30,0,420,2833,23,24.6
723.95,3.400,-2.4,3.8,32,0,422,2844,23,24.6
722.89,3.370,-2.4,3.8,34,0,424,2856,23,24.6
722.00,3.370,-2.5,3.8,36,0,426,2866,24,24.6
720.95,3.370,-2.7,3.8,38,0,428,2877,24,24.6
720.07,3.360,-2.7,3.9,40,0,430,2887,24,24.6
719.01,3.350,-2.8,3.9,42,0,432,2898,24,24.6
717.79,3.350,-3.0,3.9,44,0,434,2912,24,24.6
716.74,3.350,-3.1,3.8,46,0,436,2924,25,24.6
715.86,3.330,-3.2,3.8,49,0,438,2933,25,24.6
714.99,3.330,-3.2,3.7,53,0,440,2943,25,24.6
714.12,3.310,-3.4,3.7,56,0,442,2953,25,24.6
712.90,3.300,-3.5,3.6,61,0,444,2966,25,24.6
712.03,3.300,-3.6,3.7,66,0,446,2976,25,24.6
711.16,3.280,-3.6,3.7,70,0,448,2985,25,24.6
710.29,3.280,-3.6,3.8,74,0,450,2995,25,24.6
709.42,3.280,-3.6,3.9,77,0,452,3005,25,24.6
708.56,3.280,-3.6,4.1,80,0,454,3014,25,24.6
707.69,3.280,-3.6,4.3,82,0,456,3024,24,24.6
706.83,3.290,-3.7,4.5,84,0,458,3033,24,24.6
705.97,3.300,-3.8,4.8,85,0,460,3043,25,24.6
705.11,3.300,-3.8,5.1,86,0,462,3053,24,24.6
704.25,3.300,-3.9,5.4,86,0,464,3062,24,24.6
703.39,3.280,-3.8,5.7,86,0,466,3072,25,24.6
702.53,3.280,-3.9,6.0,87,0,468,3082,24,24.6
701.67,3.260,-4.0,6.4,87,0,470,3091,24,24.6
700.99,3.240,-4.0,6.6,86,0,472,3099,24,24.6
700.13,3.240,-4.0,6.9,86,0,474,3109,24,24.6
700.00,3.240,-4.0,6.9,86,3,474,3110,24,24.6
699.28,3.240,-4.1,7.0,85,0,476,3118,24,24.6
698.60,3.240,-4.2,7.2,85,0,478,3126,24,24.6
697.91,3.250,-4.2,7.2,84,0,480,3134,24,24.6
697.23,3.250,-4.3,7.2,83,0,482,3141,24,24.6
696.38,3.250,-4.3,7.2,82,0,484,3151,24,24.6
695.70,3.250,-4.4,7.1,82,0,486,3159,23,24.6
695.02,3.250,-4.4,6.9,82,0,488,3166,23,24.6
694.34,3.240,-4.4,6.8,82,0,490,3174,22,24.6
693.67,3.240,-4.4,6.7,83,0,492,3182,22,24.6
692.82,3.250,-4.4,6.7,84,0,494,3191,23,24.6
692.14,3.240,-4.4,6.7,85,0,496,3199,22,24.6
691.30,3.240,-4.4,6.7,86,0,498,3209,22,24.6
690.12,3.230,-4.5,6.7,87,0,500,3222,22,24.6
689.11,3.230,-4.6,6.8,88,0,502,3234,22,24.6
688.10,3.230,-4.6,7.0,88,0,504,3245,23,24.6
687.26,3.260,-4.6,7.1,89,0,506,3255,23,24.6
686.42,3.290,-4.6,7.2,89,0,508,3264,22,24.6
685.59,3.290,-4.6,7.2,88,0,510,3274,22,24.6
684.58,3.290,-4.6,7.3,88,0,512,3285,21,24.6
683.75,3.270,-4.7,7.3,87,0,514,3295,20,24.6
682.91,3.260,-4.7,7.4,87,0,516,3305,19,24.6
