
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2009-01-12,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21583

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2009-01-09,10:50:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 286
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
334.5,0,354.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.056,28.30,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.66,1.520,0.0,1.4,350,2,0,631,93,21.4
943.51,1.570,-1.1,1.6,9,0,2,641,96,21.4
942.13,1.570,-1.2,1.9,17,0,4,652,97,21.4
940.98,1.570,-1.3,2.3,23,0,6,662,97,21.4
939.38,1.570,-1.5,2.7,26,0,8,676,97,21.4
938.00,1.570,-1.6,3.0,29,0,10,687,98,21.4
936.86,1.570,-1.7,3.3,31,0,12,697,98,21.4
935.71,1.570,-1.8,3.5,34,0,14,707,99,21.4
934.80,1.570,-1.9,3.6,37,0,16,715,99,21.4
933.89,1.570,-1.9,3.7,40,0,18,722,99,21.4
932.75,1.590,-2.0,3.7,44,0,20,732,99,21.4
931.84,1.590,-2.0,3.7,48,0,22,740,99,21.4
930.70,1.590,-2.0,3.5,52,0,24,750,99,21.4
929.79,1.620,-2.0,3.4,56,0,26,757,98,21.4
928.66,1.650,-2.1,3.4,61,0,28,767,98,21.4
927.75,1.670,-2.1,3.4,64,0,30,775,99,21.4
926.85,1.710,-2.2,3.5,67,0,32,783,99,21.3
925.71,1.780,-2.2,3.6,69,0,34,792,99,21.3
925.00,1.780,-2.3,3.8,71,3,35,798,99,21.3
924.59,1.780,-2.3,3.8,71,0,36,802,99,21.3
923.46,1.840,-2.3,4.0,72,0,38,812,99,21.3
