
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2009-07-24,AEMET,1.0,Jose Luis Hernandez Perez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21677

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2009-07-23,10:47:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 134
* ® HØ

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
261.0,0,335.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.056,26.70,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.20,3.440,24.5,6.2,210,2,0,631,45,25.5
941.90,3.460,23.2,5.7,219,0,2,652,50,25.6
940.29,3.460,23.0,5.8,222,0,4,667,51,25.6
938.92,3.480,22.9,6.1,223,0,6,680,51,25.6
937.54,3.550,22.8,6.4,223,0,8,693,51,25.6
935.94,3.570,22.6,6.8,223,0,10,708,52,25.6
933.89,3.570,22.4,7.0,223,0,12,727,53,25.6
932.06,3.610,22.1,7.2,224,0,14,744,53,25.6
930.02,3.610,21.8,7.4,225,0,16,763,55,25.6
928.20,3.660,21.6,7.7,226,0,18,780,55,25.7
926.62,3.690,21.5,8.0,228,0,20,795,56,25.7
925.00,3.690,21.4,8.3,229,3,22,810,56,25.7
924.81,3.690,21.4,8.3,229,0,22,812,56,25.7
923.01,3.680,21.1,8.7,231,0,24,829,56,25.7
921.21,3.690,20.8,9.1,232,0,26,845,57,25.7
919.41,3.680,20.5,9.5,234,0,28,862,57,25.8
917.61,3.670,20.3,10.0,235,0,30,879,58,25.8
915.60,3.650,20.1,10.5,236,0,32,898,58,25.8
913.81,3.660,19.9,11.0,237,0,34,915,59,25.8
912.25,3.650,19.7,11.4,238,0,36,930,60,25.8
910.92,3.650,19.5,11.8,239,0,38,942,59,25.8
909.14,3.650,19.3,12.1,239,0,40,959,60,25.9
907.59,3.650,19.1,12.3,239,0,42,974,61,25.9
906.04,3.660,19.1,12.4,239,0,44,989,62,25.9
904.49,3.650,18.9,12.5,239,0,46,1003,62,25.9
902.73,3.660,18.8,12.4,239,0,48,1020,62,25.9
900.97,3.660,18.6,12.3,239,0,50,1037,63,25.9
898.99,3.660,18.4,12.2,238,0,52,1056,63,25.9
897.23,3.660,18.3,12.0,238,0,54,1073,64,26.0
895.48,3.660,18.0,11.7,237,0,56,1089,64,26.0
893.74,3.660,18.0,11.4,237,0,58,1106,63,26.0
891.99,3.660,17.8,11.2,237,0,60,1123,65,26.0
890.25,3.670,17.6,11.1,237,0,62,1140,65,26.0
888.51,3.670,17.4,11.0,237,0,64,1156,66,26.1
886.56,3.670,17.4,10.9,237,0,66,1175,67,26.1
884.62,3.670,17.2,10.9,238,0,68,1194,67,26.1
882.89,3.680,16.9,10.9,239,0,70,1211,67,26.1
881.17,3.690,16.7,11.0,240,0,72,1227,67,26.1
879.45,3.700,16.6,11.1,242,0,74,1244,68,26.1
877.73,3.700,16.4,11.3,243,0,76,1261,69,26.1
876.02,3.720,16.3,11.4,244,0,78,1277,70,26.2
874.10,3.700,16.1,11.5,244,0,80,1296,70,26.2
872.18,3.710,16.0,11.6,245,0,82,1315,70,26.2
870.27,3.710,15.7,11.7,245,0,84,1333,70,26.2
868.14,3.700,15.4,11.8,245,0,86,1354,71,26.2
866.24,3.700,15.2,11.8,245,0,88,1373,73,26.3
864.34,3.700,15.1,11.8,244,0,90,1391,74,26.3
862.65,3.680,14.9,11.9,243,0,92,1408,74,26.3
860.97,3.680,14.7,12.0,242,0,94,1424,75,26.3
