
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2009-07-30,AEMET,1.0,Jose Luis Hernandez Perez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21676

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2009-07-29,10:47:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 118
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
263.5,0,333.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.033,27.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
947.21,3.490,30.0,3.2,230,2,0,631,11,26.4
946.51,3.710,29.3,3.8,227,0,2,638,12,26.4
946.05,3.830,28.8,4.5,226,0,4,642,12,26.5
945.36,3.910,28.2,5.2,226,2,6,648,12,26.5
944.20,4.010,28.1,5.8,226,0,8,659,13,26.5
943.28,4.060,28.1,6.5,226,0,10,668,13,26.5
942.13,4.110,28.0,7.0,227,0,12,679,13,26.6
941.21,4.240,27.7,7.5,227,0,14,687,13,26.6
940.52,4.270,27.5,7.9,227,0,16,694,13,26.6
939.83,4.310,27.4,8.2,227,2,18,700,13,26.6
939.38,4.380,27.4,8.4,227,0,20,704,13,26.6
938.69,4.530,27.6,8.5,226,0,22,711,14,26.7
938.00,4.570,27.7,8.6,226,0,24,717,14,26.7
937.31,4.580,27.7,8.6,225,0,26,724,13,26.7
936.86,4.660,27.6,8.6,223,0,28,728,14,26.8
936.40,4.670,27.4,8.7,222,0,30,732,14,26.8
935.48,4.720,27.7,8.7,221,0,32,741,14,26.8
934.80,4.720,27.6,8.7,220,0,34,747,14,26.9
934.12,4.740,27.5,8.8,220,0,36,754,14,26.9
933.20,4.730,27.3,8.8,220,0,38,763,14,26.9
932.29,4.770,27.2,8.9,220,0,40,771,14,26.9
931.38,4.800,27.0,8.9,220,0,42,780,14,26.9
930.70,4.780,26.9,8.9,221,0,44,786,14,27.0
930.02,4.800,26.8,8.9,221,0,46,793,14,27.0
929.11,4.820,26.6,8.8,222,0,48,801,14,27.0
928.20,4.820,26.5,8.8,223,0,50,810,14,27.0
927.52,4.830,26.4,8.7,224,0,52,816,14,27.1
927.07,4.850,26.4,8.7,224,0,54,821,14,27.1
926.62,4.880,26.4,8.7,225,0,56,825,14,27.1
926.17,4.900,26.3,8.8,225,0,58,829,14,27.1
925.71,4.920,26.3,8.8,225,0,60,833,14,27.1
925.04,4.920,26.3,9.0,225,0,62,840,14,27.1
924.13,4.940,26.2,9.1,226,0,64,848,14,27.2
923.46,4.950,26.1,9.3,226,0,66,855,14,27.2
922.78,4.960,26.1,9.5,227,0,68,861,14,27.2
922.33,4.960,26.0,9.7,228,0,70,866,14,27.3
921.66,4.940,26.0,9.8,229,0,72,872,14,27.3
920.76,4.960,25.9,9.9,229,0,74,881,15,27.3
920.08,4.980,25.8,9.9,230,0,76,887,15,27.3
919.63,4.970,25.8,9.8,230,0,78,891,15,27.3
919.18,4.990,25.7,9.7,230,0,80,896,15,27.4
918.51,5.000,25.6,9.5,230,2,82,902,15,27.4
918.06,5.000,25.6,9.3,229,0,84,906,15,27.4
917.39,5.000,25.5,9.1,228,0,86,913,15,27.4
916.72,5.000,25.4,8.9,226,0,88,919,15,27.4
915.82,4.990,25.4,8.8,224,0,90,928,15,27.5
914.93,4.980,25.3,8.7,223,0,92,936,15,27.5
914.26,4.970,25.3,8.6,221,0,94,943,15,27.5
913.59,4.970,25.3,8.6,220,0,96,949,15,27.5
913.14,4.970,25.2,8.6,219,0,98,953,15,27.5
912.48,4.960,25.2,8.6,218,0,100,960,15,27.6
912.03,4.960,25.1,8.7,217,0,102,964,15,27.6
911.36,4.960,25.1,8.7,217,0,104,970,15,27.6
910.92,4.970,25.0,8.7,217,0,106,975,15,27.6
910.25,4.980,25.0,8.6,217,0,108,981,15,27.6
909.58,4.980,24.9,8.5,217,0,110,987,15,27.6
908.70,4.980,24.8,8.4,217,0,112,996,15,27.7
908.03,4.980,24.7,8.3,217,0,114,1002,15,27.7
907.37,4.980,24.8,8.1,218,0,116,1009,15,27.7
906.70,4.950,24.7,7.9,218,0,118,1015,16,27.7
906.04,4.950,24.6,7.7,218,0,120,1022,15,27.8
905.38,4.950,24.5,7.6,219,0,122,1028,15,27.8
904.71,4.950,24.5,7.4,220,0,124,1034,15,27.8
904.05,4.960,24.3,7.3,220,0,126,1041,16,27.8
903.17,4.960,24.3,7.1,221,0,128,1049,16,27.8
902.51,4.950,24.3,7.0,222,0,130,1056,16,27.9
901.63,4.950,24.2,6.9,224,0,132,1064,16,27.9
900.75,4.950,24.1,6.8,225,0,134,1073,16,27.9
899.87,4.940,24.1,6.7,226,0,136,1081,16,27.9
899.21,4.940,24.1,6.5,227,0,138,1088,16,27.9
