
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2009-09-04,AEMET,1.0,Jose Luis Hernadez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21668

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2009-08-26,10:43:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 114
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
230.6,0,291.7

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.043,26.90,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.43,1.870,27.2,1.0,120,2,0,631,30,27.3
943.51,2.010,26.8,0.6,223,0,2,640,32,27.3
942.59,2.020,26.6,0.6,254,0,4,648,33,27.3
941.67,2.020,26.3,0.7,263,0,6,657,34,27.3
940.52,2.040,26.0,0.8,257,0,8,668,35,27.3
939.38,2.040,25.7,0.9,245,0,10,678,37,27.3
938.46,2.040,25.4,1.2,230,0,12,687,37,27.4
937.54,2.040,25.2,1.4,221,0,14,695,38,27.4
936.40,2.040,25.0,1.7,213,0,16,706,39,27.4
935.48,2.040,24.9,2.0,206,0,18,715,39,27.4
934.80,2.050,25.0,2.3,199,0,20,721,39,27.4
934.34,2.060,24.9,2.5,194,0,22,725,39,27.4
933.43,2.070,24.8,2.6,189,0,24,734,39,27.5
932.52,2.080,24.8,2.7,185,0,26,743,39,27.5
931.38,2.090,24.7,2.8,182,0,28,753,39,27.5
930.47,2.090,24.6,2.7,179,0,30,762,40,27.5
929.57,2.100,24.6,2.6,177,0,32,770,39,27.6
928.43,2.110,24.5,2.5,176,0,34,781,39,27.6
927.30,2.120,24.4,2.3,175,0,36,792,40,27.6
925.94,2.130,24.2,2.1,176,0,38,805,40,27.6
925.00,2.200,24.1,1.8,179,3,40,813,41,27.6
924.81,2.200,24.1,1.8,179,0,40,815,41,27.6
923.68,2.210,24.0,1.6,182,0,42,826,41,27.6
922.33,2.210,23.9,1.4,187,0,44,839,42,27.6
920.76,2.220,23.7,1.2,193,0,46,854,42,27.7
919.41,2.230,23.6,1.0,201,0,48,866,42,27.7
917.84,2.220,23.5,0.9,208,0,50,881,42,27.7
916.27,2.220,23.3,0.8,218,0,52,896,43,27.7
914.71,2.230,23.2,0.7,228,0,54,911,43,27.7
913.37,2.230,23.0,0.7,236,0,56,924,43,27.8
912.03,2.240,23.1,0.7,242,0,58,937,43,27.8
910.92,2.240,23.0,0.6,246,0,60,947,42,27.8
