
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-01-14,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A21528

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-01-13,10:57:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 203
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
298.3,0,331.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.054,28.60,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
942.13,0.310,4.6,1.6,150,2,0,631,94,17.2
940.06,0.330,4.5,1.9,168,0,2,649,98,17.2
938.69,0.340,4.4,2.2,175,0,4,661,98,17.3
937.31,0.340,4.3,2.4,178,0,6,673,99,17.3
935.94,0.350,4.2,2.6,178,0,8,685,99,17.3
934.57,0.360,4.1,2.8,178,0,10,697,100,17.3
933.43,0.380,4.0,2.9,178,0,12,707,100,17.3
932.06,0.390,3.9,3.1,179,0,14,719,100,17.4
930.47,0.390,3.8,3.2,180,0,16,732,100,17.4
928.88,0.390,3.7,3.2,181,0,18,746,100,17.4
927.30,0.400,3.6,3.3,182,0,20,760,100,17.4
925.94,0.410,3.6,3.4,183,0,22,772,100,17.4
925.00,0.430,3.5,3.5,185,3,24,780,100,17.4
924.81,0.430,3.5,3.5,185,0,24,782,100,17.4
923.68,0.500,3.5,3.6,186,0,26,792,100,17.4
922.11,0.590,3.6,3.7,188,0,28,806,100,17.4
920.76,0.680,3.6,3.9,190,0,30,818,100,17.4
919.41,0.760,3.5,4.0,192,0,32,830,100,17.4
917.84,0.870,3.6,4.2,194,0,34,844,100,17.4
916.50,0.950,3.5,4.4,196,0,36,855,100,17.5
915.38,1.000,3.5,4.5,199,0,38,865,100,17.5
914.04,1.120,3.6,4.7,202,0,40,877,100,17.5
912.92,1.250,3.6,4.8,205,0,42,887,100,17.5
912.03,1.410,3.6,4.9,208,0,44,895,100,17.5
911.14,1.510,3.6,5.0,212,0,46,903,100,17.5
910.03,1.550,3.5,5.1,215,0,48,913,100,17.5
909.36,1.570,3.5,5.2,218,0,50,919,100,17.5
908.25,1.610,3.5,5.3,220,0,52,929,100,17.6
907.37,1.640,3.4,5.4,222,0,54,937,100,17.6
906.48,1.740,3.4,5.5,223,0,56,945,100,17.6
905.82,1.790,3.4,5.6,224,0,58,951,100,17.6
904.71,1.830,3.3,5.8,224,0,60,961,100,17.6
903.83,1.860,3.3,5.9,224,0,62,969,100,17.6
902.95,1.920,3.3,6.0,223,0,64,976,100,17.6
902.07,2.030,3.2,6.1,221,2,66,984,100,17.6
900.97,2.040,3.2,6.2,220,0,68,994,100,17.6
900.09,2.110,3.2,6.2,219,0,70,1002,100,17.6
899.21,2.110,3.1,6.2,218,0,72,1010,100,17.6
898.11,2.160,3.1,6.2,217,0,74,1020,100,17.7
897.23,2.200,3.0,6.2,218,0,76,1028,100,17.7
896.14,2.250,3.0,6.2,218,0,78,1038,100,17.7
895.05,2.290,2.9,6.2,219,0,80,1048,100,17.7
893.95,2.350,2.9,6.3,220,0,82,1058,100,17.7
892.86,2.360,2.8,6.4,222,0,84,1068,100,17.7
891.77,2.390,2.7,6.5,224,0,86,1077,100,17.7
890.69,2.450,2.7,6.7,226,0,88,1087,100,17.8
889.38,2.490,2.6,6.9,227,0,90,1099,100,17.8
887.86,2.510,2.6,7.1,229,0,92,1113,100,17.8
886.56,2.560,2.6,7.4,230,0,94,1125,100,17.8
885.48,2.620,2.6,7.6,232,0,96,1135,100,17.8
884.19,2.650,2.5,7.8,233,0,98,1147,100,17.9
883.11,2.670,2.5,8.0,234,0,100,1157,100,17.9
882.03,2.730,2.5,8.2,235,0,102,1166,100,17.9
880.95,2.760,2.4,8.4,236,0,104,1176,100,17.9
879.88,2.830,2.4,8.6,238,0,106,1186,100,17.9
878.81,2.860,2.3,8.8,239,0,108,1196,100,17.9
877.95,2.900,2.3,9.1,240,0,110,1204,100,17.9
876.88,2.910,2.3,9.3,242,0,112,1214,100,17.9
876.02,2.930,2.2,9.5,243,0,114,1222,100,17.9
875.17,2.990,2.2,9.6,244,0,116,1230,100,17.9
874.31,3.020,2.1,9.7,245,0,118,1238,100,17.9
873.46,3.050,2.1,9.8,245,0,120,1245,100,17.9
872.39,3.090,2.0,9.8,246,0,122,1255,100,17.9
871.54,3.110,2.0,9.8,246,0,124,1263,100,18.0
870.90,3.120,1.9,9.7,246,0,126,1269,100,18.0
870.05,3.130,1.9,9.6,245,0,128,1277,100,18.0
869.20,3.170,1.9,9.5,245,0,130,1285,100,18.0
868.36,3.180,1.8,9.4,244,0,132,1293,100,18.0
867.51,3.200,1.8,9.3,243,0,134,1301,100,18.0
866.66,3.230,1.7,9.3,241,0,136,1309,100,18.0
865.60,3.240,1.6,9.3,240,0,138,1318,100,18.0
864.55,3.250,1.6,9.4,239,0,140,1328,100,18.0
863.49,3.260,1.6,9.5,238,0,142,1338,100,18.0
862.65,3.280,1.5,9.7,238,0,144,1346,100,18.0
861.81,3.280,1.5,9.8,238,0,146,1354,100,18.0
860.76,3.290,1.5,10.0,238,0,148,1364,100,18.0
859.92,3.320,1.5,10.2,238,0,150,1372,100,18.0
858.87,3.340,1.4,10.4,239,0,152,1381,100,18.1
858.03,3.350,1.4,10.6,240,0,154,1389,100,18.1
856.98,3.360,1.4,10.8,241,0,156,1399,100,18.1
855.73,3.380,1.4,11.0,242,2,158,1411,100,18.1
854.68,3.380,1.4,11.2,244,0,160,1421,100,18.1
853.64,3.400,1.4,11.5,245,0,162,1431,100,18.1
852.81,3.400,1.4,11.7,247,0,164,1438,100,18.1
851.98,3.400,1.4,12.0,248,0,166,1446,100,18.1
850.94,3.400,1.3,12.2,249,0,168,1456,100,18.1
849.90,3.400,1.3,12.4,250,0,170,1466,100,18.2
849.07,3.410,1.3,12.5,251,0,172,1474,100,18.2
848.03,3.400,1.3,12.6,252,0,174,1484,100,18.2
847.21,3.400,1.2,12.6,253,0,176,1492,100,18.2
846.38,3.410,1.2,12.6,253,0,178,1499,100,18.2
845.55,3.410,1.1,12.5,253,0,180,1507,100,18.2
844.73,3.410,1.1,12.4,253,0,182,1515,100,18.2
843.90,3.410,1.1,12.2,253,0,184,1523,100,18.2
843.08,3.420,1.0,12.0,253,0,186,1531,100,18.2
842.05,3.420,0.9,11.8,253,0,188,1541,100,18.3
841.02,3.420,0.9,11.6,252,0,190,1551,100,18.3
840.20,3.420,0.8,11.4,252,0,192,1558,100,18.3
