
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-02-12,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a23507

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-02-11,10:54:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 279
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
342.7,0,394.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.013,27.30,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
937.77,2.640,3.8,2.5,360,2,0,631,35,20.3
935.03,2.650,2.6,5.8,14,0,2,655,36,20.3
934.57,2.670,2.6,7.3,19,0,4,659,36,20.3
933.66,2.690,2.5,8.5,21,0,6,667,37,20.3
932.52,2.730,2.2,9.5,21,0,8,676,37,20.4
930.93,2.740,2.0,10.3,21,2,10,690,37,20.4
929.57,2.740,1.9,10.6,19,0,12,702,38,20.4
928.20,2.780,1.8,11.1,18,0,14,714,38,20.4
927.07,2.820,1.7,11.5,17,0,16,724,38,20.4
926.17,2.840,1.7,11.8,17,0,18,732,38,20.4
925.04,2.870,1.6,12.1,16,0,20,741,38,20.4
923.68,2.910,1.5,12.2,15,0,22,753,38,20.4
921.88,2.920,1.3,12.3,15,0,24,769,39,20.4
920.53,2.940,1.1,12.3,14,0,26,781,38,20.4
919.18,2.970,0.9,12.2,14,0,28,792,39,20.4
918.06,2.990,0.8,12.2,13,0,30,802,39,20.4
917.17,2.990,0.7,12.0,12,0,32,810,40,20.4
916.27,3.010,0.7,11.8,12,0,34,818,40,20.5
915.38,3.010,0.6,11.7,11,0,36,826,40,20.5
914.26,3.010,0.5,11.5,10,0,38,836,40,20.5
913.37,3.040,0.4,11.4,8,0,40,843,40,20.5
912.70,3.060,0.4,11.3,7,0,42,849,40,20.5
