
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-09-16,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,A23468

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-09-15,10:42:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 153
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
231.7,0,285.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.022,26.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.59,3.550,26.2,1.3,146,2,0,631,39,26.5
946.74,3.810,24.1,1.8,138,2,2,649,45,26.6
945.82,3.810,24.2,1.9,140,0,4,658,46,26.6
944.43,3.750,24.2,1.9,144,0,6,670,46,26.6
943.05,3.650,23.9,2.0,147,0,8,682,47,26.6
941.67,3.630,23.8,2.0,150,0,10,695,47,26.6
940.52,3.600,23.6,2.0,153,0,12,706,48,26.6
939.38,3.600,23.5,2.0,155,0,14,716,48,26.6
938.46,3.580,23.4,2.0,157,0,16,726,48,26.6
937.31,3.570,23.3,2.0,158,0,18,736,49,26.7
935.94,3.570,23.1,1.9,158,0,20,748,49,26.7
934.57,3.580,22.9,1.9,157,0,22,761,50,26.7
933.20,3.580,22.9,1.9,155,0,24,774,50,26.7
931.84,3.580,22.8,1.9,153,0,26,786,50,26.7
930.70,3.610,22.8,1.9,150,0,28,798,50,26.7
929.34,3.600,22.6,1.9,148,0,30,811,50,26.8
927.98,3.600,22.4,1.9,146,0,32,824,50,26.8
926.62,3.630,22.3,1.9,144,0,34,836,51,26.8
925.49,3.630,22.2,1.9,142,0,36,847,51,26.8
925.00,3.630,22.1,1.8,142,3,37,852,51,26.8
924.59,3.630,22.1,1.8,142,0,38,856,51,26.8
923.46,3.650,22.1,1.8,142,0,40,866,51,26.8
922.11,3.670,21.9,1.8,143,0,42,879,51,26.8
920.53,3.670,21.8,1.8,144,0,44,893,52,26.9
919.41,3.670,21.7,1.7,146,0,46,904,53,26.9
918.29,3.660,21.7,1.7,148,0,48,915,53,26.9
916.94,3.640,21.6,1.7,151,0,50,927,52,26.9
915.60,3.630,21.5,1.6,152,0,52,939,53,26.9
914.48,3.640,21.4,1.6,154,0,54,952,53,26.9
912.92,3.640,21.2,1.7,154,0,56,966,54,26.9
911.59,3.630,21.1,1.7,155,0,58,979,55,27.0
910.47,3.630,21.1,1.7,155,0,60,989,54,27.0
909.36,3.630,21.0,1.8,155,2,62,1000,54,27.0
908.03,3.630,21.1,1.8,155,0,64,1012,52,27.0
906.92,3.630,21.3,1.9,155,0,66,1022,50,27.0
905.82,3.660,21.3,1.9,155,0,68,1033,49,27.0
904.71,3.690,21.3,2.0,155,0,70,1044,47,27.1
903.39,3.740,21.2,2.0,156,0,72,1056,47,27.1
902.07,3.810,21.3,2.0,157,0,74,1068,44,27.1
900.97,3.910,21.7,2.0,159,0,76,1080,40,27.1
899.87,3.950,22.1,1.9,161,0,78,1090,37,27.1
898.77,4.060,22.2,1.9,163,0,80,1101,35,27.1
897.45,4.070,22.3,1.8,166,0,82,1114,33,27.1
896.36,4.140,22.7,1.7,168,0,84,1125,29,27.2
895.26,4.140,23.1,1.6,170,0,86,1135,27,27.2
894.17,4.170,23.1,1.5,172,0,88,1145,26,27.2
893.08,4.200,23.2,1.4,174,0,90,1156,25,27.2
891.77,4.300,23.2,1.4,175,2,92,1169,24,27.2
890.47,4.410,23.1,1.3,174,0,94,1182,24,27.2
889.17,4.450,23.0,1.2,173,0,96,1195,24,27.3
887.65,4.560,22.9,1.2,171,0,98,1209,24,27.3
886.35,4.600,22.8,1.2,169,0,100,1221,24,27.3
885.27,4.600,22.8,1.1,165,0,102,1233,24,27.3
883.97,4.640,22.7,1.1,161,0,104,1245,24,27.3
882.89,4.770,22.7,1.2,156,0,106,1257,24,27.3
881.60,4.780,22.6,1.2,152,0,108,1267,24,27.3
880.52,4.800,22.5,1.2,148,0,110,1278,24,27.4
879.66,4.850,22.4,1.3,144,0,112,1288,25,27.4
878.59,4.880,22.4,1.4,140,0,114,1299,25,27.4
877.31,4.890,22.4,1.5,137,0,116,1310,25,27.4
876.02,4.910,22.4,1.6,134,0,118,1323,25,27.4
874.74,4.910,22.4,1.6,132,2,120,1336,25,27.4
873.67,4.890,22.4,1.7,130,0,122,1347,25,27.4
872.61,4.890,22.4,1.8,129,0,124,1358,24,27.4
871.12,4.890,22.3,1.8,128,0,126,1372,24,27.5
869.84,4.870,22.2,1.8,128,0,128,1385,24,27.5
868.36,4.850,22.2,1.8,129,0,130,1399,24,27.5
867.30,4.810,22.2,1.8,129,0,132,1411,23,27.5
866.45,4.720,22.2,1.7,130,0,134,1418,23,27.5
865.60,4.640,22.2,1.5,131,0,136,1427,23,27.5
864.55,4.630,22.1,1.4,132,0,138,1438,24,27.5
863.49,4.610,21.9,1.2,134,0,140,1450,26,27.6
862.23,4.610,21.8,1.0,136,0,142,1462,27,27.6
860.97,4.560,21.8,0.9,139,0,144,1474,27,27.6
859.71,4.470,21.7,0.7,142,0,146,1487,26,27.6
858.24,4.430,21.7,0.5,144,0,148,1501,26,27.6
856.98,4.410,21.6,0.0,0,0,150,1513,25,27.6
855.73,4.380,21.5,0.0,0,0,152,1526,25,27.6
854.68,4.370,21.4,0.0,0,0,154,1538,26,27.7
853.43,4.330,21.3,0.0,0,0,156,1550,27,27.7
852.18,4.310,21.2,0.0,0,0,158,1562,29,27.7
851.14,4.230,21.1,0.0,0,0,160,1573,29,27.7
850.11,4.180,21.0,0.0,0,0,162,1583,29,27.7
850.00,4.180,21.0,0.0,0,3,162,1584,29,27.7
849.07,4.140,20.9,0.6,358,0,164,1594,29,27.7
848.03,4.080,20.8,0.8,357,0,166,1605,29,27.8
847.00,4.070,20.8,0.9,355,0,168,1616,29,27.8
845.76,4.050,20.7,1.1,354,0,170,1628,29,27.8
844.52,4.050,20.6,1.3,353,0,172,1641,29,27.8
843.28,4.050,20.4,1.5,351,0,174,1652,30,27.8
842.26,4.040,20.3,1.7,349,0,176,1664,31,27.8
841.02,4.040,20.3,1.9,348,0,178,1677,32,27.8
839.79,4.070,20.3,2.1,347,0,180,1690,31,27.9
838.97,4.090,20.3,2.3,347,0,182,1698,31,27.9
837.95,4.110,20.2,2.4,347,0,184,1707,30,27.9
836.93,4.180,20.2,2.5,347,0,186,1719,30,27.9
835.70,4.250,20.2,2.6,348,0,188,1732,30,27.9
834.27,4.300,20.2,2.7,349,0,190,1747,28,27.9
832.85,4.330,20.1,2.7,350,0,192,1761,28,27.9
831.63,4.360,20.0,2.7,352,0,194,1774,27,27.9
830.41,4.380,19.9,2.7,355,0,196,1787,26,28.0
829.00,4.400,19.8,2.7,357,0,198,1800,26,28.0
827.78,4.380,19.8,2.7,360,0,200,1813,26,28.0
826.77,4.390,19.8,2.8,2,0,202,1824,25,28.0
825.56,4.400,19.7,2.8,5,2,204,1836,25,28.0
824.35,4.380,19.5,2.9,8,0,206,1850,24,28.0
823.15,4.370,19.4,2.9,10,0,208,1862,24,28.0
822.14,4.340,19.4,3.0,12,0,210,1873,24,28.0
820.94,4.320,19.4,3.2,14,0,212,1885,23,28.1
819.74,4.280,19.3,3.3,15,0,214,1898,23,28.1
818.34,4.260,19.1,3.5,16,0,216,1912,22,28.1
817.34,4.220,19.0,3.6,17,0,218,1923,22,28.1
816.34,4.180,18.9,3.8,18,0,220,1933,22,28.1
815.15,4.150,18.9,4.0,19,0,222,1946,22,28.1
813.95,4.120,18.8,4.2,20,0,224,1958,22,28.1
812.76,4.100,18.7,4.4,21,0,226,1970,22,28.1
811.38,4.080,18.5,4.5,21,0,228,1984,22,28.1
810.39,4.050,18.4,4.7,22,0,230,1996,22,28.2
809.40,3.940,18.4,4.9,23,0,232,2005,22,28.2
808.41,3.880,18.3,5.1,23,0,234,2017,22,28.2
807.03,3.860,18.2,5.2,24,0,236,2031,22,28.2
805.65,3.850,18.1,5.4,25,0,238,2044,22,28.2
804.67,3.810,18.0,5.5,25,0,240,2057,23,28.2
803.49,3.770,17.9,5.6,25,0,242,2068,23,28.2
802.31,3.700,17.8,5.7,25,0,244,2081,23,28.2
801.14,3.680,17.8,5.8,25,2,246,2093,24,28.3
799.97,3.680,17.6,5.9,25,0,248,2106,24,28.3
798.80,3.650,17.5,6.0,25,0,250,2119,24,28.3
797.82,3.610,17.4,6.0,24,0,252,2128,25,28.3
796.85,3.590,17.3,6.0,24,0,254,2139,25,28.3
795.68,3.580,17.3,6.0,23,0,256,2151,25,28.3
794.52,3.540,17.2,6.0,22,0,258,2165,26,28.3
793.35,3.510,17.0,6.0,21,0,260,2177,27,28.3
792.19,3.470,16.9,5.9,20,0,262,2190,27,28.4
790.84,3.410,16.9,5.9,18,0,264,2203,28,28.4
789.88,3.390,16.8,5.8,17,0,266,2215,28,28.4
788.53,3.350,16.7,5.7,15,0,268,2228,28,28.4
787.18,3.320,16.5,5.6,14,0,270,2242,29,28.4
