
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2010-11-05,AEMET,1.0,Jose Luis Hernandez Perez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24666

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2010-11-03,10:56:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 191
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
230.2,0,279.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.043,27.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
952.31,1.230,15.2,0.9,40,2,0,631,57,20.3
950.91,1.280,14.7,0.8,56,0,2,643,59,20.3
949.52,1.340,14.2,0.8,63,0,4,656,59,20.3
948.13,1.360,13.7,0.9,67,2,6,668,60,20.3
946.74,1.440,13.7,1.1,70,0,8,680,61,20.4
945.36,1.460,13.4,1.2,72,0,10,693,62,20.4
943.97,1.520,13.3,1.2,72,0,12,705,63,20.4
942.82,1.590,13.2,1.2,73,0,14,715,64,20.4
941.44,1.660,13.1,1.2,74,0,16,728,65,20.4
940.06,1.690,13.0,1.1,75,0,18,740,66,20.4
938.92,1.760,13.0,1.0,69,0,20,750,66,20.5
937.54,1.880,12.9,0.9,63,2,22,763,66,20.5
936.40,1.880,12.7,0.8,59,0,24,773,66,20.5
935.03,1.880,12.6,0.7,45,0,26,785,67,20.5
933.66,1.880,12.5,0.7,21,0,28,798,67,20.5
932.29,1.870,12.4,0.7,355,0,30,810,67,20.6
930.93,1.860,12.3,0.7,329,0,32,822,68,20.6
929.34,1.790,12.2,0.7,306,0,34,836,68,20.6
927.98,1.780,12.1,0.7,288,0,36,849,68,20.6
926.39,1.740,12.1,0.8,282,0,38,863,69,20.6
925.04,1.700,11.9,0.9,276,0,40,875,69,20.6
923.46,1.660,11.8,1.1,269,0,42,890,69,20.7
922.11,1.660,11.7,1.3,267,2,44,902,70,20.7
920.76,1.660,11.9,1.4,267,0,46,914,69,20.7
919.41,1.670,11.9,1.6,267,0,48,926,69,20.7
917.84,1.750,11.8,1.8,268,0,50,941,69,20.8
916.50,1.760,11.6,1.9,269,0,52,953,69,20.8
915.38,1.760,11.5,2.1,271,0,54,963,70,20.8
914.04,1.760,11.6,2.2,273,0,56,976,71,20.8
912.70,1.740,11.8,2.2,276,0,58,988,71,20.8
911.36,1.730,11.9,2.2,279,0,60,1000,71,20.9
910.25,1.730,12.6,2.2,283,0,62,1010,66,20.9
908.92,1.730,13.1,2.2,287,0,64,1023,58,20.9
