
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2011-06-30,AEMET,1.0,Jose Luis Hernandez Perez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24577

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-06-29,10:50:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB  98
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
237.8,0,295.0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.027,27.60,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.66,4.710,28.2,4.2,11,2,0,631,32,28.7
943.51,4.760,26.5,2.9,17,2,2,642,36,28.7
942.36,4.760,26.2,2.6,19,0,4,653,38,28.8
941.21,4.760,26.0,2.8,21,0,6,663,38,28.8
940.06,4.770,25.7,3.1,22,2,8,674,38,28.8
938.69,4.780,25.5,3.3,23,0,10,687,39,28.8
937.54,4.780,25.3,3.4,23,0,12,698,39,28.8
936.40,4.800,25.2,3.5,24,0,14,708,40,28.8
935.26,4.810,25.2,3.6,24,0,16,719,41,28.9
934.34,4.840,25.1,3.6,25,0,18,728,41,28.9
933.20,4.850,24.9,3.6,25,0,20,738,41,28.9
932.06,4.840,24.9,3.6,26,0,22,749,41,28.9
930.47,4.840,24.8,3.6,26,0,24,764,42,28.9
929.79,4.840,24.7,3.5,27,0,26,770,41,28.9
928.66,4.840,24.6,3.4,29,0,28,781,42,29.0
927.30,4.840,24.5,3.3,30,0,30,794,42,29.0
925.94,4.830,24.4,3.2,32,0,32,807,42,29.0
925.00,4.840,24.3,3.1,35,3,33,816,43,29.0
924.59,4.840,24.2,3.1,35,0,34,820,43,29.0
923.23,4.840,24.1,3.0,37,0,36,832,43,29.1
922.11,4.840,24.0,2.9,40,0,38,843,43,29.1
920.98,4.840,23.9,2.8,44,0,40,854,43,29.1
919.86,4.840,23.7,2.7,47,0,42,865,44,29.1
918.74,4.840,23.6,2.6,51,0,44,875,44,29.1
917.84,4.820,23.6,2.6,54,0,46,884,45,29.1
916.72,4.830,23.5,2.5,58,0,48,894,45,29.1
916.05,4.820,23.5,2.5,61,0,50,901,45,29.2
915.15,4.820,23.4,2.5,64,0,52,909,45,29.2
914.26,4.770,23.3,2.5,67,0,54,918,45,29.2
913.59,4.770,23.2,2.5,69,0,56,924,45,29.2
912.92,4.770,23.2,2.6,71,0,58,931,45,29.3
912.48,4.770,23.3,2.7,73,0,60,935,45,29.3
912.03,4.770,23.2,2.8,74,0,62,939,45,29.3
911.14,4.800,23.1,2.9,74,0,64,948,45,29.3
910.25,4.800,23.1,3.0,74,0,66,956,46,29.3
909.36,4.800,23.0,3.1,74,0,68,965,46,29.3
908.48,4.800,22.9,3.2,73,0,70,973,45,29.4
907.81,4.810,22.8,3.3,72,0,72,980,46,29.4
907.15,4.800,22.7,3.4,71,0,74,986,46,29.4
906.26,4.770,22.6,3.5,69,0,76,994,46,29.4
905.15,4.780,22.7,3.6,67,0,78,1005,46,29.4
904.27,4.780,22.6,3.6,65,0,80,1014,46,29.5
903.39,4.770,22.5,3.7,64,0,82,1022,46,29.5
902.29,4.780,22.3,3.7,62,0,84,1033,47,29.5
900.97,4.790,22.1,3.7,62,0,86,1045,47,29.5
899.87,4.800,22.0,3.6,62,0,88,1056,47,29.5
898.77,4.820,22.0,3.5,62,0,90,1067,48,29.6
897.89,4.840,21.9,3.4,64,0,92,1075,48,29.6
897.01,4.840,21.9,3.3,66,0,94,1084,47,29.6
895.92,4.840,21.9,3.1,68,0,96,1094,47,29.6
895.05,4.840,21.8,2.9,72,0,98,1103,47,29.6
894.17,4.830,21.7,2.7,76,0,100,1111,47,29.7
893.30,4.830,21.7,2.5,81,0,102,1120,47,29.7
892.21,4.840,21.7,2.3,87,0,104,1130,47,29.7
891.34,4.850,21.6,2.2,92,0,106,1139,47,29.7
890.25,4.880,21.5,2.1,99,0,108,1149,48,29.7
889.17,4.890,21.5,2.0,104,0,110,1160,46,29.7
888.08,4.900,21.4,1.9,110,0,112,1170,47,29.8
