
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2011-07-21,AEMET,1.0,Jose Luis Hernandez (AEMET)

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a24580

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-07-20,10:52:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 104
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
217.9,0,286.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.023,28.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
944.66,3.240,25.1,3.1,170,2,0,631,24,28.7
943.97,3.260,24.1,2.6,187,0,2,637,27,28.7
943.28,3.270,23.4,2.6,195,0,4,644,27,28.7
942.82,3.280,22.7,2.8,202,2,6,648,28,28.7
942.13,3.290,22.6,3.0,207,0,8,654,29,28.7
941.44,3.290,22.6,3.3,211,0,10,661,29,28.7
940.75,3.310,22.6,3.3,213,0,12,667,29,28.7
940.06,3.330,22.5,3.5,215,0,14,673,29,28.8
939.60,3.350,22.4,3.6,216,0,16,678,29,28.8
938.92,3.440,22.3,3.7,217,0,18,684,29,28.8
938.00,3.450,22.1,3.7,216,0,20,693,29,28.8
937.08,3.460,22.0,3.8,214,0,22,701,30,28.8
936.17,3.470,22.0,3.9,211,0,24,709,30,28.9
935.26,3.490,21.8,4.0,207,0,26,718,30,28.9
934.57,3.500,21.7,4.2,203,0,28,724,30,28.9
933.89,3.520,21.7,4.3,200,0,30,731,30,28.9
933.43,3.520,21.8,4.4,198,0,32,735,30,28.9
932.98,3.540,21.8,4.4,196,0,34,739,30,28.9
932.29,3.560,21.7,4.4,194,0,36,745,30,29.0
931.38,3.570,21.5,4.4,194,0,38,754,30,29.0
930.25,3.570,21.4,4.3,194,0,40,764,31,29.0
929.34,3.570,21.3,4.2,194,0,42,773,31,29.0
928.43,3.570,21.3,4.1,195,0,44,781,31,29.0
927.75,3.580,21.2,4.0,197,0,46,788,31,29.1
926.85,3.580,21.1,3.9,199,0,48,796,31,29.1
926.17,3.590,21.1,3.8,200,0,50,802,31,29.1
925.26,3.590,21.0,3.8,201,0,52,811,32,29.1
925.00,3.600,21.0,3.8,201,3,53,813,32,29.1
924.36,3.600,20.9,3.7,201,0,54,819,32,29.1
923.23,3.600,20.9,3.7,201,0,56,830,32,29.1
922.11,3.590,20.7,3.7,201,0,58,840,32,29.1
920.76,3.580,20.6,3.7,200,0,60,853,32,29.2
919.63,3.560,20.5,3.6,200,0,62,864,32,29.2
918.51,3.560,20.4,3.6,199,0,64,874,33,29.2
917.39,3.560,20.3,3.5,197,0,66,885,33,29.2
916.50,3.580,20.2,3.5,196,0,68,893,33,29.2
915.60,3.570,20.2,3.4,195,0,70,901,33,29.2
914.71,3.570,20.1,3.4,194,0,72,910,33,29.3
913.59,3.580,20.0,3.4,194,0,74,920,33,29.3
912.70,3.580,19.9,3.4,194,0,76,929,34,29.3
911.59,3.580,19.8,3.4,194,0,78,939,34,29.3
910.70,3.580,19.7,3.5,194,0,80,948,34,29.3
909.58,3.580,19.6,3.5,194,0,82,958,33,29.3
908.48,3.580,19.5,3.6,195,0,84,969,33,29.3
907.59,3.590,19.4,3.7,195,0,86,977,34,29.4
906.70,3.580,19.3,3.7,196,0,88,985,34,29.4
905.60,3.570,19.2,3.8,196,0,90,996,34,29.4
904.49,3.550,19.0,3.8,197,0,92,1006,34,29.4
903.39,3.570,19.0,3.8,197,0,94,1017,34,29.4
902.51,3.570,19.0,3.9,198,0,96,1025,35,29.4
901.85,3.580,19.0,3.9,199,0,98,1032,35,29.4
900.97,3.580,18.9,3.9,199,0,100,1040,35,29.4
899.87,3.570,18.6,3.9,200,0,102,1050,35,29.5
898.77,3.590,18.5,3.9,201,0,104,1061,35,29.5
897.89,3.600,18.5,3.8,201,0,106,1069,36,29.5
897.23,3.590,18.4,3.8,202,0,108,1075,36,29.5
896.14,3.580,18.4,3.8,203,0,110,1086,35,29.5
895.26,3.580,18.3,3.7,203,0,112,1094,36,29.6
894.17,3.580,18.2,3.6,204,0,114,1105,36,29.6
893.08,3.560,18.1,3.6,204,0,116,1115,36,29.6
891.99,3.560,18.0,3.5,204,0,118,1126,36,29.6
890.90,3.560,17.9,3.4,204,0,120,1136,36,29.6
890.25,3.560,17.8,3.3,204,0,122,1142,36,29.6
889.17,3.570,17.7,3.2,204,0,124,1153,36,29.6
888.08,3.570,17.6,3.2,204,0,126,1163,36,29.6
887.21,3.580,17.6,3.1,204,0,128,1172,36,29.6
886.35,3.580,17.5,3.0,204,0,130,1180,36,29.6
885.05,3.580,17.4,2.9,204,0,132,1192,36,29.6
884.40,3.580,17.3,2.9,204,0,134,1199,36,29.6
883.75,3.590,17.2,2.8,204,0,136,1205,36,29.7
882.68,3.590,17.2,2.8,205,0,138,1215,36,29.7
881.82,3.590,17.1,2.8,205,0,140,1224,37,29.7
880.95,3.590,17.1,2.7,205,0,142,1232,37,29.7
879.88,3.590,16.9,2.7,204,0,144,1242,37,29.7
879.02,3.590,16.8,2.7,203,0,146,1251,38,29.7
878.38,3.580,16.7,2.7,202,0,148,1257,38,29.7
877.31,3.580,16.6,2.8,201,0,150,1267,39,29.8
876.45,3.580,16.7,2.8,200,0,152,1276,39,29.8
875.38,3.600,16.5,2.8,198,0,154,1286,39,29.8
874.31,3.590,16.4,2.9,196,0,156,1296,39,29.8
873.25,3.590,16.2,2.9,195,0,158,1307,39,29.8
871.97,3.590,16.0,3.0,194,0,160,1319,40,29.8
870.90,3.600,15.9,3.1,193,0,162,1330,40,29.8
869.84,3.590,16.0,3.1,192,0,164,1340,40,29.8
868.78,3.580,15.8,3.2,192,0,166,1350,40,29.8
867.51,3.580,15.7,3.2,192,0,168,1363,40,29.8
866.24,3.580,15.6,3.3,192,0,170,1375,41,29.8
865.18,3.570,15.5,3.3,192,0,172,1385,42,29.8
864.13,3.540,15.4,3.3,192,0,174,1396,42,29.9
863.07,3.530,15.4,3.2,191,0,176,1406,42,29.9
862.02,3.530,15.3,3.2,191,0,178,1416,42,29.9
860.97,3.530,15.2,3.1,189,0,180,1427,42,29.9
859.92,3.530,15.0,3.0,188,0,182,1437,42,29.9
858.87,3.510,14.9,2.9,186,0,184,1447,42,29.9
857.82,3.510,14.8,2.8,183,0,186,1458,43,29.9
856.77,3.510,14.6,2.7,180,0,188,1468,43,29.9
855.94,3.520,14.6,2.7,177,0,190,1476,43,29.9
855.10,3.510,14.5,2.6,174,0,192,1485,43,29.9
854.06,3.520,14.5,2.5,171,0,194,1495,43,29.9
853.23,3.520,14.4,2.4,167,0,196,1503,43,29.9
852.18,3.520,14.3,2.3,163,0,198,1514,44,30.0
851.35,3.500,14.3,2.2,160,0,200,1522,44,30.0
850.52,3.500,14.2,2.1,157,0,202,1530,44,30.0
849.90,3.500,14.2,2.0,155,0,204,1536,44,30.0
849.07,3.500,14.1,1.8,153,0,206,1544,44,30.0
848.03,3.500,14.0,1.6,150,0,208,1555,44,30.0
847.00,3.500,13.8,1.4,158,2,210,1565,45,30.0
845.97,3.500,13.8,1.1,166,0,212,1575,45,30.1
845.14,3.500,13.9,1.0,174,0,214,1584,45,30.1
844.11,3.500,14.0,0.8,192,0,216,1594,44,30.1
843.08,3.520,14.0,0.7,223,0,218,1604,43,30.1
842.26,3.530,14.0,0.7,259,0,220,1612,43,30.1
841.23,3.540,13.9,0.7,293,0,222,1623,43,30.1
840.20,3.550,14.0,0.7,321,0,224,1633,43,30.2
839.18,3.550,13.9,0.8,336,0,226,1643,43,30.2
837.95,3.570,13.9,1.0,346,0,228,1656,44,30.2
836.93,3.580,13.9,1.2,359,0,230,1666,43,30.2
835.91,3.590,13.9,1.4,4,0,232,1676,43,30.2
834.89,3.620,13.9,1.7,9,0,234,1686,42,30.2
833.87,3.630,13.9,2.0,12,0,236,1697,42,30.2
832.85,3.660,13.9,2.3,14,0,238,1707,42,30.3
832.04,3.660,14.0,2.5,15,0,240,1715,42,30.3
830.82,3.680,14.0,2.8,15,0,242,1728,41,30.3
829.81,3.690,13.8,3.0,15,0,244,1738,41,30.3
829.00,3.690,14.5,3.2,14,0,246,1746,42,30.3
827.98,3.680,14.5,3.4,13,2,248,1756,43,30.3
826.97,3.690,14.4,3.6,13,0,250,1767,44,30.3
826.17,3.690,14.4,3.7,12,0,252,1775,44,30.3
825.36,3.690,14.4,3.8,12,0,254,1783,43,30.3
824.55,3.690,14.2,3.9,11,0,256,1792,43,30.3
823.75,3.690,14.1,4.0,10,0,258,1800,44,30.3
