
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2011-09-08,AEMET,1.0,Jose Luis Hernandez (AEMET)

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24549

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-09-07,10:51:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 117
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
232.5,0,287.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.026,28.40,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
951.61,3.390,28.5,2.3,129,2,0,631,18,28.6
950.91,3.470,26.7,2.2,156,2,2,637,21,28.6
949.52,3.500,26.7,2.3,164,0,4,650,21,28.6
948.36,3.510,26.6,2.5,167,0,6,661,22,28.6
947.21,3.520,26.5,2.7,166,0,8,672,22,28.7
946.28,3.540,26.4,2.9,163,0,10,680,23,28.7
945.36,3.580,26.4,2.8,158,0,12,689,23,28.7
944.20,3.620,26.3,2.9,154,0,14,700,23,28.7
943.28,3.630,26.3,2.8,150,0,16,708,23,28.8
942.13,3.610,26.3,2.8,147,0,18,719,23,28.8
940.75,3.620,26.1,2.6,145,0,20,732,23,28.8
939.60,3.620,26.0,2.5,144,0,22,743,23,28.8
938.69,3.620,25.9,2.3,144,0,24,751,23,28.8
937.54,3.610,25.8,2.1,145,0,26,762,24,28.9
936.40,3.610,25.6,2.0,147,0,28,773,24,28.9
935.26,3.620,25.4,1.8,149,0,30,783,24,28.9
933.89,3.630,25.3,1.8,154,0,32,796,24,28.9
932.52,3.690,25.2,1.7,159,0,34,809,24,28.9
930.93,3.710,25.2,1.7,162,0,36,824,24,29.0
929.57,3.720,25.0,1.7,164,0,38,837,24,29.0
928.20,3.730,24.8,1.7,165,0,40,850,23,29.0
927.07,3.810,24.6,1.8,165,0,42,860,23,29.0
925.49,3.930,24.4,1.9,163,0,44,875,23,29.0
925.00,3.970,24.4,1.9,163,3,45,880,23,29.0
924.13,3.970,24.4,2.0,161,0,46,888,22,29.0
922.78,4.030,24.3,2.0,158,0,48,901,22,29.1
921.66,4.250,24.2,2.1,155,0,50,912,23,29.1
920.31,4.380,24.2,2.1,152,0,52,924,22,29.1
918.96,4.450,24.1,2.2,150,0,54,937,22,29.1
917.84,4.470,23.9,2.2,147,0,56,948,22,29.1
916.50,4.560,23.8,2.2,145,0,58,961,22,29.2
915.38,4.660,23.7,2.2,143,0,60,971,23,29.2
913.81,4.730,23.6,2.2,141,0,62,986,23,29.2
912.48,4.750,23.5,2.2,139,0,64,999,23,29.2
911.14,4.780,23.3,2.1,137,0,66,1012,23,29.2
910.03,4.780,23.1,2.1,135,0,68,1022,23,29.3
908.70,4.800,22.9,2.1,134,0,70,1035,24,29.3
907.15,4.810,22.8,2.1,132,0,72,1050,23,29.3
905.60,4.830,22.8,2.0,130,0,74,1065,24,29.3
904.27,4.900,22.8,2.0,128,2,76,1077,23,29.3
903.17,4.900,22.7,2.0,127,0,78,1088,23,29.3
901.63,4.900,22.6,1.9,125,0,80,1103,24,29.4
900.31,4.930,22.5,1.8,123,0,82,1116,24,29.4
898.99,4.930,22.4,1.8,121,0,84,1128,24,29.4
897.89,4.960,22.3,1.7,120,0,86,1139,24,29.4
897.01,4.960,22.2,1.6,119,0,88,1147,24,29.4
895.92,4.980,22.1,1.4,119,0,90,1158,25,29.5
894.83,4.980,22.0,1.3,120,0,92,1168,25,29.5
893.74,4.980,21.9,1.2,122,0,94,1179,25,29.5
892.21,4.980,21.9,1.1,125,0,96,1194,25,29.5
891.34,4.990,21.8,1.0,128,0,98,1202,25,29.6
890.25,4.980,21.7,0.9,133,0,100,1213,26,29.6
888.95,4.980,21.5,0.9,138,0,102,1226,26,29.6
887.86,4.990,21.4,0.9,142,0,104,1236,26,29.6
887.00,4.990,21.4,0.9,146,0,106,1245,26,29.6
885.70,4.990,21.3,0.9,150,0,108,1257,26,29.7
884.40,4.990,21.2,1.0,153,0,110,1270,26,29.7
