
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2011-12-15,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A24706

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2011-12-14,10:58:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 201
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
230.3,0,256.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-AGPW,,0.042,29.40,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.59,2.010,12.2,3.9,230,2,0,631,73,19.4
946.51,2.020,11.8,5.0,250,0,2,649,73,19.4
945.36,2.040,11.8,5.6,257,0,4,660,74,19.4
944.20,2.070,11.6,6.2,261,0,6,670,74,19.4
943.28,2.100,11.5,6.7,262,0,8,678,75,19.5
941.90,2.120,11.4,7.3,261,0,10,690,75,19.5
940.75,2.130,11.3,7.7,259,0,12,701,75,19.5
939.60,2.130,11.2,8.1,258,0,14,711,75,19.5
938.46,2.160,11.1,8.4,257,0,16,721,76,19.5
937.08,2.170,10.9,8.7,256,0,18,733,76,19.6
935.71,2.200,10.8,9.0,255,0,20,745,77,19.6
934.34,2.210,10.7,9.2,253,0,22,758,77,19.6
932.98,2.220,10.6,9.4,252,0,24,770,78,19.6
931.61,2.220,10.5,9.5,251,0,26,782,79,19.6
930.25,2.230,10.4,9.6,250,0,28,794,79,19.6
928.88,2.230,10.3,9.7,249,0,30,806,79,19.6
927.52,2.250,10.2,9.8,249,0,32,819,80,19.7
926.17,2.260,10.1,9.8,248,0,34,831,80,19.7
925.00,2.280,10.0,9.8,248,3,36,841,80,19.7
924.81,2.280,10.0,9.8,248,0,36,843,80,19.7
923.68,2.290,9.8,9.7,248,0,38,853,81,19.7
922.33,2.300,9.7,9.7,249,0,40,865,81,19.7
921.21,2.310,9.6,9.6,249,0,42,876,81,19.7
920.08,2.330,9.5,9.6,249,0,44,886,82,19.7
918.96,2.340,9.4,9.6,250,0,46,896,81,19.8
918.06,2.350,9.3,9.6,250,0,48,904,82,19.8
916.94,2.350,9.2,9.6,250,0,50,914,83,19.8
915.82,2.360,9.1,9.6,250,0,52,924,83,19.8
914.71,2.380,9.1,9.7,250,0,54,934,83,19.8
913.81,2.410,9.0,9.7,250,0,56,942,84,19.9
912.48,2.410,8.9,9.8,250,0,58,955,84,19.9
911.14,2.410,8.7,9.8,250,0,60,967,85,19.9
909.81,2.440,8.6,9.8,249,0,62,979,85,19.9
908.48,2.450,8.5,9.8,249,0,64,991,85,19.9
907.15,2.470,8.4,9.7,249,0,66,1003,86,19.9
905.82,2.470,8.3,9.7,249,0,68,1015,87,19.9
904.49,2.480,8.1,9.6,249,0,70,1027,88,20.0
903.17,2.490,8.0,9.5,248,0,72,1039,89,20.0
901.85,2.480,7.9,9.4,248,0,74,1052,89,20.0
900.75,2.470,7.8,9.3,249,0,76,1062,90,20.0
899.43,2.460,7.7,9.1,249,0,78,1074,90,20.0
898.33,2.460,7.7,9.0,249,0,80,1084,90,20.1
897.45,2.460,7.7,8.9,250,0,82,1092,88,20.1
896.58,2.460,7.7,8.8,250,0,84,1100,89,20.1
895.70,2.460,7.6,8.8,251,0,86,1108,89,20.1
894.61,2.470,7.5,8.8,252,0,88,1118,90,20.1
893.52,2.470,7.4,8.9,252,0,90,1128,90,20.2
892.43,2.460,7.3,8.9,252,0,92,1138,90,20.2
891.34,2.450,7.2,9.0,252,0,94,1148,91,20.2
890.47,2.460,7.1,9.2,252,0,96,1156,92,20.2
889.82,2.450,7.0,9.3,251,0,98,1162,92,20.2
888.73,2.430,6.8,9.4,250,0,100,1172,94,20.3
887.43,2.450,6.7,9.5,249,0,102,1184,94,20.3
886.13,2.440,6.8,9.5,248,0,104,1196,94,20.3
884.83,2.430,6.6,9.6,247,0,106,1209,95,20.3
883.32,2.430,6.4,9.6,246,0,108,1223,96,20.3
882.25,2.420,6.3,9.6,245,0,110,1233,96,20.4
881.17,2.410,6.2,9.6,244,0,112,1243,96,20.4
880.09,2.410,6.1,9.5,244,0,114,1253,96,20.4
879.24,2.410,6.1,9.5,244,0,116,1261,97,20.4
878.16,2.410,6.0,9.4,244,0,118,1271,97,20.4
877.09,2.410,5.9,9.3,244,2,120,1281,97,20.5
876.02,2.410,5.9,9.2,245,0,122,1291,97,20.5
874.53,2.430,5.9,9.1,246,0,124,1305,96,20.5
873.25,2.430,6.0,9.0,247,0,126,1317,94,20.5
872.18,2.430,5.9,8.8,248,0,128,1327,91,20.5
871.12,2.460,6.0,8.7,250,0,130,1337,89,20.6
869.84,2.460,6.1,8.6,252,0,132,1349,87,20.6
868.78,2.490,6.1,8.5,254,0,134,1359,85,20.6
867.72,2.500,6.0,8.4,256,0,136,1369,85,20.6
866.45,2.530,5.9,8.4,259,0,138,1381,83,20.6
865.18,2.580,5.9,8.3,261,0,140,1393,82,20.6
863.92,2.590,5.9,8.3,264,0,142,1405,81,20.6
862.65,2.620,6.0,8.3,267,0,144,1417,79,20.6
861.60,2.650,6.0,8.4,269,0,146,1427,77,20.7
860.34,2.670,6.1,8.4,271,0,148,1439,76,20.7
859.08,2.690,6.2,8.5,273,0,150,1451,75,20.7
857.82,2.710,6.1,8.6,274,0,152,1463,74,20.7
856.56,2.730,6.1,8.6,275,2,154,1475,74,20.7
855.31,2.730,5.9,8.6,276,0,156,1487,74,20.7
854.06,2.760,5.8,8.7,276,0,158,1499,73,20.8
853.02,2.770,5.7,8.7,275,0,160,1509,74,20.8
851.98,2.810,5.7,8.7,275,0,162,1519,74,20.8
850.94,2.820,5.6,8.7,274,0,164,1529,74,20.8
849.90,2.840,5.5,8.8,272,0,166,1539,74,20.8
848.45,2.870,5.4,8.9,271,0,168,1553,73,20.8
847.00,2.880,5.2,8.9,270,0,170,1567,75,20.9
845.55,2.880,5.1,9.0,268,0,172,1581,75,20.9
843.90,2.880,4.9,9.2,267,0,174,1597,75,20.9
842.46,2.880,4.8,9.3,266,0,176,1611,75,20.9
841.23,2.880,4.8,9.4,266,0,178,1623,73,20.9
840.00,2.890,4.7,9.6,265,0,180,1635,72,20.9
838.77,2.890,4.6,9.7,265,0,182,1647,72,21.0
837.74,2.900,4.6,9.8,264,0,184,1657,71,21.0
836.72,2.930,4.5,10.0,264,0,186,1666,70,21.0
835.50,2.960,4.4,10.1,265,0,188,1678,69,21.0
834.07,3.000,4.4,10.2,265,0,190,1692,66,21.0
832.85,3.000,4.3,10.3,266,0,192,1704,64,21.0
831.22,3.010,4.2,10.4,266,0,194,1720,63,21.0
829.81,3.020,4.1,10.5,267,0,196,1734,64,21.1
828.39,3.030,4.0,10.6,268,0,198,1748,63,21.1
826.97,3.040,3.9,10.7,269,0,200,1762,63,21.1
825.56,3.060,3.8,10.8,270,0,202,1776,63,21.1
824.15,3.060,3.7,11.0,271,0,204,1790,63,21.1
822.95,3.060,3.6,11.1,272,0,206,1802,60,21.1
821.74,3.070,3.6,11.3,272,0,208,1813,59,21.1
820.74,3.080,3.5,11.4,273,0,210,1823,59,21.1
819.74,3.100,3.4,11.6,273,0,212,1833,57,21.2
818.34,3.120,3.4,11.7,273,0,214,1847,55,21.2
817.14,3.130,3.4,11.9,273,0,216,1859,54,21.2
816.14,3.140,3.3,12.0,273,0,218,1869,54,21.2
815.35,3.150,3.3,12.1,272,0,220,1877,53,21.2
814.35,3.150,3.2,12.2,272,0,222,1887,53,21.3
813.36,3.150,3.0,12.3,272,0,224,1897,53,21.3
812.17,3.170,3.0,12.4,272,0,226,1908,53,21.3
811.18,3.180,2.9,12.5,272,0,228,1918,54,21.3
810.39,3.190,2.9,12.5,272,0,230,1926,53,21.3
809.40,3.210,2.8,12.6,272,0,232,1936,53,21.3
808.21,3.210,2.7,12.7,273,0,234,1948,52,21.3
807.03,3.230,2.6,12.9,273,0,236,1960,52,21.4
806.04,3.240,2.5,13.0,274,0,238,1970,52,21.4
805.06,3.230,2.5,13.2,275,0,240,1980,51,21.4
803.69,3.230,2.4,13.4,275,0,242,1993,50,21.4
802.51,3.240,2.4,13.7,276,0,244,2005,49,21.4
801.53,3.240,2.3,14.0,277,0,246,2015,49,21.4
800.55,3.240,2.2,14.2,277,0,248,2025,50,21.5
799.58,3.270,2.2,14.4,278,0,250,2035,49,21.5
798.80,3.280,2.2,14.5,278,0,252,2043,47,21.5
797.82,3.280,2.1,14.7,278,0,254,2053,46,21.5
796.85,3.290,2.1,14.9,278,0,256,2062,44,21.5
795.88,3.310,2.1,15.0,278,0,258,2072,43,21.5
794.91,3.320,2.0,15.1,278,0,260,2082,41,21.5
793.74,3.330,1.9,15.2,278,0,262,2094,40,21.5
792.58,3.330,1.8,15.3,278,0,264,2106,40,21.5
791.61,3.330,1.8,15.5,277,0,266,2116,37,21.6
790.65,3.340,1.8,15.7,277,0,268,2125,36,21.6
789.68,3.360,1.7,15.9,276,0,270,2135,36,21.6
788.72,3.340,1.7,16.1,276,0,272,2145,36,21.6
787.76,3.360,1.6,16.3,275,0,274,2155,36,21.6
786.80,3.370,1.6,16.6,274,0,276,2165,34,21.6
786.03,3.380,1.6,16.8,273,0,278,2173,32,21.6
785.07,3.390,1.5,17.1,272,0,280,2182,32,21.7
783.73,3.380,1.4,17.4,272,2,282,2196,32,21.7
782.39,3.390,1.4,17.7,271,0,284,2210,32,21.7
781.24,3.410,1.4,18.0,270,0,286,2222,30,21.7
780.29,3.410,1.5,18.3,270,0,288,2232,29,21.7
778.96,3.400,1.4,18.6,270,0,290,2245,28,21.7
