
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-01-19,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26726

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-01-18,10:56:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 161
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
227.9,0,263.0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.050,26.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
960.24,1.270,4.7,0.0,0,2,0,631,62,18.9
958.60,1.270,3.6,0.0,0,0,2,645,63,18.9
957.20,1.290,3.6,0.0,0,0,4,657,64,18.9
955.80,1.290,3.6,0.0,0,0,6,669,65,18.9
954.40,1.290,3.5,0.0,0,0,8,681,67,18.9
952.77,1.270,3.5,0.5,52,0,10,694,67,18.9
951.38,1.270,3.3,0.7,67,0,12,706,67,18.9
949.75,1.260,3.1,0.9,77,0,14,720,68,18.9
948.36,1.250,2.9,1.1,70,0,16,732,69,18.9
946.97,1.240,2.8,1.3,76,0,18,744,70,18.9
945.59,1.240,2.8,1.5,80,0,20,756,70,18.9
944.20,1.240,2.5,1.6,82,2,22,768,70,18.9
942.59,1.240,2.6,1.8,81,0,24,781,71,18.9
941.21,1.280,2.8,1.9,81,0,26,793,71,18.9
939.83,1.360,2.9,2.0,82,0,28,805,71,19.0
938.46,1.470,3.7,2.0,83,0,30,817,70,19.0
937.08,1.640,4.4,2.1,85,0,32,829,69,19.0
935.71,1.810,4.5,2.1,88,0,34,841,67,19.0
934.12,1.990,4.6,2.1,92,0,36,855,64,19.0
932.75,2.140,4.5,2.1,95,0,38,867,63,19.0
931.61,2.290,4.5,2.2,100,0,40,877,63,19.0
930.47,2.410,4.5,2.2,105,0,42,887,62,19.0
928.88,2.530,4.5,2.3,109,0,44,901,62,19.0
927.52,2.630,4.6,2.3,109,0,46,912,61,19.0
926.39,2.670,4.7,2.4,111,0,48,922,60,19.0
925.04,2.830,4.9,2.5,113,0,50,934,60,19.1
923.91,2.870,5.1,2.5,114,0,52,944,60,19.1
922.56,2.910,5.6,2.5,115,2,54,956,60,19.1
921.21,2.950,5.6,2.4,114,0,56,968,59,19.1
920.08,3.100,5.5,2.4,112,0,58,978,59,19.1
918.74,3.140,5.4,2.4,109,0,60,990,59,19.1
917.39,3.180,5.3,2.4,106,0,62,1002,60,19.1
916.27,3.280,5.2,2.4,102,0,64,1012,60,19.1
915.15,3.420,5.2,2.4,98,0,66,1022,60,19.1
914.26,3.430,5.0,2.4,94,0,68,1030,60,19.1
912.92,3.450,5.0,2.4,90,0,70,1042,60,19.1
911.14,3.470,4.9,2.4,85,0,72,1058,61,19.1
909.14,3.490,4.8,2.4,81,0,74,1076,61,19.2
908.03,3.500,4.7,2.5,76,0,76,1086,61,19.2
906.92,3.500,4.7,2.5,72,0,78,1096,62,19.2
905.82,3.500,4.6,2.6,67,0,80,1106,62,19.2
904.49,3.510,4.5,2.6,62,0,82,1118,62,19.2
902.95,3.530,4.5,2.7,57,0,84,1132,61,19.2
902.07,3.550,4.6,2.8,53,0,86,1140,59,19.2
901.41,3.560,4.6,2.9,48,0,88,1146,57,19.2
900.31,3.620,4.6,3.0,44,2,90,1156,55,19.2
898.99,3.630,4.6,3.1,40,0,92,1167,53,19.2
897.45,3.630,4.6,3.2,36,0,94,1181,52,19.2
896.14,3.650,4.6,3.4,33,0,96,1193,50,19.2
894.83,3.650,4.6,3.6,29,0,98,1205,49,19.2
893.74,3.660,4.6,3.9,27,0,100,1215,46,19.2
892.43,3.660,4.5,4.1,26,0,102,1227,42,19.2
891.12,3.680,4.8,4.2,24,0,104,1239,38,19.2
889.82,3.690,5.0,4.5,22,0,106,1251,34,19.2
888.51,3.700,5.1,4.7,21,0,108,1263,31,19.2
887.00,3.710,5.1,4.9,21,0,110,1277,31,19.3
885.48,3.710,5.1,4.9,20,0,112,1291,32,19.3
883.97,3.720,5.0,5.0,20,0,114,1305,31,19.3
882.68,3.710,5.0,4.9,20,0,116,1317,31,19.3
881.60,3.710,5.1,4.9,20,0,118,1327,30,19.3
880.09,3.700,5.3,4.7,19,0,120,1341,28,19.3
878.81,3.710,5.3,4.6,19,0,122,1353,26,19.3
877.73,3.710,5.3,4.6,19,0,124,1363,26,19.3
876.45,3.710,5.4,4.6,19,0,126,1374,25,19.3
875.17,3.740,5.3,4.6,19,0,128,1386,24,19.3
874.10,3.740,5.3,4.6,18,0,130,1396,23,19.3
872.61,3.740,5.3,4.7,18,0,132,1410,21,19.3
871.33,3.720,5.3,4.9,17,0,134,1422,20,19.3
870.05,3.710,5.3,5.0,16,0,136,1434,20,19.3
868.99,3.700,5.2,5.2,15,0,138,1444,21,19.3
867.72,3.700,5.1,5.3,14,0,140,1456,21,19.3
866.45,3.710,5.1,5.5,14,0,142,1468,22,19.4
865.39,3.710,5.1,5.6,14,0,144,1478,21,19.4
864.13,3.710,5.1,5.7,14,0,146,1490,21,19.4
862.86,3.720,5.1,5.7,14,0,148,1502,22,19.4
861.60,3.720,4.9,5.8,14,0,150,1514,23,19.4
860.34,3.730,4.8,5.8,15,0,152,1526,24,19.4
859.29,3.770,4.7,5.8,16,0,154,1536,24,19.4
858.24,3.770,4.6,5.8,17,0,156,1546,24,19.4
856.98,3.770,4.5,5.9,18,0,158,1558,24,19.4
855.73,3.760,4.5,5.9,18,0,160,1569,24,19.4
854.48,3.760,4.3,6.0,18,0,162,1581,24,19.4
853.43,3.750,4.2,6.1,18,0,164,1591,24,19.4
852.18,3.750,4.1,6.1,18,0,166,1603,25,19.4
850.94,3.750,4.0,6.2,18,0,168,1615,26,19.4
850.00,3.750,3.9,6.3,17,3,170,1624,26,19.4
849.69,3.750,3.9,6.3,17,0,170,1627,26,19.4
848.24,3.750,3.9,6.4,17,0,172,1641,27,19.4
847.00,3.750,3.8,6.4,17,0,174,1653,28,19.4
845.76,3.790,3.6,6.5,17,0,176,1665,28,19.4
844.73,3.760,3.6,6.5,18,0,178,1675,28,19.4
843.49,3.740,3.5,6.6,18,0,180,1686,28,19.4
842.05,3.750,3.4,6.7,19,0,182,1700,27,19.4
840.82,3.740,3.4,6.7,19,0,184,1712,28,19.4
839.59,3.730,3.4,6.8,20,0,186,1724,27,19.4
838.36,3.720,3.5,7.0,20,0,188,1736,26,19.4
836.93,3.710,3.5,7.1,20,0,190,1750,26,19.4
835.70,3.690,3.6,7.3,20,0,192,1762,26,19.4
834.68,3.660,3.6,7.4,20,0,194,1772,26,19.4
833.46,3.670,3.5,7.6,19,0,196,1783,26,19.4
832.24,3.690,3.4,7.8,19,0,198,1795,26,19.4
831.02,3.710,3.3,8.0,20,0,200,1807,26,19.4
830.01,3.710,3.3,8.1,20,0,202,1817,26,19.4
828.59,3.710,3.2,8.3,20,0,204,1831,26,19.5
827.38,3.710,3.1,8.4,21,0,206,1843,26,19.5
826.17,3.710,3.1,8.4,22,0,208,1855,26,19.5
825.16,3.700,3.1,8.5,23,0,210,1865,26,19.5
824.15,3.690,3.0,8.5,24,0,212,1874,26,19.5
822.75,3.680,2.9,8.5,25,0,214,1888,26,19.5
821.34,3.660,2.9,8.4,26,0,216,1902,26,19.5
820.14,3.660,2.9,8.4,27,0,218,1914,26,19.5
819.14,3.660,2.9,8.3,28,0,220,1924,26,19.5
818.34,3.670,2.8,8.3,28,0,222,1932,26,19.5
817.14,3.680,2.7,8.2,29,0,224,1943,26,19.5
815.94,3.680,2.6,8.2,29,0,226,1955,26,19.5
814.55,3.670,2.5,8.2,29,0,228,1969,26,19.5
813.36,3.650,2.4,8.3,30,0,230,1981,26,19.5
812.17,3.620,2.4,8.3,30,0,232,1993,26,19.5
810.98,3.610,2.3,8.4,30,0,234,2005,26,19.5
809.79,3.610,2.2,8.5,30,0,236,2016,25,19.5
808.61,3.610,2.1,8.6,31,0,238,2028,25,19.5
807.42,3.610,2.0,8.7,31,0,240,2040,25,19.6
806.44,3.610,1.9,8.8,31,0,242,2050,25,19.6
805.26,3.610,1.8,8.9,31,0,244,2062,25,19.5
803.88,3.610,1.8,8.9,32,0,246,2075,26,19.5
802.71,3.600,1.7,9.0,32,0,248,2087,26,19.6
801.53,3.580,1.5,9.0,32,0,250,2099,26,19.6
800.36,3.580,1.4,9.0,33,0,252,2111,26,19.6
799.38,3.580,1.3,9.0,33,0,254,2121,26,19.6
798.21,3.590,1.3,9.0,34,0,256,2132,26,19.6
797.24,3.600,1.3,9.0,34,0,258,2142,26,19.6
796.07,3.600,1.3,9.0,35,0,260,2154,25,19.6
794.91,3.600,1.3,9.0,35,0,262,2166,25,19.6
793.74,3.580,1.2,9.0,35,0,264,2178,25,19.6
792.58,3.580,1.1,9.0,35,0,266,2189,25,19.6
791.42,3.580,1.0,9.0,35,0,268,2201,25,19.6
790.45,3.580,1.0,9.0,35,0,270,2211,25,19.6
789.10,3.550,1.0,8.9,35,0,272,2225,25,19.6
787.95,3.550,0.9,8.9,35,0,274,2236,25,19.6
786.60,3.550,0.7,8.8,34,0,276,2250,26,19.6
785.45,3.540,0.6,8.7,33,0,278,2262,26,19.6
784.30,3.540,0.5,8.6,33,0,280,2274,26,19.6
783.35,3.530,0.4,8.5,32,0,282,2283,26,19.6
782.01,3.520,0.3,8.4,31,0,284,2297,26,19.6
780.86,3.520,0.2,8.3,31,0,286,2309,26,19.6
779.72,3.510,0.2,8.3,30,0,288,2321,26,19.6
778.58,3.510,0.1,8.3,29,0,290,2332,25,19.6
777.25,3.490,0.0,8.2,29,0,292,2346,24,19.6
776.11,3.510,0.0,8.2,28,0,294,2358,24,19.6
774.98,3.510,-0.1,8.3,28,0,296,2369,24,19.7
773.84,3.510,-0.2,8.3,27,0,298,2381,24,19.7
772.71,3.500,-0.3,8.3,26,0,300,2393,24,19.7
771.39,3.520,-0.3,8.4,26,0,302,2407,24,19.7
770.26,3.520,-0.4,8.4,25,0,304,2418,24,19.7
769.13,3.500,-0.4,8.4,24,0,306,2430,24,19.7
767.82,3.490,-0.4,8.5,22,0,308,2444,23,19.7
766.70,3.490,-0.2,8.6,21,0,310,2455,21,19.7
765.57,3.500,-0.1,8.7,20,0,312,2467,19,19.7
764.45,3.490,-0.1,8.8,18,0,314,2479,18,19.7
763.15,3.490,-0.1,8.9,17,0,316,2492,18,19.7
762.03,3.500,-0.2,9.1,16,0,318,2504,16,19.7
760.91,3.490,-0.1,9.3,15,0,320,2516,15,19.7
759.62,3.460,-0.1,9.5,14,0,322,2530,14,19.7
758.32,3.470,-0.1,9.6,13,0,324,2543,12,19.8
757.21,3.480,-0.2,9.8,12,0,326,2555,12,19.8
756.28,3.470,-0.2,9.9,12,0,328,2565,12,19.8
755.18,3.460,-0.4,10.0,11,0,330,2576,12,19.8
753.89,3.460,-0.4,10.1,11,0,332,2590,12,19.8
752.60,3.440,-0.5,10.1,11,0,334,2604,12,19.8
751.32,3.430,-0.5,10.1,12,0,336,2617,11,19.8
750.22,3.430,-0.5,10.2,12,0,338,2629,11,19.8
749.12,3.420,-0.5,10.1,12,0,340,2641,12,19.8
748.02,3.400,-0.7,10.1,13,0,342,2652,12,19.8
746.74,3.380,-0.8,10.1,14,0,344,2666,13,19.8
745.65,3.380,-0.7,10.1,14,0,346,2678,13,19.8
744.38,3.380,-0.8,10.1,15,0,348,2691,12,19.8
743.47,3.380,-0.9,10.1,16,0,350,2701,13,19.8
742.38,3.380,-0.9,10.2,16,2,352,2713,21,19.8
741.29,3.400,-1.0,10.3,17,0,354,2724,30,19.8
740.21,3.460,-1.2,10.4,18,0,356,2736,35,19.8
739.13,3.490,-1.2,10.6,19,0,358,2748,38,19.8
738.04,3.580,-1.3,10.8,20,0,360,2759,41,19.8
736.96,3.660,-1.4,11.0,21,0,362,2771,42,19.8
735.53,3.680,-1.4,11.2,22,0,364,2787,43,19.8
734.27,3.700,-1.4,11.5,23,0,366,2800,43,19.8
733.20,3.780,-1.2,11.7,24,0,368,2812,52,19.8
732.12,3.850,-1.1,11.9,25,0,370,2824,53,19.8
731.05,3.890,-1.2,12.2,25,0,372,2835,53,19.9
729.98,3.890,-1.3,12.3,26,0,374,2847,54,19.9
728.91,3.900,-1.4,12.5,26,0,376,2859,56,19.9
727.84,3.910,-1.4,12.7,26,0,378,2870,59,19.9
726.78,3.910,-1.6,12.8,27,2,380,2882,60,19.9
725.72,3.900,-1.6,12.9,27,0,382,2894,60,19.9
724.65,3.860,-1.5,13.0,27,0,384,2905,61,19.9
723.59,3.840,-1.6,13.0,27,0,386,2917,60,19.9
722.71,3.820,-1.7,13.1,27,0,388,2927,61,19.9
721.65,3.780,-1.7,13.2,27,0,390,2938,60,19.9
720.60,3.760,-1.9,13.3,27,0,392,2950,60,19.9
719.54,3.750,-2.0,13.4,28,0,394,2962,60,19.9
718.14,3.700,-2.0,13.5,28,0,396,2977,60,19.9
717.26,3.640,-2.1,13.7,29,0,398,2987,59,19.9
716.04,3.630,-2.2,13.8,29,0,400,3001,60,19.9
714.99,3.610,-2.3,13.9,29,0,402,3012,59,19.9
713.94,3.550,-2.4,14.0,30,0,404,3024,59,19.9
712.90,3.540,-2.5,14.1,30,0,406,3035,59,19.9
711.85,3.530,-2.6,14.2,30,0,408,3047,60,19.9
710.81,3.510,-2.7,14.3,30,0,410,3059,60,19.9
709.60,3.500,-2.8,14.3,30,0,412,3072,60,19.9
708.56,3.450,-2.9,14.4,30,0,414,3084,59,19.9
707.52,3.430,-2.9,14.4,30,0,416,3095,59,19.9
706.49,3.420,-3.0,14.5,30,0,418,3107,59,19.9
705.11,3.390,-3.2,14.5,30,0,420,3123,58,19.9
704.07,3.380,-3.3,14.5,30,0,422,3134,58,19.9
702.87,3.350,-3.4,14.6,30,0,424,3148,58,19.9
701.67,3.340,-3.5,14.6,30,0,426,3161,58,19.9
700.65,3.340,-3.7,14.7,31,0,428,3173,58,19.9
700.00,3.320,-3.8,14.7,31,3,429,3180,59,19.9
699.62,3.320,-3.8,14.7,31,0,430,3184,59,19.9
698.43,3.310,-3.9,14.7,31,0,432,3198,59,19.9
697.23,3.320,-4.0,14.8,31,0,434,3211,59,19.9
696.04,3.320,-4.1,14.9,32,0,436,3225,60,19.9
695.02,3.280,-4.2,15.0,32,0,438,3236,60,19.9
693.84,3.280,-4.3,15.1,32,0,440,3250,60,19.9
692.82,3.280,-4.5,15.2,32,0,442,3261,60,19.9
691.81,3.250,-4.7,15.3,32,0,444,3273,61,19.9
690.63,3.250,-4.8,15.4,32,0,446,3286,61,19.9
689.45,3.250,-4.9,15.5,32,0,448,3300,61,19.9
688.44,3.220,-5.0,15.6,32,0,450,3311,61,19.9
687.26,3.210,-5.1,15.7,32,0,452,3325,62,19.9
685.92,3.210,-5.3,15.7,32,0,454,3340,63,19.9
684.75,3.180,-5.4,15.8,32,0,456,3353,64,19.9
683.75,3.170,-5.5,15.8,32,0,458,3365,64,19.9
682.58,3.160,-5.6,15.8,31,0,460,3378,65,19.9
681.58,3.160,-5.8,15.7,31,0,462,3390,65,19.9
680.42,3.160,-5.9,15.7,31,0,464,3403,65,19.9
679.42,3.140,-6.0,15.7,30,0,466,3415,65,19.9
