
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-03-01,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26731

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-02-29,10:57:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 201
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
312.6,0,358.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.040,26.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.75,2.050,14.1,0.0,0,2,0,631,45,20.0
947.90,2.160,13.2,0.0,0,0,2,647,44,20.0
946.51,2.180,13.0,0.5,66,0,4,660,44,20.0
944.90,2.180,13.0,0.6,55,0,6,674,45,20.0
943.05,2.200,12.9,0.6,53,0,8,691,45,20.1
941.44,2.200,12.9,0.6,53,0,10,705,46,20.1
939.60,2.220,12.0,0.5,45,0,12,721,46,20.1
937.77,2.220,12.0,0.0,0,0,14,738,47,20.1
936.17,2.240,11.9,0.0,0,0,16,752,47,20.1
934.34,2.260,11.8,0.0,0,0,18,768,47,20.1
932.75,2.260,11.6,0.0,0,0,20,783,47,20.1
931.16,2.270,11.4,0.0,0,0,22,797,48,20.1
929.34,2.280,11.3,0.0,0,0,24,813,49,20.1
928.20,2.280,11.2,0.0,0,0,26,823,49,20.1
926.85,2.280,11.1,0.0,0,0,28,836,49,20.1
925.49,2.300,10.9,0.0,0,0,30,848,50,20.1
925.00,2.330,10.9,0.0,0,3,31,852,51,20.2
924.13,2.330,10.8,0.0,0,0,32,860,52,20.2
922.78,2.360,10.6,0.5,183,0,34,872,53,20.2
921.66,2.460,10.5,0.6,175,0,36,882,54,20.2
920.53,2.520,10.3,0.7,169,0,38,892,55,20.2
919.41,2.640,10.2,0.8,165,0,40,903,55,20.2
918.29,2.640,10.2,0.9,163,0,42,913,55,20.2
917.17,2.680,10.2,1.1,161,0,44,923,56,20.2
915.82,2.740,10.2,1.1,157,0,46,935,56,20.2
914.71,2.740,10.1,1.2,154,0,48,945,56,20.3
913.59,2.840,10.0,1.3,150,0,50,955,58,20.3
912.25,2.960,9.9,1.4,146,0,52,968,59,20.3
910.92,3.050,9.9,1.4,141,2,54,980,58,20.3
909.58,3.140,10.0,1.5,136,0,56,992,57,20.3
908.25,3.320,10.2,1.5,131,0,58,1004,55,20.3
906.92,3.380,10.3,1.5,125,0,60,1016,53,20.3
905.60,3.440,10.4,1.6,118,0,62,1029,52,20.3
904.49,3.560,10.4,1.6,113,0,64,1039,51,20.3
903.17,3.600,10.4,1.6,107,0,66,1051,51,20.3
901.85,3.670,10.4,1.6,102,0,68,1063,51,20.4
900.53,3.680,10.5,1.6,98,0,70,1075,50,20.4
899.43,3.730,10.6,1.6,93,0,72,1085,49,20.4
898.11,3.770,10.8,1.5,89,0,74,1098,47,20.4
897.01,3.780,10.9,1.4,86,0,76,1108,47,20.4
895.92,3.860,11.0,1.3,82,0,78,1118,46,20.4
894.61,3.890,10.9,1.2,78,0,80,1130,45,20.4
893.30,3.890,11.1,1.0,69,0,82,1142,44,20.4
892.21,3.920,11.3,0.9,62,0,84,1153,44,20.4
891.12,3.980,11.4,0.9,50,0,86,1163,43,20.4
889.82,3.990,11.4,0.8,29,0,88,1175,44,20.4
888.51,4.000,11.4,0.8,2,0,90,1187,44,20.5
887.43,4.020,11.6,0.8,336,0,92,1197,44,20.5
