
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-06-29,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26408

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-06-28,11:01:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB  85
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
245.1,0,314.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.049,28.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
941.21,3.910,32.0,4.1,230,2,0,631,15,27.6
940.06,3.920,31.4,4.4,232,0,2,642,18,27.7
939.38,3.920,31.1,4.7,233,0,4,648,19,27.7
938.69,3.920,30.8,4.9,233,0,6,655,19,27.7
937.77,3.920,30.5,5.1,234,0,8,664,19,27.7
937.08,3.930,30.2,5.3,235,0,10,670,19,27.7
936.40,3.950,29.9,5.4,235,0,12,677,20,27.7
935.48,3.970,29.6,5.5,235,0,14,685,20,27.8
934.80,4.010,29.5,5.5,235,0,16,692,21,27.8
934.12,4.030,29.4,5.6,235,0,18,699,21,27.8
933.43,4.060,29.3,5.7,235,0,20,705,21,27.8
932.98,4.110,29.3,5.8,235,0,22,709,21,27.9
932.06,4.130,29.2,6.0,234,0,24,718,21,27.9
931.16,4.130,29.0,6.2,234,0,26,727,21,27.9
930.02,4.140,28.9,6.4,233,0,28,738,22,28.0
929.11,4.150,28.8,6.6,232,0,30,746,22,28.0
928.20,4.190,28.5,6.8,232,2,32,755,22,28.0
927.30,4.200,28.5,7.0,231,0,34,764,22,28.0
926.17,4.220,28.4,7.1,231,0,36,774,22,28.0
925.04,4.230,28.2,7.2,230,0,38,785,22,28.0
923.91,4.240,28.1,7.3,230,0,40,796,23,28.1
923.01,4.240,28.0,7.3,230,0,42,805,23,28.1
921.88,4.250,27.9,7.2,229,0,44,815,23,28.1
920.76,4.270,27.9,7.2,229,0,46,826,23,28.1
919.63,4.270,27.7,7.1,229,0,48,837,23,28.1
918.29,4.270,27.6,7.0,230,0,50,850,23,28.2
917.17,4.290,27.6,6.9,230,0,52,861,23,28.2
916.05,4.290,27.4,6.7,231,0,54,871,23,28.2
914.93,4.300,27.3,6.6,232,0,56,882,23,28.2
913.59,4.310,27.1,6.4,233,0,58,895,23,28.3
912.25,4.320,27.0,6.3,234,0,60,908,23,28.3
911.14,4.340,27.0,6.3,236,0,62,919,23,28.3
909.81,4.340,26.9,6.2,238,0,64,932,23,28.3
908.48,4.350,26.8,6.2,239,0,66,945,23,28.4
907.15,4.350,26.8,6.2,241,0,68,958,24,28.4
905.82,4.340,26.7,6.3,243,0,70,971,24,28.4
904.27,4.340,26.6,6.4,244,0,72,986,24,28.4
902.73,4.340,26.5,6.5,246,0,74,1001,24,28.4
901.41,4.340,26.4,6.6,247,0,76,1014,24,28.4
899.87,4.340,26.3,6.8,248,0,78,1029,24,28.4
898.33,4.360,26.1,6.9,248,0,80,1044,24,28.5
896.80,4.360,25.8,7.1,249,0,82,1059,24,28.5
895.26,4.360,25.6,7.2,249,0,84,1074,25,28.5
893.74,4.360,25.4,7.3,249,0,86,1089,25,28.5
892.43,4.360,25.2,7.4,248,0,88,1101,25,28.6
890.90,4.350,25.1,7.5,248,0,90,1116,25,28.6
