
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2013-05-07,AEMET,1.0,Jose Luis Hernandez Perez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26414

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-08-08,10:54:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 203
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
237.3,0,300.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.023,27.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.36,4.690,28.3,2.4,84,2,0,631,33,26.4
947.44,4.710,26.3,1.9,107,2,2,641,36,26.4
946.05,4.890,26.0,2.2,107,2,4,652,38,26.5
944.90,4.930,26.0,2.5,106,0,6,664,39,26.5
943.74,4.930,25.8,2.8,106,0,8,675,40,26.5
942.59,4.880,25.7,3.1,105,0,10,685,41,26.5
941.67,4.840,25.7,3.3,106,0,12,693,41,26.5
940.75,4.840,25.6,3.5,106,0,14,702,41,26.6
939.83,4.850,25.4,3.6,106,0,16,712,42,26.6
938.69,4.880,25.3,3.8,107,0,18,722,42,26.6
937.77,4.910,25.2,3.8,108,0,20,731,43,26.6
936.63,4.920,25.1,3.9,109,0,22,742,43,26.6
935.48,4.940,25.0,3.9,110,0,24,753,43,26.6
934.12,4.940,24.9,3.9,112,0,26,764,44,26.7
932.98,4.920,24.8,3.9,113,0,28,775,44,26.7
931.84,4.920,24.7,4.0,115,0,30,785,44,26.7
930.70,4.920,24.6,4.0,116,0,32,798,44,26.7
929.34,4.920,24.5,4.0,117,0,34,810,44,26.7
928.20,4.920,24.4,4.1,119,0,36,821,45,26.7
926.85,4.930,24.3,4.2,120,0,38,833,45,26.8
925.71,4.940,24.2,4.3,121,0,40,845,45,26.8
925.00,4.940,24.1,4.4,122,3,41,851,45,26.8
924.36,4.940,24.0,4.4,122,0,42,857,45,26.8
923.01,4.940,23.9,4.5,123,0,44,869,46,26.8
921.88,4.950,23.8,4.6,124,0,46,881,46,26.8
920.76,4.940,23.7,4.6,125,0,48,892,46,26.9
919.63,4.960,23.6,4.6,126,0,50,902,46,26.9
918.51,4.950,23.5,4.6,127,0,52,913,47,26.9
917.39,4.950,23.4,4.5,129,0,54,924,47,26.9
916.05,5.000,23.3,4.4,131,0,56,935,47,26.9
914.93,4.990,23.2,4.2,133,0,58,945,47,26.9
914.04,4.970,23.1,4.0,135,0,60,955,47,27.0
912.92,4.990,23.0,3.8,138,0,62,965,48,27.0
911.81,4.970,22.9,3.6,141,0,64,976,48,27.0
910.47,4.980,22.8,3.4,144,0,66,988,48,27.0
909.36,4.990,22.7,3.2,148,0,68,1001,48,27.0
908.03,4.990,22.6,3.0,152,0,70,1012,49,27.1
906.92,4.970,22.5,2.8,156,0,72,1023,49,27.1
905.82,4.950,22.5,2.7,160,0,74,1033,49,27.1
904.93,4.910,22.4,2.6,164,0,76,1042,49,27.1
904.05,4.890,22.3,2.6,168,0,78,1050,49,27.1
903.39,4.890,22.3,2.5,171,0,80,1056,49,27.2
902.73,4.890,22.2,2.5,173,0,82,1063,49,27.2
901.85,4.890,22.1,2.5,175,0,84,1071,50,27.2
900.97,4.890,22.0,2.6,176,0,86,1080,50,27.2
900.09,4.890,22.0,2.6,176,0,88,1088,50,27.2
899.43,4.880,21.9,2.6,177,0,90,1095,50,27.3
898.77,4.880,21.9,2.7,176,0,92,1101,50,27.3
898.11,4.880,21.8,2.7,176,0,94,1108,50,27.3
897.23,4.920,21.7,2.8,175,0,96,1117,50,27.3
896.36,4.940,21.6,2.8,174,0,98,1126,50,27.4
895.26,4.940,21.5,2.9,173,0,100,1135,51,27.4
894.39,4.930,21.4,3.0,171,0,102,1144,51,27.4
893.52,4.910,21.3,3.0,170,0,104,1153,51,27.4
892.65,4.870,21.3,3.1,169,0,106,1161,51,27.4
891.77,4.870,21.2,3.2,168,0,108,1169,52,27.4
890.90,4.850,21.1,3.2,167,0,110,1177,52,27.5
890.25,4.850,21.1,3.3,167,0,112,1184,52,27.5
889.60,4.870,21.0,3.4,167,0,114,1190,52,27.5
889.17,4.860,20.9,3.5,167,0,116,1195,52,27.5
888.51,4.860,20.9,3.5,167,0,118,1202,52,27.6
887.86,4.860,20.8,3.6,167,0,120,1207,52,27.6
887.43,4.850,20.8,3.6,168,0,122,1211,53,27.6
887.21,4.820,20.8,3.7,168,0,124,1214,53,27.6
886.78,4.820,20.8,3.6,169,0,126,1218,52,27.6
886.13,4.810,20.7,3.6,169,0,128,1224,52,27.6
885.27,4.800,20.6,3.5,170,0,130,1232,52,27.7
884.62,4.770,20.5,3.5,170,0,132,1240,53,27.7
883.75,4.760,20.4,3.4,170,0,134,1247,53,27.7
882.89,4.760,20.3,3.2,170,0,136,1256,54,27.7
881.82,4.790,20.2,3.1,170,0,138,1266,54,27.7
880.52,4.820,20.1,3.0,170,0,140,1278,54,27.8
879.45,4.820,20.0,3.0,170,0,142,1290,54,27.8
878.38,4.810,19.9,2.9,170,0,144,1300,55,27.8
877.52,4.760,19.8,2.9,169,0,146,1308,55,27.8
876.45,4.740,19.7,2.9,169,0,148,1318,55,27.8
875.38,4.740,19.7,3.0,169,0,150,1329,56,27.9
874.31,4.750,19.6,3.1,168,0,152,1340,56,27.9
873.03,4.760,19.5,3.2,168,0,154,1352,56,27.9
871.97,4.760,19.3,3.4,167,0,156,1364,56,27.9
870.90,4.760,19.3,3.5,167,0,158,1374,57,27.9
869.84,4.760,19.2,3.7,167,0,160,1385,57,27.9
868.78,4.750,19.1,3.8,166,0,162,1396,57,28.0
867.51,4.750,19.0,3.9,166,0,164,1407,57,28.0
866.45,4.730,18.9,4.0,166,0,166,1418,57,28.0
865.39,4.730,18.8,4.1,165,0,168,1428,58,28.0
864.34,4.740,18.7,4.1,165,0,170,1439,58,28.0
863.07,4.740,18.6,4.0,165,0,172,1451,59,28.1
861.81,4.730,18.5,4.0,165,0,174,1463,59,28.1
860.76,4.730,18.4,3.9,165,0,176,1475,59,28.1
859.50,4.710,18.4,3.8,164,0,178,1488,59,28.1
858.24,4.710,18.4,3.7,164,0,180,1499,58,28.1
856.98,4.710,18.2,3.6,163,0,182,1511,59,28.1
855.73,4.710,18.0,3.6,163,0,184,1524,59,28.2
854.48,4.710,18.0,3.6,162,0,186,1536,60,28.2
853.64,4.700,17.9,3.6,161,0,188,1546,60,28.2
852.60,4.670,18.0,3.6,161,0,190,1556,59,28.2
851.35,4.650,18.1,3.7,160,0,192,1569,58,28.2
850.11,4.650,18.3,3.7,160,0,194,1582,57,28.3
850.00,4.650,18.3,3.7,160,3,194,1582,57,28.3
848.65,4.650,18.3,3.8,160,0,196,1596,56,28.3
847.21,4.650,18.2,3.9,160,0,198,1611,56,28.3
845.97,4.650,18.1,4.0,161,0,200,1623,56,28.3
844.73,4.650,18.2,4.1,162,0,202,1635,56,28.3
843.70,4.650,18.3,4.1,164,0,204,1647,55,28.4
842.26,4.650,18.5,4.2,166,0,206,1660,53,28.4
840.82,4.650,18.8,4.2,168,0,208,1675,51,28.4
839.59,4.650,19.0,4.2,171,0,210,1689,49,28.4
838.36,4.620,19.1,4.2,174,0,212,1701,49,28.4
837.13,4.580,19.1,4.2,177,2,214,1713,48,28.5
835.91,4.590,19.0,4.3,181,0,216,1726,47,28.5
834.68,4.590,18.9,4.3,184,0,218,1739,47,28.5
833.26,4.620,18.8,4.3,188,0,220,1754,47,28.5
831.83,4.620,18.7,4.4,191,0,222,1768,47,28.5
830.62,4.620,18.6,4.4,194,0,224,1781,48,28.5
829.20,4.620,18.5,4.4,197,0,226,1794,48,28.6
827.98,4.620,18.4,4.5,200,0,228,1807,48,28.6
826.77,4.620,18.3,4.6,203,0,230,1821,48,28.6
825.36,4.620,18.2,4.6,206,0,232,1835,48,28.6
824.15,4.620,18.1,4.7,208,0,234,1848,48,28.6
822.95,4.590,18.0,4.8,211,0,236,1860,48,28.6
821.74,4.580,18.0,4.8,213,0,238,1872,48,28.7
820.54,4.560,17.9,4.9,215,0,240,1885,48,28.7
819.34,4.550,17.8,5.0,217,0,242,1898,48,28.7
818.14,4.550,17.7,5.1,218,0,244,1910,48,28.7
817.14,4.520,17.7,5.1,220,0,246,1921,48,28.7
816.14,4.510,17.6,5.2,221,0,248,1931,48,28.8
815.15,4.490,17.6,5.3,221,0,250,1942,47,28.8
813.95,4.480,17.6,5.4,222,0,252,1954,47,28.8
812.96,4.470,17.5,5.5,222,0,254,1965,47,28.8
811.97,4.470,17.5,5.6,222,0,256,1975,47,28.8
810.78,4.470,17.4,5.7,222,0,258,1987,46,28.9
809.79,4.470,17.3,5.7,222,0,260,1999,46,28.9
808.61,4.470,17.2,5.8,221,0,262,2010,47,28.9
807.62,4.470,17.1,5.9,220,0,264,2021,48,28.9
806.44,4.470,17.1,6.0,219,0,266,2033,48,28.9
805.45,4.470,17.0,6.1,219,0,268,2044,49,28.9
804.28,4.470,16.9,6.3,218,0,270,2056,49,28.9
803.10,4.470,16.8,6.4,217,0,272,2068,50,29.0
802.12,4.450,16.7,6.6,216,0,274,2079,50,29.0
800.94,4.440,16.6,6.7,215,0,276,2091,51,29.0
799.97,4.430,16.5,6.8,214,0,278,2102,51,29.0
798.99,4.420,16.5,7.0,214,0,280,2112,52,29.0
798.02,4.410,16.4,7.1,214,0,282,2123,52,29.1
796.85,4.410,16.3,7.2,214,0,284,2134,53,29.1
795.88,4.400,16.2,7.3,213,0,286,2145,54,29.1
795.10,4.400,16.2,7.4,213,0,288,2155,54,29.1
793.94,4.410,16.1,7.4,213,0,290,2166,54,29.1
792.77,4.400,15.9,7.4,214,0,292,2178,54,29.1
791.81,4.400,15.7,7.4,213,0,294,2189,55,29.1
791.03,4.390,15.7,7.4,213,0,296,2198,55,29.2
789.88,4.390,15.6,7.3,213,0,298,2209,56,29.2
788.91,4.390,15.5,7.3,212,0,300,2221,56,29.2
787.76,4.390,15.4,7.2,211,0,302,2233,56,29.2
786.60,4.390,15.3,7.2,210,0,304,2245,56,29.2
785.64,4.390,15.2,7.1,209,0,306,2255,56,29.3
784.88,4.380,15.1,7.1,207,0,308,2264,57,29.3
783.92,4.380,15.1,7.0,206,0,310,2273,57,29.3
782.77,4.380,15.0,7.0,204,0,312,2286,57,29.3
781.63,4.380,14.9,7.0,203,0,314,2298,57,29.3
780.86,4.380,14.8,7.0,202,0,316,2308,56,29.3
780.10,4.370,14.8,7.0,201,0,318,2316,56,29.4
779.15,4.370,14.7,7.0,201,0,320,2325,55,29.4
778.20,4.370,14.6,7.0,201,0,322,2336,55,29.4
777.06,4.400,14.4,7.0,201,0,324,2349,55,29.4
775.73,4.410,14.3,7.0,201,0,326,2362,55,29.4
774.79,4.410,14.3,6.9,202,0,328,2373,54,29.4
773.84,4.400,14.3,6.9,203,0,330,2384,53,29.4
772.71,4.380,14.2,6.8,204,0,332,2395,53,29.5
771.77,4.380,14.1,6.8,204,0,334,2406,52,29.5
770.82,4.390,14.0,6.8,205,0,336,2417,52,29.5
769.51,4.400,13.8,6.8,206,0,338,2431,52,29.5
768.19,4.400,13.7,6.7,207,0,340,2445,53,29.5
767.07,4.410,13.6,6.7,207,0,342,2458,53,29.5
765.95,4.420,13.5,6.7,208,0,344,2470,53,29.6
764.83,4.420,13.4,6.7,209,0,346,2483,53,29.6
763.52,4.440,13.3,6.8,209,0,348,2496,52,29.6
762.40,4.450,13.3,6.8,210,0,350,2509,51,29.6
761.29,4.460,13.2,6.9,211,0,352,2521,50,29.6
760.36,4.450,13.1,7.0,212,0,354,2531,49,29.6
759.43,4.460,13.0,7.2,214,0,356,2541,47,29.6
758.32,4.480,12.9,7.3,215,0,358,2554,46,29.7
757.21,4.530,12.8,7.5,217,0,360,2568,46,29.7
756.10,4.530,12.8,7.7,218,0,362,2579,44,29.7
755.18,4.540,12.7,8.0,220,0,364,2590,44,29.7
754.07,4.550,12.6,8.3,221,2,366,2603,43,29.7
752.78,4.600,12.6,8.6,222,0,368,2615,41,29.7
751.68,4.640,12.6,8.9,224,0,370,2627,37,29.7
750.77,4.660,12.7,9.2,225,0,372,2639,33,29.8
749.67,4.680,12.9,9.6,226,0,374,2651,27,29.8
748.39,4.700,12.9,9.9,226,0,376,2666,23,29.8
746.93,4.770,12.8,10.3,227,0,378,2681,22,29.8
745.83,4.800,12.8,10.7,227,0,380,2694,20,29.8
744.74,4.830,12.9,11.0,228,0,382,2706,18,29.8
743.47,4.890,13.0,11.4,228,0,384,2721,15,29.8
742.20,4.970,13.1,11.8,228,0,386,2734,13,29.9
741.11,4.990,13.0,12.1,228,0,388,2746,12,29.9
740.03,5.070,12.8,12.4,227,0,390,2759,13,29.9
739.13,5.080,12.7,12.7,227,0,392,2770,13,29.9
738.04,5.090,12.6,13.0,227,0,394,2781,13,29.9
736.96,5.200,12.6,13.2,226,0,396,2793,13,29.9
735.89,5.290,12.8,13.4,225,0,398,2806,12,29.9
734.81,5.320,13.1,13.5,225,0,400,2818,11,29.9
733.91,5.380,13.2,13.6,224,0,402,2829,11,30.0
733.02,5.390,13.3,13.7,223,0,404,2839,12,30.0
732.12,5.410,13.3,13.8,222,0,406,2849,12,30.0
731.23,5.440,13.3,13.8,221,2,408,2860,12,30.0
729.98,5.420,13.2,13.9,221,0,410,2873,12,30.0
728.91,5.410,13.1,13.9,220,0,412,2885,14,30.0
728.02,5.410,13.1,14.0,219,0,414,2897,17,30.1
726.78,5.390,13.0,14.0,219,0,416,2910,18,30.1
725.72,5.350,12.9,14.1,218,0,418,2924,17,30.1
724.65,5.280,12.8,14.1,218,0,420,2936,17,30.1
723.77,5.190,12.7,14.2,218,0,422,2946,18,30.1
722.89,5.150,12.6,14.2,217,0,424,2957,18,30.1
721.65,5.130,12.6,14.2,217,0,426,2969,18,30.1
720.60,5.110,12.5,14.2,217,0,428,2983,18,30.1
719.54,5.080,12.4,14.2,217,0,430,2996,18,30.2
718.49,5.000,12.3,14.2,217,0,432,3007,17,30.2
717.26,4.960,12.2,14.1,216,0,434,3020,16,30.2
716.21,4.960,12.1,14.1,216,0,436,3034,14,30.2
715.16,4.940,12.0,14.0,216,0,438,3046,14,30.2
714.12,4.940,12.0,14.0,216,0,440,3058,13,30.2
713.07,4.940,11.9,13.9,216,0,442,3071,13,30.2
712.03,4.940,11.7,13.8,216,0,444,3083,13,30.3
710.98,4.950,11.6,13.8,216,0,446,3094,16,30.3
710.12,4.950,11.5,13.7,216,0,448,3106,19,30.3
