
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2012-11-05,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26441

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2012-10-31,10:45:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 223
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
277.6,0,342.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPw,,0.065,26.10,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
929.79,1.030,11.5,3.0,190,2,0,631,68,20.1
927.30,1.030,10.2,3.3,200,0,2,653,65,20.1
926.85,1.040,10.1,3.5,202,0,4,657,65,20.1
925.94,1.040,10.0,3.6,201,0,6,666,66,20.1
925.00,1.050,9.9,3.7,199,3,8,674,66,20.1
924.81,1.050,9.9,3.7,199,0,8,676,66,20.1
923.23,1.050,9.8,3.8,196,0,10,690,67,20.2
921.88,1.050,9.7,3.8,193,0,12,702,68,20.2
920.76,1.050,9.6,3.9,191,0,14,712,68,20.2
919.86,1.060,9.6,3.9,189,0,16,720,68,20.2
918.74,1.080,9.4,3.9,188,0,18,731,68,20.2
917.84,1.090,9.3,3.8,187,0,20,739,69,20.2
916.94,1.090,9.2,3.8,187,0,22,747,69,20.2
916.05,1.100,9.2,3.8,187,0,24,755,69,20.3
914.93,1.120,9.1,3.7,189,0,26,765,70,20.3
913.81,1.120,8.9,3.7,190,0,28,775,70,20.3
912.70,1.130,8.8,3.7,193,0,30,785,70,20.3
911.81,1.130,8.8,3.7,196,0,32,793,71,20.3
910.70,1.140,8.7,3.6,200,0,34,803,71,20.4
909.81,1.160,8.6,3.6,204,0,36,811,72,20.4
908.48,1.160,8.4,3.6,208,0,38,824,73,20.4
907.15,1.160,8.3,3.5,212,0,40,836,74,20.4
905.60,1.160,8.1,3.4,216,0,42,850,75,20.4
904.05,1.160,8.0,3.4,219,0,44,864,75,20.4
902.73,1.160,7.9,3.3,221,0,46,876,75,20.4
901.63,1.160,7.8,3.1,223,0,48,886,75,20.5
900.31,1.170,7.6,3.0,224,0,50,898,75,20.5
898.77,1.170,7.5,2.8,224,0,52,912,76,20.5
897.45,1.170,7.5,2.6,223,0,54,924,76,20.5
896.14,1.170,7.3,2.5,222,0,56,936,76,20.5
895.05,1.170,7.2,2.3,220,0,58,946,76,20.6
893.95,1.180,7.1,2.2,218,0,60,957,77,20.6
892.65,1.180,7.0,2.2,217,0,62,969,78,20.6
891.56,1.180,7.0,2.1,217,0,64,979,78,20.6
890.25,1.180,6.9,2.1,216,0,66,991,78,20.6
889.17,1.180,6.7,2.2,216,0,68,1001,79,20.6
887.65,1.180,6.5,2.2,217,0,70,1015,80,20.6
885.92,1.180,6.4,2.3,218,0,72,1031,80,20.7
884.40,1.180,6.3,2.4,219,0,74,1045,81,20.7
882.68,1.180,6.1,2.5,220,0,76,1061,81,20.7
881.17,1.180,5.9,2.6,222,0,78,1075,81,20.7
879.88,1.180,5.9,2.6,223,0,80,1087,82,20.7
878.59,1.180,5.8,2.7,225,0,82,1099,83,20.8
877.52,1.190,5.7,2.8,227,0,84,1109,83,20.8
876.66,1.190,5.7,3.0,228,0,86,1117,84,20.8
875.38,1.200,5.5,3.1,229,0,88,1129,84,20.8
873.89,1.200,5.4,3.2,230,0,90,1143,85,20.8
872.61,1.200,5.3,3.3,230,0,92,1155,85,20.8
871.54,1.200,5.2,3.4,230,0,94,1165,85,20.9
870.48,1.200,5.1,3.5,229,0,96,1175,86,20.9
869.42,1.210,5.0,3.5,228,0,98,1185,87,20.9
868.14,1.210,4.9,3.5,227,0,100,1197,87,20.9
866.87,1.220,4.7,3.5,226,0,102,1209,87,20.9
865.60,1.220,4.7,3.5,225,0,104,1221,88,20.9
864.55,1.220,4.6,3.4,224,0,106,1231,88,20.9
863.28,1.230,4.5,3.3,224,0,108,1243,88,20.9
862.02,1.230,4.4,3.2,224,0,110,1254,89,21.0
860.97,1.230,4.3,3.2,224,0,112,1264,89,21.0
859.92,1.250,4.1,3.2,224,0,114,1274,89,21.0
858.66,1.270,4.0,3.2,224,0,116,1286,89,21.0
857.61,1.280,4.0,3.2,225,0,118,1296,90,21.0
856.36,1.280,3.9,3.2,225,0,120,1308,91,21.1
855.10,1.290,3.7,3.2,226,0,122,1320,91,21.1
853.85,1.290,3.6,3.1,227,0,124,1332,92,21.1
852.39,1.290,3.4,3.1,229,0,126,1346,92,21.1
851.14,1.300,3.2,3.1,230,0,128,1358,92,21.1
849.90,1.300,3.2,3.0,233,0,130,1370,93,21.1
848.86,1.310,3.2,2.9,235,0,132,1380,93,21.1
847.83,1.330,3.1,2.8,238,0,134,1389,93,21.1
846.79,1.340,3.0,2.8,241,0,136,1399,94,21.2
845.97,1.350,3.0,2.8,243,0,138,1407,93,21.2
845.14,1.360,2.8,2.8,245,0,140,1415,91,21.2
844.31,1.370,2.6,2.8,246,2,142,1423,88,21.2
843.49,1.440,2.7,2.9,247,0,144,1431,83,21.2
842.46,1.540,2.9,2.9,247,0,146,1441,77,21.2
841.43,1.710,2.9,2.9,247,0,148,1451,77,21.2
840.41,1.820,2.8,2.9,246,0,150,1461,77,21.3
839.38,1.960,2.8,2.9,245,0,152,1471,77,21.3
838.56,2.110,2.8,2.9,245,0,154,1479,76,21.3
837.54,2.220,2.8,2.8,244,0,156,1488,75,21.3
836.52,2.320,2.7,2.7,244,0,158,1498,76,21.3
835.50,2.460,2.7,2.6,244,0,160,1508,75,21.3
834.48,2.550,2.7,2.5,243,0,162,1518,75,21.3
833.46,2.640,2.6,2.4,242,0,164,1528,75,21.4
832.44,2.720,2.4,2.3,241,0,166,1538,75,21.4
831.43,2.840,2.3,2.2,240,0,168,1548,76,21.4
830.41,2.870,2.3,2.2,238,0,170,1558,76,21.4
829.40,2.930,2.3,2.2,237,0,172,1567,75,21.4
828.39,2.990,2.3,2.3,236,0,174,1577,74,21.4
827.38,3.040,2.3,2.4,235,0,176,1587,73,21.4
826.17,3.130,2.1,2.6,235,2,178,1599,73,21.4
825.16,3.160,2.0,2.8,235,0,180,1609,74,21.4
823.95,3.170,2.0,3.1,236,0,182,1621,73,21.4
822.95,3.290,1.9,3.4,237,0,184,1631,73,21.4
821.74,3.290,1.8,3.8,239,0,186,1642,73,21.5
820.74,3.310,1.8,4.2,240,0,188,1652,74,21.5
819.74,3.320,1.8,4.7,241,0,190,1662,74,21.5
818.74,3.370,1.7,5.1,241,0,192,1672,74,21.5
817.74,3.380,1.6,5.4,242,0,194,1682,74,21.5
816.74,3.390,1.5,5.8,243,0,196,1692,76,21.5
