
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2013-04-11,AEMET,1.0,Jose luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A26272

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-04-10,10:47:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 202
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
307.9,0,354.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.041,26.70,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.36,3.280,15.5,3.7,241,2,0,631,66,23.1
943.97,3.280,14.6,5.8,250,0,2,643,62,23.1
942.82,3.290,14.4,6.8,253,0,4,654,62,23.1
941.67,3.330,14.1,7.6,253,0,6,664,63,23.1
940.52,3.360,13.9,8.2,253,0,8,674,64,23.2
938.92,3.370,13.7,8.8,252,0,10,689,65,23.2
937.54,3.390,13.6,9.0,252,0,12,701,66,23.2
935.94,3.390,13.5,9.3,252,0,14,716,67,23.2
934.57,3.420,13.4,9.6,252,0,16,728,67,23.2
933.20,3.430,13.3,9.8,253,0,18,740,67,23.3
932.06,3.460,13.1,10.0,253,0,20,750,68,23.3
930.70,3.490,12.9,10.1,253,0,22,763,68,23.3
929.11,3.520,12.7,10.1,253,0,24,777,69,23.3
927.75,3.520,12.5,10.1,252,0,26,789,70,23.3
926.39,3.540,12.3,10.1,252,0,28,802,70,23.3
925.04,3.560,12.1,10.0,251,2,30,814,70,23.3
923.91,3.580,12.1,10.0,250,0,32,824,70,23.3
922.56,3.580,12.0,10.1,249,0,34,837,71,23.3
921.21,3.580,11.8,10.1,248,0,36,849,71,23.4
919.86,3.590,11.7,10.2,247,0,38,861,72,23.4
918.51,3.600,11.6,10.4,247,0,40,873,73,23.4
917.17,3.600,11.6,10.5,246,0,42,886,73,23.4
915.82,3.600,11.4,10.8,246,0,44,898,73,23.4
914.48,3.610,11.2,11.0,246,0,46,910,74,23.4
913.37,3.620,11.1,11.3,245,0,48,920,74,23.4
911.81,3.640,10.9,11.4,245,0,50,935,76,23.4
910.03,3.640,10.8,11.6,245,0,52,951,76,23.5
908.48,3.640,10.7,11.7,244,0,54,965,77,23.5
907.15,3.620,10.7,11.7,244,0,56,977,77,23.5
906.04,3.620,10.5,11.7,244,0,58,988,77,23.5
904.93,3.600,10.3,11.7,244,0,60,998,77,23.5
903.83,3.600,10.2,11.6,244,0,62,1008,79,23.5
902.95,3.620,10.1,11.5,245,0,64,1016,80,23.5
902.07,3.610,10.1,11.4,245,0,66,1024,79,23.6
901.41,3.610,10.2,11.3,246,0,68,1030,79,23.6
900.53,3.640,10.0,11.3,246,0,70,1038,79,23.6
899.87,3.640,9.9,11.2,247,0,72,1045,80,23.6
898.77,3.610,9.7,11.1,247,0,74,1055,80,23.6
897.45,3.640,9.6,11.1,247,0,76,1067,81,23.6
896.14,3.650,9.6,11.0,248,0,78,1079,81,23.6
895.05,3.640,9.6,10.9,247,0,80,1089,81,23.7
893.74,3.610,9.4,10.8,247,0,82,1101,82,23.7
891.99,3.620,9.2,10.7,247,0,84,1118,83,23.7
890.90,3.620,9.1,10.6,246,0,86,1128,84,23.7
889.38,3.610,9.0,10.5,245,0,88,1142,84,23.7
888.08,3.600,8.8,10.4,244,0,90,1154,85,23.7
886.56,3.600,8.7,10.4,243,0,92,1168,86,23.7
885.05,3.600,8.6,10.5,242,0,94,1182,86,23.7
883.75,3.600,8.5,10.6,241,0,96,1194,86,23.8
882.25,3.570,8.3,10.8,241,0,98,1209,87,23.8
880.95,3.560,8.2,11.0,240,0,100,1221,88,23.8
880.09,3.550,8.1,11.3,240,0,102,1229,88,23.8
879.24,3.550,8.0,11.6,240,2,104,1237,88,23.8
878.59,3.560,8.0,11.8,241,0,106,1243,87,23.8
877.73,3.560,8.0,11.9,242,0,108,1251,87,23.8
876.66,3.560,7.9,12.0,243,0,110,1261,88,23.8
875.81,3.570,7.9,12.1,245,0,112,1269,87,23.8
874.95,3.570,7.9,12.1,246,0,114,1277,87,23.8
874.31,3.570,7.8,12.0,248,0,116,1283,87,23.9
873.46,3.580,7.7,11.8,250,0,118,1291,86,23.9
872.82,3.610,7.9,11.6,252,0,120,1297,85,23.9
871.97,3.600,8.1,11.4,253,0,122,1305,82,23.9
870.69,3.600,8.4,11.1,254,0,124,1318,81,23.9
869.63,3.610,8.6,10.9,255,0,126,1328,78,23.9
868.78,3.630,8.6,10.6,256,0,128,1336,76,23.9
867.93,3.630,8.8,10.3,257,0,130,1344,74,23.9
867.08,3.630,8.8,10.1,257,0,132,1352,73,23.9
866.03,3.630,8.8,9.8,258,0,134,1362,70,24.0
864.76,3.640,8.7,9.6,258,0,136,1374,71,24.0
863.70,3.640,8.7,9.4,258,0,138,1384,71,24.0
862.86,3.640,8.6,9.1,258,0,140,1392,71,24.0
862.02,3.640,8.6,8.9,258,0,142,1400,70,24.0
860.97,3.640,8.6,8.7,258,0,144,1411,70,24.0
859.92,3.630,8.7,8.4,258,0,146,1421,70,24.0
858.87,3.610,8.6,8.2,257,0,148,1431,69,24.0
857.82,3.600,8.4,7.9,257,0,150,1441,69,24.0
856.98,3.590,8.6,7.7,257,0,152,1449,69,24.1
855.94,3.590,8.5,7.4,256,0,154,1459,69,24.1
855.10,3.590,8.5,7.2,255,0,156,1467,68,24.1
854.06,3.580,8.3,6.9,255,0,158,1477,68,24.1
853.02,3.580,8.2,6.6,254,0,160,1487,69,24.1
851.77,3.560,8.2,6.3,254,0,162,1499,70,24.1
850.52,3.550,8.2,5.9,253,0,164,1512,69,24.1
850.00,3.540,8.2,5.9,253,3,165,1517,69,24.1
849.07,3.540,8.2,5.6,252,0,166,1526,69,24.1
847.83,3.530,8.2,5.2,251,0,168,1538,68,24.1
846.59,3.520,8.0,4.9,250,0,170,1550,67,24.1
845.35,3.520,7.9,4.6,248,0,172,1562,67,24.1
844.11,3.520,7.8,4.3,246,0,174,1574,67,24.1
842.87,3.500,7.7,4.0,245,0,176,1586,68,24.1
841.64,3.500,7.7,3.8,244,0,178,1598,68,24.1
840.41,3.490,7.7,3.6,243,0,180,1610,68,24.1
839.38,3.420,7.7,3.4,244,0,182,1620,66,24.1
