
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2013-04-25,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27118

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-04-24,10:51:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 129
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
283.6,0,324.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.019,26.20,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.98,4.560,18.1,4.2,30,2,0,631,34,21.9
948.36,4.590,15.8,4.2,19,2,2,646,37,21.9
946.97,4.660,15.7,4.3,15,0,4,658,38,21.9
945.82,4.700,15.6,4.4,12,0,6,668,39,22.0
944.66,4.730,15.4,4.4,12,0,8,679,39,22.0
943.51,4.740,15.3,4.4,11,0,10,689,40,22.0
942.36,4.750,15.2,4.4,9,0,12,699,40,22.0
941.21,4.830,15.1,4.3,8,0,14,710,40,22.0
939.83,4.870,15.1,4.2,6,0,16,722,41,22.0
938.69,4.890,15.2,4.0,5,0,18,732,42,22.1
937.54,4.930,15.2,3.9,3,0,20,743,42,22.1
936.17,4.960,15.1,3.8,2,0,22,755,42,22.1
934.57,4.980,15.0,3.7,1,0,24,770,42,22.1
933.20,4.990,14.9,3.7,1,0,26,782,43,22.1
931.84,4.990,14.8,3.7,1,0,28,794,43,22.1
930.47,5.000,14.6,3.8,2,0,30,807,43,22.1
928.88,4.990,14.4,3.9,3,0,32,821,43,22.1
927.30,4.980,14.3,4.1,4,0,34,836,44,22.2
925.71,4.980,14.1,4.2,6,0,36,850,44,22.2
925.00,4.980,14.0,4.4,7,3,37,856,44,22.2
924.36,4.980,14.0,4.4,7,0,38,862,44,22.2
