
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2013-06-28,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27078

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-06-27,10:48:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 231
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274.8,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.045,27.60,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.06,4.540,26.5,1.3,208,2,0,631,28,27.0
946.97,4.680,24.3,1.3,100,0,2,651,32,27.0
945.82,4.680,23.8,1.4,94,2,4,663,33,27.0
944.43,4.660,23.7,1.5,100,0,6,675,33,27.1
943.05,4.650,23.7,1.7,102,0,8,688,34,27.1
941.44,4.640,23.7,1.8,104,0,10,703,34,27.1
939.83,4.610,23.5,2.0,106,0,12,717,34,27.1
938.46,4.630,23.3,2.1,108,0,14,730,35,27.1
936.63,4.640,23.2,2.3,110,0,16,747,35,27.1
934.80,4.630,23.1,2.4,111,0,18,764,35,27.2
932.98,4.620,23.0,2.5,113,0,20,782,35,27.2
930.93,4.610,22.7,2.6,114,0,22,800,36,27.2
929.11,4.590,22.4,2.7,115,0,24,818,36,27.2
927.30,4.560,22.2,2.7,116,0,26,834,37,27.2
925.71,4.540,22.0,2.7,117,0,28,848,37,27.3
925.00,4.540,22.0,2.7,117,3,29,856,37,27.3
924.59,4.540,22.0,2.7,117,0,30,860,37,27.3
923.23,4.540,21.9,2.7,118,0,32,873,37,27.3
921.88,4.530,21.6,2.7,119,0,34,885,37,27.3
920.53,4.530,21.4,2.6,120,0,36,897,38,27.3
919.41,4.530,21.4,2.6,121,0,38,908,38,27.3
918.06,4.520,21.4,2.6,121,0,40,920,38,27.4
916.72,4.520,21.3,2.5,122,0,42,933,38,27.4
915.15,4.510,21.1,2.5,123,0,44,948,38,27.4
913.81,4.500,20.8,2.5,123,0,46,961,39,27.4
912.48,4.460,20.6,2.5,124,0,48,973,39,27.4
911.14,4.460,20.3,2.5,125,0,50,985,39,27.4
909.81,4.460,20.1,2.5,125,0,52,998,40,27.5
908.48,4.470,20.0,2.5,126,0,54,1012,40,27.5
907.15,4.470,19.9,2.5,127,0,56,1024,41,27.5
905.82,4.480,19.9,2.5,129,0,58,1036,41,27.6
904.71,4.470,19.8,2.5,130,0,60,1048,41,27.6
903.39,4.460,19.7,2.5,132,0,62,1060,41,27.6
902.29,4.440,19.6,2.4,134,0,64,1070,42,27.6
901.19,4.430,19.4,2.3,135,0,66,1080,42,27.6
900.09,4.430,19.1,2.2,137,0,68,1091,42,27.6
898.77,4.430,18.9,2.1,138,0,70,1103,42,27.7
897.67,4.430,18.8,2.0,138,0,72,1114,43,27.7
896.58,4.450,18.8,1.9,138,0,74,1124,44,27.7
895.48,4.460,18.8,1.8,136,0,76,1135,44,27.7
894.39,4.460,18.8,1.7,132,0,78,1145,44,27.7
893.30,4.460,18.6,1.6,127,0,80,1155,43,27.8
892.21,4.460,18.5,1.5,119,0,82,1166,43,27.8
891.12,4.460,18.3,1.5,111,0,84,1178,44,27.8
889.60,4.490,18.2,1.5,102,0,86,1192,44,27.8
888.08,4.520,18.0,1.6,94,0,88,1206,45,27.8
886.56,4.530,17.9,1.7,87,0,90,1222,45,27.9
885.05,4.530,17.8,1.9,82,0,92,1235,45,27.9
883.75,4.540,17.7,2.1,78,0,94,1247,45,27.9
882.46,4.560,17.5,2.2,76,0,96,1261,46,27.9
881.38,4.560,17.4,2.4,74,0,98,1272,46,27.9
880.09,4.580,17.3,2.6,74,0,100,1283,46,27.9
878.81,4.600,17.2,2.7,74,0,102,1296,46,28.0
877.52,4.600,17.1,2.9,75,0,104,1309,46,28.0
876.24,4.600,17.0,3.0,77,0,106,1321,47,28.0
875.38,4.600,16.9,3.1,78,0,108,1331,47,28.0
874.31,4.600,16.8,3.2,80,0,110,1340,47,28.0
873.03,4.600,16.6,3.3,81,0,112,1352,47,28.0
871.75,4.600,16.5,3.4,83,0,114,1364,48,28.1
870.69,4.610,16.4,3.4,85,0,116,1376,48,28.1
869.63,4.600,16.4,3.5,86,0,118,1386,48,28.1
868.57,4.600,16.3,3.5,86,0,120,1397,49,28.1
867.30,4.600,16.1,3.5,86,0,122,1408,49,28.1
866.24,4.590,15.9,3.5,85,0,124,1418,49,28.1
865.39,4.600,15.8,3.5,84,0,126,1428,50,28.2
864.34,4.600,15.8,3.5,82,0,128,1438,50,28.2
863.28,4.600,15.7,3.6,80,0,130,1448,51,28.2
862.23,4.610,15.6,3.6,77,0,132,1459,51,28.2
860.97,4.610,15.5,3.6,74,0,134,1472,51,28.2
859.71,4.590,15.4,3.6,71,0,136,1483,51,28.3
859.08,4.590,15.4,3.6,68,0,138,1490,51,28.3
858.24,4.580,15.3,3.7,65,0,140,1499,51,28.3
856.98,4.580,15.1,3.7,63,0,142,1509,52,28.3
856.15,4.580,15.1,3.8,60,0,144,1518,52,28.3
855.31,4.560,15.1,3.8,58,0,146,1526,52,28.3
854.48,4.560,15.0,3.8,56,0,148,1534,52,28.4
853.43,4.560,14.8,3.8,54,0,150,1545,53,28.4
852.18,4.580,14.7,3.7,52,0,152,1557,53,28.4
851.14,4.580,14.6,3.7,51,0,154,1569,54,28.4
850.00,4.570,14.5,3.6,51,3,156,1579,54,28.4
849.90,4.570,14.5,3.6,51,0,156,1580,54,28.4
848.86,4.560,14.4,3.6,51,0,158,1591,54,28.4
847.83,4.550,14.3,3.6,52,0,160,1601,54,28.4
846.79,4.540,14.2,3.5,54,0,162,1611,54,28.5
845.76,4.550,14.1,3.5,57,0,164,1622,54,28.5
844.52,4.540,13.9,3.5,60,0,166,1634,55,28.5
843.49,4.530,13.8,3.6,65,0,168,1645,55,28.5
842.46,4.540,13.7,3.7,69,0,170,1655,55,28.5
841.64,4.520,13.7,3.9,74,0,172,1663,55,28.5
840.82,4.510,13.7,4.1,79,0,174,1672,55,28.5
840.00,4.510,13.8,4.3,82,0,176,1680,54,28.6
838.97,4.510,13.8,4.6,85,0,178,1690,54,28.6
837.74,4.510,13.8,4.8,88,0,180,1701,53,28.6
836.72,4.510,13.7,5.1,90,0,182,1713,53,28.6
835.50,4.510,13.6,5.3,92,0,184,1724,53,28.6
834.27,4.510,13.5,5.5,93,0,186,1736,53,28.6
833.26,4.510,13.5,5.6,94,0,188,1748,52,28.6
831.83,4.500,13.7,5.7,95,0,190,1761,51,28.7
830.62,4.490,13.8,5.8,96,0,192,1774,50,28.7
829.40,4.470,13.6,5.8,96,0,194,1786,50,28.7
828.39,4.460,13.5,5.9,97,0,196,1796,51,28.7
827.38,4.460,13.4,5.8,98,0,198,1807,51,28.7
826.37,4.460,13.3,5.8,100,2,200,1817,51,28.7
825.36,4.460,13.3,5.8,101,0,202,1827,51,28.8
824.55,4.450,13.3,5.7,103,0,204,1836,50,28.8
823.55,4.440,13.5,5.7,105,0,206,1846,49,28.8
822.54,4.420,13.7,5.6,107,0,208,1856,47,28.8
821.54,4.420,14.0,5.5,109,0,210,1866,45,28.8
820.54,4.400,14.4,5.4,111,0,212,1876,43,28.8
819.54,4.410,14.6,5.3,113,2,214,1887,42,28.8
818.54,4.410,14.6,5.1,115,0,216,1898,42,28.9
817.34,4.420,14.6,5.0,118,0,218,1909,42,28.9
816.34,4.430,14.5,4.8,120,0,220,1921,42,28.9
815.15,4.460,14.4,4.7,123,0,222,1933,43,28.9
813.95,4.480,14.4,4.5,125,0,224,1945,43,28.9
812.76,4.490,14.5,4.3,128,0,226,1957,43,28.9
811.57,4.500,14.6,4.2,131,0,228,1970,43,28.9
810.39,4.510,14.6,4.0,134,0,230,1982,42,28.9
809.20,4.520,14.7,3.8,137,0,232,1994,41,29.0
808.21,4.550,14.6,3.7,141,0,234,2005,41,29.0
807.03,4.600,14.6,3.6,145,0,236,2017,41,29.0
805.85,4.620,14.6,3.5,148,0,238,2029,41,29.0
804.67,4.630,14.6,3.4,152,0,240,2042,40,29.0
803.49,4.630,14.6,3.4,155,0,242,2054,40,29.0
802.51,4.640,14.6,3.4,158,0,244,2065,39,29.1
801.53,4.650,14.5,3.4,161,0,246,2075,39,29.1
800.55,4.660,14.5,3.4,163,0,248,2085,38,29.1
799.38,4.670,14.4,3.4,166,0,250,2097,38,29.1
798.21,4.690,14.3,3.4,169,0,252,2109,38,29.1
797.04,4.700,14.3,3.4,171,0,254,2121,38,29.1
796.07,4.700,14.2,3.4,174,0,256,2133,37,29.1
795.10,4.700,14.2,3.4,178,2,258,2144,37,29.1
793.94,4.700,14.1,3.4,181,0,260,2155,38,29.1
792.77,4.730,13.9,3.4,186,0,262,2168,38,29.1
791.42,4.760,13.8,3.4,190,0,264,2182,38,29.2
790.45,4.760,13.7,3.5,195,0,266,2193,38,29.2
789.30,4.760,13.7,3.5,200,0,268,2204,37,29.2
788.33,4.780,13.6,3.6,204,0,270,2215,38,29.2
787.37,4.820,13.6,3.7,209,0,272,2224,38,29.2
786.60,4.820,13.6,3.8,212,0,274,2233,38,29.2
785.84,4.820,13.5,3.9,215,0,276,2242,38,29.2
784.88,4.820,13.4,3.9,217,0,278,2252,38,29.3
783.73,4.810,13.2,4.0,219,0,280,2264,39,29.3
782.77,4.810,13.1,4.0,220,0,282,2275,39,29.3
781.82,4.820,13.1,4.0,221,0,284,2285,39,29.3
781.05,4.820,13.0,3.9,221,0,286,2294,39,29.3
780.10,4.830,13.0,3.9,220,0,288,2302,40,29.3
779.53,4.830,12.9,3.8,219,0,290,2310,40,29.3
778.58,4.830,12.8,3.8,217,0,292,2319,40,29.3
777.82,4.820,12.7,3.8,215,0,294,2328,41,29.4
776.68,4.810,12.7,3.7,213,0,296,2340,41,29.4
775.54,4.800,12.6,3.7,211,0,298,2353,41,29.4
774.41,4.800,12.5,3.7,209,0,300,2365,41,29.4
773.46,4.780,12.4,3.8,207,0,302,2375,41,29.4
772.52,4.760,12.3,3.8,205,0,304,2386,41,29.4
771.39,4.750,12.1,3.8,204,0,306,2397,41,29.4
770.45,4.750,12.0,3.7,203,0,308,2407,42,29.4
769.70,4.750,12.0,3.7,203,0,310,2416,42,29.4
768.76,4.750,12.0,3.7,203,0,312,2425,41,29.5
767.82,4.740,11.9,3.7,204,0,314,2435,41,29.5
766.88,4.740,11.8,3.6,205,0,316,2446,41,29.5
765.57,4.740,11.6,3.6,207,0,318,2460,42,29.5
764.27,4.740,11.4,3.7,209,0,320,2475,43,29.5
762.96,4.730,11.3,3.7,210,0,322,2489,43,29.5
762.03,4.710,11.3,3.8,212,0,324,2500,44,29.5
760.91,4.700,11.2,3.9,213,0,326,2511,44,29.5
760.17,4.700,11.1,4.0,214,0,328,2521,44,29.5
759.24,4.700,11.0,4.1,215,0,330,2530,44,29.5
758.32,4.710,10.8,4.2,216,0,332,2541,45,29.5
757.39,4.730,10.8,4.3,216,0,334,2551,45,29.6
756.47,4.730,10.7,4.3,216,0,336,2561,45,29.6
755.73,4.710,10.7,4.4,216,0,338,2569,45,29.6
754.81,4.700,10.6,4.4,216,0,340,2578,45,29.6
754.07,4.700,10.5,4.4,216,0,342,2587,46,29.6
753.15,4.690,10.3,4.3,216,0,344,2598,47,29.6
752.05,4.690,10.3,4.3,217,0,346,2610,47,29.6
750.95,4.690,10.2,4.3,217,0,348,2622,47,29.7
749.85,4.680,10.0,4.2,218,0,350,2634,48,29.7
748.94,4.660,10.0,4.2,219,0,352,2643,48,29.7
748.02,4.620,9.9,4.1,221,0,354,2653,49,29.7
747.11,4.610,9.8,4.1,222,0,356,2664,49,29.7
746.20,4.600,9.7,4.2,224,0,358,2675,49,29.7
745.29,4.600,9.6,4.2,225,0,360,2684,49,29.7
744.56,4.570,9.5,4.3,227,0,362,2693,50,29.7
743.65,4.560,9.4,4.3,229,0,364,2703,50,29.7
742.74,4.550,9.3,4.4,230,0,366,2713,51,29.8
741.84,4.550,9.2,4.5,231,0,368,2723,51,29.8
740.93,4.550,9.2,4.5,232,0,370,2734,51,29.8
739.67,4.540,9.0,4.6,233,0,372,2746,51,29.8
738.59,4.540,8.9,4.6,233,0,374,2760,52,29.8
737.50,4.510,8.8,4.6,233,0,376,2772,52,29.8
736.60,4.510,8.7,4.6,234,0,378,2782,52,29.8
735.71,4.500,8.6,4.6,234,0,380,2791,53,29.8
734.81,4.500,8.5,4.5,234,0,382,2802,53,29.8
733.91,4.490,8.4,4.5,234,0,384,2812,54,29.8
733.02,4.500,8.4,4.5,234,0,386,2823,54,29.8
731.94,4.510,8.3,4.4,234,0,388,2834,54,29.8
731.05,4.510,8.1,4.4,234,0,390,2845,54,29.8
729.98,4.520,8.0,4.4,234,0,392,2857,55,29.9
728.91,4.520,7.9,4.3,234,0,394,2868,56,29.9
727.84,4.530,7.8,4.3,235,0,396,2881,57,29.9
726.60,4.530,7.7,4.2,235,0,398,2895,57,29.9
725.36,4.520,7.5,4.2,236,0,400,2908,57,29.9
724.30,4.510,7.4,4.2,237,0,402,2921,57,29.9
723.24,4.510,7.3,4.1,238,0,404,2933,58,29.9
722.18,4.510,7.2,4.1,239,0,406,2946,59,29.9
721.12,4.500,7.1,4.1,240,0,408,2958,59,29.9
720.07,4.500,7.1,4.1,241,0,410,2968,59,29.9
719.01,4.510,7.0,4.1,242,0,412,2980,59,29.9
717.96,4.510,6.9,4.1,243,0,414,2993,59,29.9
716.74,4.540,6.7,4.2,244,0,416,3007,60,29.9
715.51,4.540,6.5,4.2,245,0,418,3022,61,29.9
714.29,4.540,6.4,4.3,246,0,420,3035,62,29.9
713.24,4.540,6.3,4.4,248,0,422,3047,62,29.9
712.20,4.530,6.1,4.4,249,0,424,3059,62,29.9
711.33,4.530,6.0,4.5,250,0,426,3070,63,29.9
710.46,4.550,6.0,4.6,252,0,428,3079,63,29.9
709.77,4.560,6.0,4.6,254,0,430,3088,62,30.0
708.90,4.590,5.9,4.7,255,0,432,3097,62,30.0
708.04,4.600,5.7,4.7,257,0,434,3108,63,30.0
707.00,4.600,5.6,4.7,259,0,436,3119,63,30.0
705.97,4.600,5.5,4.7,261,0,438,3132,64,30.0
704.76,4.600,5.4,4.7,263,0,440,3145,65,30.0
703.73,4.600,5.3,4.7,265,0,442,3157,65,30.0
702.87,4.600,5.2,4.6,267,0,444,3167,65,30.0
702.02,4.600,5.1,4.6,269,0,446,3178,65,30.1
701.16,4.620,5.0,4.5,271,0,448,3187,65,30.1
700.47,4.630,5.0,4.5,272,0,450,3196,65,30.1
700.00,4.630,4.9,4.4,274,3,451,3201,65,30.1
699.79,4.640,4.9,4.4,274,0,452,3204,65,30.1
698.94,4.640,4.8,4.3,275,0,454,3213,66,30.1
697.91,4.640,4.7,4.3,276,0,456,3224,66,30.1
696.89,4.640,4.6,4.2,277,0,458,3237,66,30.1
695.70,4.640,4.4,4.2,279,0,460,3251,67,30.1
694.51,4.640,4.2,4.1,279,0,462,3265,68,30.1
693.33,4.630,4.1,4.1,280,0,464,3279,68,30.1
692.48,4.640,4.1,4.0,281,0,466,3289,69,30.1
691.64,4.640,4.0,4.0,282,0,468,3298,69,30.1
690.63,4.670,3.9,4.0,283,0,470,3311,69,30.1
689.45,4.670,3.7,3.9,283,0,472,3325,69,30.1
688.27,4.680,3.6,3.9,283,0,474,3338,70,30.1
687.26,4.680,3.4,3.9,283,0,476,3350,70,30.1
686.26,4.670,3.3,3.9,283,0,478,3362,71,30.1
685.42,4.640,3.3,3.9,282,0,480,3373,71,30.1
684.58,4.650,3.2,3.9,281,0,482,3382,71,30.2
683.75,4.640,3.1,3.9,280,0,484,3392,71,30.2
682.91,4.640,3.0,3.9,279,0,486,3401,72,30.2
682.08,4.640,2.9,4.0,278,0,488,3412,72,30.2
681.08,4.640,2.7,4.0,276,0,490,3424,72,30.2
680.08,4.650,2.6,4.0,275,0,492,3435,73,30.2
679.25,4.650,2.5,4.0,274,0,494,3445,74,30.2
678.43,4.650,2.5,4.0,274,0,496,3456,74,30.2
677.60,4.650,2.5,3.9,273,0,498,3465,73,30.2
676.94,4.650,2.4,3.9,273,0,500,3474,73,30.2
676.11,4.650,2.3,3.8,273,0,502,3483,73,30.2
675.29,4.640,2.1,3.7,274,0,504,3493,73,30.2
674.30,4.630,2.0,3.6,274,0,506,3504,73,30.2
673.31,4.620,1.9,3.4,275,0,508,3517,73,30.2
672.33,4.620,1.9,3.3,277,0,510,3527,72,30.2
671.67,4.600,1.9,3.2,278,0,512,3536,71,30.2
670.85,4.590,1.8,3.1,279,0,514,3545,71,30.2
669.87,4.590,1.6,3.1,280,0,516,3557,71,30.2
668.72,4.590,1.4,3.0,281,0,518,3572,71,30.2
667.58,4.590,1.2,3.0,282,0,520,3586,72,30.2
666.44,4.590,1.1,3.0,282,0,522,3599,73,30.3
665.30,4.590,1.0,3.0,281,0,524,3613,74,30.3
664.01,4.580,0.8,3.1,280,0,526,3628,75,30.3
662.87,4.580,0.7,3.1,279,0,528,3642,75,30.3
661.90,4.580,0.6,3.2,277,0,530,3655,75,30.3
660.93,4.570,0.5,3.2,276,0,532,3666,75,30.3
659.97,4.560,0.4,3.2,274,0,534,3678,75,30.3
659.00,4.550,0.3,3.2,272,0,536,3689,75,30.3
658.03,4.570,0.2,3.2,271,0,538,3702,76,30.3
656.91,4.540,0.0,3.1,270,0,540,3716,77,30.3
655.95,4.540,0.0,3.0,269,0,542,3727,77,30.4
655.15,4.500,-0.1,2.9,268,0,544,3737,76,30.4
654.19,4.500,-0.2,2.8,268,0,546,3747,75,30.4
653.23,4.490,-0.3,2.7,268,0,548,3759,75,30.4
652.28,4.490,-0.5,2.5,269,0,550,3772,75,30.4
651.32,4.490,-0.6,2.4,270,0,552,3784,76,30.4
650.53,4.480,-0.7,2.3,272,0,554,3794,75,30.4
649.73,4.470,-0.6,2.2,273,0,556,3802,74,30.4
649.10,4.440,-0.7,2.2,275,0,558,3810,74,30.4
648.47,4.440,-0.8,2.2,276,0,560,3819,73,30.4
647.67,4.440,-1.0,2.2,277,0,562,3829,73,30.4
646.73,4.440,-1.1,2.2,277,0,564,3840,72,30.4
645.62,4.440,-1.2,2.3,277,0,566,3853,71,30.4
644.68,4.430,-1.3,2.4,277,2,568,3866,69,30.5
643.58,4.430,-1.3,2.5,277,0,570,3878,66,30.5
642.63,4.430,-1.3,2.6,278,0,572,3890,64,30.5
641.54,4.410,-1.5,2.7,279,0,574,3904,63,30.5
640.60,4.400,-1.6,2.8,281,0,576,3917,62,30.5
639.50,4.390,-1.7,2.9,283,0,578,3928,61,30.5
638.57,4.380,-1.8,3.1,285,0,580,3942,60,30.5
637.48,4.360,-1.9,3.2,288,0,582,3955,58,30.5
636.54,4.370,-1.9,3.3,292,0,584,3967,54,30.5
635.30,4.370,-1.9,3.4,295,0,586,3981,50,30.5
634.22,4.360,-1.9,3.5,299,0,588,3996,43,30.5
633.29,4.350,-1.8,3.6,303,0,590,4008,33,30.5
632.52,4.330,-1.7,3.7,306,0,592,4017,27,30.5
631.75,4.320,-1.7,3.8,310,0,594,4027,25,30.5
630.67,4.320,-1.7,3.8,313,0,596,4039,24,30.5
629.59,4.310,-1.7,3.9,316,0,598,4053,21,30.5
628.36,4.310,-1.6,3.9,319,0,600,4068,17,30.5
627.29,4.300,-1.7,3.9,321,0,602,4082,12,30.5
626.22,4.290,-1.7,3.8,323,0,604,4095,10,30.5
625.30,4.250,-1.8,3.8,325,0,606,4107,9,30.5
624.54,4.220,-1.8,3.7,326,0,608,4118,8,30.5
623.62,4.200,-1.9,3.6,327,0,610,4129,7,30.5
622.71,4.160,-1.9,3.5,328,0,612,4141,7,30.5
621.65,4.150,-2.0,3.4,327,0,614,4155,7,30.5
620.43,4.140,-2.0,3.3,327,0,616,4169,7,30.5
619.22,4.080,-2.2,3.2,326,0,618,4185,8,30.6
618.17,4.060,-2.3,3.0,324,0,620,4199,8,30.6
617.11,4.050,-2.5,2.9,323,0,622,4212,8,30.6
616.36,4.050,-2.5,2.8,321,0,624,4223,8,30.6
615.31,4.050,-2.6,2.6,320,0,626,4235,8,30.6
614.40,4.070,-2.7,2.4,318,0,628,4248,7,30.6
613.21,4.090,-2.7,2.3,316,0,630,4262,6,30.6
612.16,4.120,-2.8,2.2,315,0,632,4276,6,30.6
610.96,4.120,-2.9,2.0,314,0,634,4291,6,30.6
609.92,4.130,-3.1,1.9,314,0,636,4306,6,30.6
608.88,4.130,-3.2,1.9,314,0,638,4320,5,30.6
607.84,4.140,-3.3,1.8,314,0,640,4332,5,30.6
606.95,4.160,-3.3,1.8,315,0,642,4344,5,30.6
605.91,4.170,-3.4,1.8,317,0,644,4357,5,30.6
604.88,4.180,-3.5,1.9,319,0,646,4372,5,30.6
603.70,4.190,-3.6,2.0,320,0,648,4387,5,30.6
602.67,4.200,-3.6,2.1,322,0,650,4400,5,30.6
601.64,4.210,-3.7,2.2,324,0,652,4413,5,30.6
600.61,4.190,-3.8,2.3,325,0,654,4427,6,30.6
599.73,4.190,-3.8,2.5,327,0,656,4438,6,30.6
599.00,4.190,-3.9,2.6,328,0,658,4448,6,30.6
598.12,4.190,-4.0,2.8,329,0,660,4460,6,30.7
597.10,4.190,-4.2,2.9,331,0,662,4473,6,30.7
595.94,4.190,-4.2,3.1,332,0,664,4488,6,30.7
594.92,4.180,-4.3,3.2,334,0,666,4501,6,30.7
594.05,4.160,-4.3,3.3,335,0,668,4513,6,30.7
593.32,4.110,-4.4,3.4,337,0,670,4524,6,30.7
592.31,4.080,-4.3,3.5,339,0,672,4536,6,30.7
591.44,4.060,-4.3,3.5,340,0,674,4548,6,30.7
