
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2013-07-31,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27071

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-07-30,10:51:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 145
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
205.5,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.015,27.50,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
951.84,4.300,29.1,1.2,200,2,0,631,17,26.2
950.45,4.320,27.1,0.9,154,2,2,644,21,26.2
949.29,4.390,27.2,0.9,137,0,4,655,21,26.2
948.36,4.380,27.2,1.1,130,0,6,663,21,26.2
947.44,4.390,27.1,1.3,128,0,8,672,21,26.3
946.28,4.400,27.0,1.6,128,0,10,683,21,26.3
945.36,4.390,26.9,1.8,129,0,12,691,22,26.3
944.20,4.390,26.8,1.9,128,0,14,702,22,26.3
943.05,4.390,26.8,2.1,126,0,16,713,21,26.3
941.67,4.400,26.7,2.2,124,0,18,726,21,26.4
940.29,4.390,26.4,2.2,121,0,20,739,22,26.4
938.92,4.390,26.2,2.2,119,0,22,751,22,26.4
937.31,4.400,26.0,2.2,116,0,24,767,22,26.4
936.40,4.430,25.9,2.2,112,0,26,775,22,26.5
935.26,4.460,25.8,2.1,108,0,28,786,22,26.5
934.12,4.470,25.8,2.1,106,0,30,797,22,26.5
933.20,4.490,25.5,2.0,104,0,32,805,23,26.5
932.06,4.510,25.4,2.0,103,0,34,816,23,26.5
930.70,4.520,25.2,2.0,102,0,36,829,23,26.5
929.57,4.530,25.1,2.0,103,0,38,839,24,26.6
928.43,4.530,25.0,1.9,105,0,40,850,24,26.6
927.30,4.540,24.9,1.9,107,0,42,861,24,26.6
926.17,4.550,24.8,1.9,110,0,44,871,24,26.6
925.04,4.570,24.7,1.9,114,0,46,882,24,26.7
923.91,4.590,24.6,1.8,119,0,48,893,24,26.7
922.78,4.600,24.4,1.8,125,0,50,903,24,26.7
921.21,4.620,24.3,1.7,132,0,52,918,25,26.7
919.86,4.620,24.2,1.6,141,0,54,931,25,26.8
918.74,4.620,24.2,1.5,151,0,56,942,25,26.8
917.39,4.630,24.0,1.5,162,0,58,955,25,26.8
916.05,4.650,23.9,1.5,176,0,60,967,25,26.8
914.93,4.630,23.8,1.5,188,0,62,978,25,26.9
913.59,4.640,23.7,1.6,198,0,64,991,25,26.9
912.03,4.670,23.5,1.7,207,0,66,1006,25,26.9
910.70,4.670,23.5,1.8,215,0,68,1018,25,26.9
909.14,4.640,23.4,1.8,221,0,70,1033,25,26.9
907.59,4.630,23.2,1.9,226,0,72,1048,26,27.0
906.04,4.610,23.0,1.9,229,0,74,1063,26,27.0
904.49,4.590,22.9,1.9,232,0,76,1078,26,27.0
902.95,4.590,22.8,1.9,234,0,78,1093,26,27.0
901.41,4.610,22.6,1.9,236,0,80,1108,27,27.0
900.09,4.600,22.5,1.9,238,0,82,1120,27,27.1
898.55,4.620,22.4,1.9,238,0,84,1135,26,27.1
897.01,4.620,22.2,1.9,238,0,86,1150,27,27.1
895.48,4.620,22.1,1.9,237,0,88,1165,27,27.1
894.17,4.600,22.0,2.0,236,0,90,1178,27,27.1
892.65,4.590,21.7,2.0,234,0,92,1192,27,27.2
891.12,4.600,21.6,2.0,231,0,94,1207,28,27.2
889.82,4.600,21.5,2.0,227,0,96,1220,28,27.2
888.51,4.600,21.4,2.0,223,0,98,1232,28,27.2
887.21,4.600,21.3,1.9,219,0,100,1245,28,27.3
885.70,4.600,21.2,1.8,216,0,102,1260,28,27.3
883.97,4.600,20.9,1.6,213,0,104,1277,28,27.3
882.46,4.590,20.7,1.5,211,0,106,1292,29,27.3
880.95,4.560,20.6,1.3,212,0,108,1306,29,27.3
879.88,4.550,20.6,1.1,212,0,110,1317,29,27.4
878.81,4.550,20.5,1.0,213,0,112,1327,29,27.4
877.73,4.560,20.4,0.9,217,0,114,1338,29,27.4
876.66,4.570,20.3,0.8,225,0,116,1348,29,27.4
875.38,4.590,20.2,0.7,232,0,118,1361,30,27.4
873.89,4.590,20.0,0.7,239,0,120,1376,30,27.5
872.82,4.590,19.9,0.8,242,0,122,1386,30,27.5
871.54,4.580,19.8,0.8,242,0,124,1399,31,27.5
870.48,4.580,19.7,1.0,243,0,126,1409,31,27.5
869.63,4.560,19.7,1.1,243,0,128,1418,31,27.6
868.78,4.560,19.6,1.3,241,0,130,1426,31,27.6
867.72,4.600,19.4,1.4,238,0,132,1437,31,27.6
866.66,4.600,19.3,1.6,234,0,134,1447,32,27.6
865.39,4.560,19.3,1.8,231,0,136,1460,32,27.6
864.13,4.550,19.1,2.0,228,0,138,1472,31,27.6
863.07,4.540,19.0,2.2,225,0,140,1483,31,27.6
861.81,4.510,19.0,2.4,222,0,142,1495,32,27.7
860.55,4.500,18.8,2.7,220,0,144,1508,32,27.7
859.50,4.500,18.7,2.9,217,0,146,1518,33,27.7
858.45,4.480,18.6,3.2,216,0,148,1529,32,27.7
857.61,4.480,18.6,3.4,215,0,150,1537,32,27.8
