
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2013-09-19,AEMET,1.0,Jose Luis Hernandezp

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27133

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-09-18,10:51:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 168
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
248.0,0,315.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.010,26.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.97,2.490,24.9,1.0,70,2,0,631,32,26.6
942.13,2.490,24.2,1.2,10,0,2,648,33,26.7
941.21,2.510,23.9,1.3,345,0,4,657,33,26.7
940.06,2.540,23.5,1.3,335,0,6,667,34,26.7
938.69,2.550,23.1,1.2,328,0,8,680,36,26.7
937.31,2.560,22.6,1.2,318,0,10,693,37,26.8
935.94,2.590,22.2,1.1,301,2,12,706,37,26.8
934.80,2.610,22.1,1.1,286,0,14,716,38,26.8
933.89,2.610,22.0,1.1,270,0,16,725,38,26.8
932.75,2.670,21.9,1.1,256,0,18,735,38,26.8
931.38,2.710,21.7,1.2,244,0,20,748,39,26.8
929.79,2.730,21.6,1.2,233,0,22,763,39,26.9
928.43,2.730,21.5,1.3,223,0,24,775,40,26.9
926.85,2.730,21.4,1.3,216,0,26,790,41,26.9
925.26,2.750,21.2,1.3,211,0,28,805,41,26.9
925.00,2.750,21.2,1.3,211,3,28,808,41,26.9
923.91,2.750,21.1,1.2,208,0,30,818,41,26.9
922.56,2.730,21.0,1.2,207,0,32,830,41,26.9
921.21,2.730,20.9,1.1,207,0,34,843,41,26.9
920.08,2.730,20.8,1.1,209,0,36,854,42,27.0
918.96,2.740,20.6,1.1,214,0,38,864,42,27.0
918.06,2.740,20.4,1.1,218,0,40,873,42,27.0
916.72,2.750,20.3,1.1,218,0,42,885,43,27.0
915.38,2.760,20.2,1.1,218,0,44,898,43,27.1
913.81,2.760,20.2,1.2,215,0,46,913,43,27.1
912.48,2.760,20.1,1.3,211,0,48,925,43,27.1
911.36,2.760,20.0,1.4,206,0,50,936,44,27.1
910.03,2.760,19.8,1.5,198,0,52,948,44,27.1
908.70,2.760,19.7,1.6,189,0,54,961,44,27.1
907.59,2.760,19.7,1.7,182,0,56,971,44,27.2
906.26,2.760,19.6,1.9,175,0,58,984,44,27.2
905.15,2.760,19.5,2.0,169,0,60,995,44,27.2
903.83,2.760,19.3,2.0,164,0,62,1007,44,27.2
902.73,2.780,19.2,2.0,159,0,64,1018,45,27.3
901.63,2.780,19.0,2.0,155,0,66,1028,45,27.3
900.53,2.780,19.2,2.0,150,0,68,1039,45,27.3
899.43,2.780,19.1,1.9,144,0,70,1049,45,27.3
898.33,2.790,18.9,1.8,138,0,72,1060,45,27.3
897.23,2.790,18.8,1.7,131,0,74,1070,45,27.3
896.36,2.790,18.7,1.6,124,0,76,1078,46,27.4
895.48,2.810,18.7,1.6,115,0,78,1087,46,27.4
894.83,2.810,18.6,1.5,108,0,80,1093,46,27.4
893.95,2.820,18.6,1.5,101,0,82,1101,46,27.4
892.65,2.840,18.5,1.5,96,0,84,1114,45,27.4
891.77,2.840,18.4,1.6,92,0,86,1122,45,27.4
890.69,2.860,18.2,1.6,88,0,88,1133,46,27.5
889.82,2.870,18.1,1.6,85,0,90,1141,46,27.5
888.95,2.890,18.2,1.7,84,0,92,1150,46,27.5
888.08,2.910,18.1,1.7,82,0,94,1158,46,27.5
887.00,2.920,18.1,1.7,80,0,96,1168,46,27.5
885.70,2.940,18.0,1.7,78,0,98,1181,46,27.6
884.40,2.940,17.9,1.7,76,0,100,1193,46,27.6
883.32,2.950,17.8,1.8,74,0,102,1204,46,27.6
882.03,2.950,17.7,1.8,72,0,104,1216,46,27.6
880.74,2.950,17.7,1.8,71,0,106,1229,45,27.6
879.66,3.040,17.7,1.9,71,0,108,1239,45,27.6
878.59,3.060,17.6,1.9,71,0,110,1250,45,27.6
877.31,3.090,17.5,1.9,72,0,112,1262,44,27.6
876.24,3.150,17.4,1.8,73,0,114,1273,44,27.7
874.95,3.180,17.2,1.8,75,0,116,1285,45,27.7
873.67,3.210,17.1,1.7,77,0,118,1298,46,27.7
872.61,3.240,17.0,1.6,78,0,120,1308,46,27.7
871.33,3.240,16.9,1.5,79,0,122,1321,46,27.7
870.27,3.250,16.8,1.4,80,0,124,1331,46,27.7
868.99,3.260,16.7,1.2,81,0,126,1344,46,27.8
867.72,3.280,16.6,1.1,81,0,128,1356,46,27.8
866.45,3.290,16.5,0.9,83,0,130,1369,46,27.8
865.39,3.310,16.4,0.8,85,0,132,1379,47,27.8
864.13,3.320,16.3,0.7,86,0,134,1391,47,27.8
863.07,3.330,16.2,0.6,93,0,136,1402,47,27.8
862.02,3.350,16.1,0.5,98,0,138,1412,47,27.8
860.97,3.370,15.9,0.0,0,0,140,1423,47,27.9
859.71,3.370,15.9,0.0,0,0,142,1435,48,27.9
858.45,3.400,15.9,0.0,0,0,144,1447,47,27.9
857.40,3.410,15.9,0.0,0,0,146,1458,46,27.9
856.56,3.410,15.8,0.5,97,0,148,1466,45,27.9
855.52,3.440,15.7,0.6,93,0,150,1476,45,27.9
854.48,3.440,15.7,0.6,93,0,152,1487,45,27.9
853.43,3.440,15.6,0.7,96,0,154,1497,45,27.9
852.18,3.450,15.6,0.7,100,0,156,1510,45,28.0
851.35,3.460,15.6,0.7,106,0,158,1518,45,28.0
850.52,3.460,15.6,0.7,111,0,160,1526,46,28.0
850.00,3.490,15.5,0.7,111,3,161,1531,46,28.0
849.28,3.490,15.4,0.6,124,0,162,1539,47,28.0
848.24,3.490,15.3,0.6,140,0,164,1549,48,28.0
846.79,3.490,15.2,0.6,158,0,166,1563,49,28.0
845.55,3.510,15.2,0.7,181,0,168,1576,50,28.0
844.31,3.520,15.1,0.8,199,0,170,1588,50,28.1
843.08,3.520,15.1,0.9,211,0,172,1601,49,28.1
842.05,3.550,15.0,1.0,223,0,174,1611,49,28.1
840.82,3.580,14.8,1.0,232,0,176,1623,49,28.1
839.59,3.610,14.7,1.1,239,0,178,1636,49,28.1
838.15,3.610,14.6,1.1,243,0,180,1650,49,28.1
836.93,3.610,14.6,1.1,248,0,182,1663,49,28.1
835.70,3.610,14.5,1.0,253,0,184,1675,49,28.2
834.68,3.600,14.3,1.0,259,0,186,1685,49,28.2
833.66,3.600,14.2,1.1,265,0,188,1696,49,28.2
832.85,3.590,14.3,1.2,272,0,190,1704,49,28.2
831.83,3.590,14.2,1.3,278,0,192,1714,49,28.2
830.62,3.590,14.1,1.5,284,0,194,1727,48,28.2
829.40,3.590,13.9,1.8,289,0,196,1739,47,28.2
828.19,3.570,13.8,2.0,293,0,198,1751,47,28.2
827.18,3.550,13.7,2.4,297,0,200,1762,47,28.3
826.17,3.550,13.7,2.6,300,0,202,1772,47,28.3
825.36,3.550,13.8,2.9,302,0,204,1780,47,28.3
824.15,3.550,13.9,3.1,304,0,206,1792,46,28.3
