
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2013-10-01,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27132

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-09-25,10:50:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 153
* ® HØ

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
179.6,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPw,,0.013,27.90,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
942.82,1.880,25.6,1.1,130,2,0,631,38,27.4
940.52,1.880,23.8,0.8,165,2,2,652,42,27.5
939.60,1.880,23.7,0.8,174,0,4,661,43,27.5
938.69,1.900,23.7,0.8,175,0,6,669,43,27.5
937.54,1.910,23.6,0.9,169,0,8,680,43,27.5
936.17,1.920,23.5,1.0,162,0,10,693,44,27.5
934.80,1.930,23.4,1.2,156,0,12,706,44,27.5
933.43,1.950,23.3,1.3,152,0,14,718,44,27.5
932.29,1.970,23.3,1.4,149,0,16,729,44,27.6
930.93,1.980,23.3,1.5,148,0,18,742,44,27.6
929.57,1.990,22.7,1.5,148,0,20,755,45,27.6
928.20,2.020,22.6,1.5,151,0,22,767,46,27.6
927.07,2.050,22.5,1.5,155,0,24,778,46,27.6
925.94,2.070,22.4,1.4,161,0,26,789,46,27.6
925.00,2.080,22.3,1.4,169,3,28,797,46,27.6
924.81,2.080,22.3,1.4,169,0,28,799,46,27.6
923.68,2.090,22.1,1.4,177,0,30,810,47,27.6
922.11,2.150,22.0,1.4,188,0,32,825,47,27.7
920.76,2.170,21.9,1.5,199,0,34,837,48,27.7
919.18,2.230,21.7,1.5,205,0,36,852,48,27.7
917.39,2.230,21.6,1.7,211,0,38,869,48,27.7
915.82,2.240,21.5,1.8,217,0,40,884,48,27.7
914.48,2.240,21.4,1.9,220,0,42,897,49,27.7
913.37,2.240,21.4,2.0,221,0,44,907,49,27.8
912.03,2.240,21.3,2.0,221,0,46,920,49,27.8
910.70,2.250,21.1,2.0,220,0,48,933,49,27.8
909.58,2.260,21.0,2.0,218,0,50,943,49,27.8
908.48,2.290,20.9,2.0,215,0,52,954,50,27.8
907.37,2.310,20.7,1.9,211,2,54,964,50,27.8
906.48,2.370,20.6,1.8,207,0,56,973,51,27.8
905.60,2.510,20.6,1.8,202,0,58,981,53,27.9
904.49,2.570,20.5,1.8,197,0,60,992,53,27.9
903.39,2.670,20.5,1.8,193,0,62,1002,54,27.9
902.51,2.820,20.5,1.9,189,0,64,1011,54,27.9
901.19,2.930,20.4,2.0,185,0,66,1024,54,27.9
900.09,3.060,20.3,2.1,182,0,68,1034,54,27.9
899.21,3.130,20.2,2.2,179,0,70,1042,55,28.0
897.89,3.180,20.1,2.4,177,0,72,1055,54,28.0
896.80,3.250,20.0,2.5,176,0,74,1066,55,28.0
895.70,3.340,19.9,2.7,175,0,76,1076,56,28.0
894.39,3.370,19.8,2.8,175,0,78,1089,56,28.0
893.30,3.410,19.9,2.9,175,0,80,1099,56,28.0
892.21,3.540,19.7,3.0,176,0,82,1110,56,28.0
890.90,3.640,19.5,3.2,178,0,84,1123,56,28.1
889.60,3.680,19.4,3.3,180,0,86,1135,56,28.1
888.30,3.730,19.4,3.4,182,0,88,1148,57,28.1
887.21,3.780,19.4,3.4,185,0,90,1158,58,28.1
886.13,3.860,19.3,3.5,188,2,92,1169,58,28.1
884.83,3.890,19.2,3.6,190,0,94,1181,58,28.1
883.32,3.890,19.1,3.6,192,0,96,1196,58,28.1
882.25,3.920,19.0,3.6,194,0,98,1207,59,28.1
881.17,3.940,18.9,3.7,195,0,100,1217,59,28.2
880.31,3.960,18.9,3.8,195,0,102,1225,58,28.2
879.66,3.990,18.7,3.9,195,0,104,1232,58,28.2
878.59,4.040,18.6,4.0,195,0,106,1242,58,28.2
877.52,4.070,18.5,4.1,194,0,108,1253,59,28.2
876.45,4.080,18.4,4.3,194,0,110,1263,59,28.2
875.17,4.100,18.3,4.5,193,0,112,1276,59,28.3
874.10,4.100,18.2,4.7,192,0,114,1286,59,28.3
873.25,4.100,18.2,4.9,192,0,116,1295,58,28.3
872.18,4.110,18.2,5.1,191,0,118,1305,58,28.3
871.12,4.120,18.1,5.3,191,0,120,1316,59,28.3
870.05,4.150,18.0,5.4,191,0,122,1326,59,28.3
868.78,4.150,17.9,5.4,191,0,124,1339,59,28.3
867.51,4.150,17.9,5.5,191,0,126,1351,58,28.3
866.45,4.150,17.9,5.5,191,0,128,1362,57,28.3
865.60,4.150,18.0,5.4,191,0,130,1370,56,28.4
864.76,4.140,17.9,5.3,192,0,132,1378,56,28.4
863.49,4.120,17.7,5.2,193,0,134,1391,56,28.4
862.44,4.120,17.6,5.1,194,0,136,1401,55,28.4
861.60,4.120,17.6,5.0,196,0,138,1410,55,28.4
860.76,4.120,17.7,4.9,197,0,140,1418,54,28.4
859.71,4.100,17.6,4.9,199,0,142,1428,53,28.4
858.66,4.100,17.5,4.9,201,0,144,1439,52,28.4
857.61,4.100,17.5,5.0,203,0,146,1449,50,28.4
856.77,4.090,17.5,5.0,205,0,148,1458,49,28.4
855.94,4.080,17.4,5.1,206,0,150,1466,48,28.5
854.89,4.080,17.3,5.3,207,0,152,1476,47,28.5
853.85,4.080,17.3,5.4,208,0,154,1487,46,28.5
852.81,4.060,17.3,5.6,209,0,156,1497,44,28.5
851.77,4.050,17.3,5.7,210,0,158,1508,44,28.5
850.73,4.050,17.2,5.9,211,0,160,1518,44,28.5
850.00,4.050,17.1,6.0,212,3,162,1526,44,28.5
849.69,4.050,17.1,6.0,212,0,162,1529,44,28.5
848.86,4.050,17.0,6.1,213,0,164,1537,44,28.5
847.83,4.060,16.9,6.3,214,0,166,1547,45,28.6
846.79,4.060,16.8,6.4,215,0,168,1558,45,28.6
845.76,4.050,16.7,6.6,216,0,170,1568,45,28.6
844.93,4.050,16.6,6.8,217,0,172,1576,45,28.6
844.31,4.050,16.6,6.9,217,0,174,1583,45,28.6
843.28,4.050,16.5,7.1,218,0,176,1593,46,28.6
841.84,4.060,16.3,7.3,218,0,178,1608,46,28.6
840.61,4.060,16.2,7.5,219,0,180,1620,47,28.6
839.38,4.060,16.2,7.7,219,0,182,1632,48,28.6
838.36,4.060,16.1,7.8,219,0,184,1643,48,28.6
837.34,4.060,16.0,8.0,219,0,186,1653,49,28.7
836.52,4.080,16.1,8.1,219,0,188,1662,50,28.7
835.70,4.090,16.0,8.1,219,0,190,1670,50,28.7
834.68,4.120,15.9,8.1,218,0,192,1680,50,28.7
833.66,4.150,15.7,8.1,218,0,194,1691,51,28.7
832.85,4.180,15.6,8.1,218,0,196,1699,51,28.7
831.83,4.180,15.6,8.0,218,0,198,1709,51,28.7
831.02,4.180,15.5,8.0,218,0,200,1718,51,28.8
830.21,4.170,15.4,8.0,218,0,202,1726,52,28.8
829.40,4.160,15.4,8.1,218,0,204,1734,51,28.8
828.39,4.150,15.3,8.2,218,0,206,1744,51,28.8
827.18,4.150,15.3,8.3,219,0,208,1757,50,28.8
825.97,4.140,15.3,8.5,219,0,210,1769,49,28.8
824.55,4.130,15.2,8.7,219,0,212,1784,49,28.8
823.35,4.100,15.1,8.9,219,0,214,1796,49,28.8
822.34,4.090,15.0,9.1,219,0,216,1807,47,28.8
821.14,4.060,14.9,9.4,219,0,218,1819,46,28.9
820.14,4.050,14.9,9.6,218,0,220,1829,45,28.9
819.14,4.010,14.8,9.8,218,0,222,1840,45,28.9
818.14,4.000,14.7,10.0,218,0,224,1850,45,28.9
817.14,3.980,14.6,10.2,218,0,226,1860,45,28.9
815.94,3.980,14.5,10.4,218,0,228,1873,45,28.9
814.55,3.960,14.4,10.6,218,0,230,1887,45,28.9
813.36,3.910,14.2,10.8,218,0,232,1899,46,28.9
812.17,3.900,14.1,11.0,219,0,234,1912,46,28.9
811.18,3.880,14.1,11.2,220,0,236,1922,45,28.9
809.79,3.870,13.9,11.3,220,0,238,1936,45,28.9
808.61,3.870,13.8,11.4,221,0,240,1949,45,29.0
807.82,3.850,13.7,11.5,221,0,242,1957,45,29.0
806.63,3.840,13.7,11.6,221,0,244,1969,44,29.0
805.45,3.760,13.6,11.6,220,0,246,1982,43,29.0
804.47,3.740,13.6,11.5,219,0,248,1992,42,29.0
803.69,3.730,13.5,11.5,218,0,250,2000,40,29.0
802.51,3.700,13.5,11.4,217,0,252,2013,37,29.0
801.53,3.650,13.5,11.4,215,0,254,2023,35,29.0
800.75,3.610,13.5,11.3,213,0,256,2031,34,29.0
799.97,3.610,13.5,11.3,210,0,258,2039,33,29.0
798.80,3.610,13.4,11.3,209,0,260,2052,32,29.0
797.82,3.610,13.4,11.3,207,0,262,2062,32,29.1
796.85,3.610,13.4,11.4,206,0,264,2072,32,29.1
795.49,3.600,13.3,11.4,204,0,266,2087,35,29.1
794.13,3.600,13.1,11.4,203,0,268,2101,37,29.1
792.97,3.600,13.0,11.4,203,0,270,2113,38,29.1
792.00,3.610,13.0,11.4,203,0,272,2123,39,29.1
791.23,3.640,13.0,11.4,202,0,274,2132,41,29.1
790.26,3.650,13.0,11.5,203,0,276,2142,43,29.1
789.30,3.650,12.9,11.5,203,0,278,2152,45,29.1
788.33,3.650,12.9,11.6,203,0,280,2162,45,29.1
787.56,3.670,12.9,11.7,202,0,282,2171,45,29.1
786.80,3.690,12.7,11.9,202,0,284,2179,45,29.1
785.64,3.710,12.5,12.1,201,0,286,2191,45,29.1
784.49,3.720,12.4,12.3,200,0,288,2203,45,29.1
783.35,3.720,12.3,12.5,199,0,290,2216,45,29.2
782.39,3.720,12.3,12.7,198,0,292,2226,45,29.2
781.24,3.710,12.2,12.9,197,0,294,2238,45,29.2
780.10,3.710,12.2,13.1,196,0,296,2250,44,29.2
779.15,3.710,12.3,13.2,195,0,298,2261,44,29.2
778.39,3.710,12.2,13.3,194,0,300,2269,42,29.2
777.63,3.740,12.2,13.4,193,0,302,2277,41,29.2
776.68,3.760,12.1,13.4,193,0,304,2287,40,29.2
775.54,3.770,12.0,13.4,193,0,306,2300,40,29.2
774.60,3.770,11.9,13.3,193,0,308,2310,41,29.2
773.46,3.770,11.9,13.2,193,0,310,2322,42,29.2
772.52,3.770,11.8,13.1,193,0,312,2332,43,29.2
771.58,3.770,11.7,13.1,193,0,314,2342,44,29.3
770.64,3.770,11.7,13.0,193,0,316,2353,43,29.3
769.51,3.760,11.5,13.0,194,0,318,2365,42,29.3
768.57,3.760,11.5,12.9,194,0,320,2375,41,29.3
767.82,3.760,11.5,12.9,194,0,322,2383,41,29.3
766.88,3.770,11.4,12.9,194,0,324,2393,41,29.3
765.95,3.800,11.2,12.9,194,0,326,2404,43,29.3
