
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2013-10-01,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27130

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-09-26,10:50:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 173
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
90.2,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.28,3.110,26.2,2.1,170,2,0,631,35,26.7
941.67,3.170,25.2,1.1,163,0,2,646,39,26.7
940.29,3.180,24.4,0.8,162,2,4,659,40,26.7
938.69,3.220,24.4,0.8,162,0,6,674,40,26.8
936.86,3.270,24.2,0.9,162,0,8,691,41,26.8
935.03,3.320,24.0,1.1,164,0,10,708,41,26.8
933.43,3.350,23.8,1.3,166,0,12,723,42,26.8
931.84,3.380,23.7,1.4,169,0,14,738,42,26.8
930.25,3.390,23.7,1.5,171,0,16,753,42,26.9
928.66,3.440,23.6,1.6,172,0,18,768,43,26.9
926.85,3.440,23.2,1.6,172,0,20,785,44,26.9
925.04,3.440,22.8,1.7,171,0,22,802,44,26.9
923.46,3.500,22.5,1.7,168,0,24,817,45,26.9
921.66,3.500,22.3,1.7,165,2,26,834,45,27.0
919.63,3.510,22.2,1.8,161,0,28,853,45,27.0
917.84,3.510,22.2,1.9,156,0,30,870,46,27.0
916.05,3.490,21.9,1.9,150,0,32,887,47,27.0
914.26,3.490,21.9,2.0,145,0,34,904,47,27.0
912.48,3.500,21.7,2.2,141,0,36,921,46,27.1
911.14,3.500,21.6,2.3,138,0,38,933,47,27.1
909.36,3.500,21.4,2.3,135,0,40,950,48,27.1
907.81,3.500,21.3,2.4,133,0,42,965,48,27.1
905.82,3.510,21.0,2.5,131,0,44,984,48,27.1
904.05,3.500,20.7,2.5,131,0,46,1001,49,27.1
901.85,3.490,20.5,2.5,131,0,48,1022,50,27.2
900.09,3.500,20.4,2.5,131,0,50,1039,50,27.2
898.55,3.490,20.3,2.5,133,0,52,1054,51,27.2
897.01,3.500,20.2,2.5,135,0,54,1068,51,27.2
895.48,3.500,20.0,2.5,137,0,56,1083,51,27.2
893.95,3.530,19.8,2.5,141,0,58,1098,51,27.3
892.65,3.560,19.6,2.5,144,0,60,1111,52,27.3
891.34,3.570,19.5,2.6,148,0,62,1123,52,27.3
890.03,3.580,19.4,2.6,153,0,64,1136,53,27.3
888.51,3.590,19.3,2.7,158,0,66,1151,53,27.4
886.78,3.600,19.1,2.8,162,0,68,1167,53,27.4
885.27,3.610,19.0,2.9,166,0,70,1182,54,27.4
883.75,3.610,18.8,3.0,170,0,72,1197,54,27.4
882.25,3.620,18.7,3.1,173,0,74,1211,55,27.4
880.74,3.630,18.5,3.2,176,0,76,1226,55,27.4
879.45,3.660,18.4,3.3,178,0,78,1239,55,27.5
877.95,3.670,18.3,3.4,179,0,80,1253,56,27.5
876.02,3.670,18.1,3.5,181,0,82,1272,56,27.5
874.31,3.670,17.9,3.7,181,0,84,1289,56,27.5
872.39,3.660,17.8,3.8,182,0,86,1308,57,27.5
870.69,3.650,17.6,4.0,182,0,88,1324,58,27.6
869.20,3.630,17.5,4.2,182,0,90,1339,58,27.6
867.51,3.630,17.3,4.3,181,0,92,1356,58,27.6
866.03,3.640,17.2,4.5,181,0,94,1370,58,27.6
864.76,3.650,17.0,4.6,180,0,96,1383,59,27.6
863.28,3.650,16.9,4.6,179,0,98,1397,59,27.6
861.60,3.680,16.8,4.6,178,0,100,1414,59,27.7
860.13,3.710,16.7,4.6,178,0,102,1429,59,27.7
858.87,3.710,16.5,4.5,177,0,104,1441,59,27.7
857.61,3.730,16.3,4.4,177,0,106,1454,59,27.7
856.36,3.790,16.2,4.3,177,0,108,1466,60,27.8
854.89,3.800,16.1,4.2,178,0,110,1481,59,27.8
853.64,3.830,16.0,4.2,179,0,112,1493,61,27.8
852.39,3.840,15.8,4.2,180,0,114,1506,61,27.8
851.14,3.840,15.7,4.3,181,0,116,1518,62,27.8
849.90,3.850,15.6,4.5,182,0,118,1530,63,27.9
848.86,3.850,15.5,4.7,183,0,120,1541,64,27.9
847.62,3.840,15.4,5.0,185,0,122,1553,64,27.9
846.38,3.830,15.2,5.3,186,0,124,1566,64,27.9
845.35,3.830,15.1,5.7,187,0,126,1576,64,27.9
844.31,3.830,15.2,6.0,188,0,128,1586,63,27.9
843.28,3.840,15.2,6.3,189,0,130,1597,61,27.9
842.26,3.840,15.1,6.5,190,0,132,1607,60,28.0
841.23,3.940,15.0,6.7,191,0,134,1617,61,28.0
840.00,3.970,14.9,6.9,192,0,136,1630,60,28.0
838.97,3.990,14.9,7.0,194,0,138,1640,60,28.0
837.95,4.040,14.8,7.0,195,0,140,1651,60,28.1
836.93,4.070,14.7,7.0,196,0,142,1661,61,28.1
835.91,4.130,14.6,7.0,196,0,144,1671,62,28.1
834.68,4.140,14.6,6.9,197,0,146,1684,62,28.1
833.46,4.150,14.5,6.9,197,0,148,1696,61,28.1
832.24,4.150,14.4,6.8,196,0,150,1708,60,28.1
831.22,4.150,14.3,6.7,196,0,152,1719,60,28.2
830.21,4.140,14.2,6.6,195,0,154,1729,60,28.2
829.00,4.130,14.1,6.6,194,0,156,1741,61,28.2
827.58,4.130,14.0,6.6,192,0,158,1756,61,28.2
826.17,4.090,13.8,6.6,191,0,160,1770,61,28.2
824.96,4.080,13.7,6.6,190,2,162,1783,61,28.3
823.75,4.060,13.8,6.7,190,0,164,1795,61,28.3
822.75,4.050,13.7,6.7,189,0,166,1805,61,28.3
821.54,4.040,13.6,6.9,189,0,168,1818,60,28.3
820.54,4.040,13.5,7.0,190,0,170,1828,59,28.3
819.34,4.020,13.5,7.2,191,0,172,1840,59,28.3
818.34,4.000,13.3,7.4,191,0,174,1851,59,28.3
817.34,4.000,13.3,7.6,193,0,176,1861,59,28.4
816.34,3.950,13.3,7.8,194,0,178,1871,59,28.4
815.35,3.940,13.3,8.1,195,0,180,1881,58,28.4
814.55,3.930,13.3,8.3,196,0,182,1890,57,28.4
813.36,3.920,13.3,8.5,196,0,184,1902,58,28.4
812.37,3.890,13.3,8.8,197,0,186,1912,57,28.4
811.38,3.880,13.3,9.0,198,0,188,1922,55,28.4
810.58,3.860,13.3,9.2,198,0,190,1931,54,28.5
809.59,3.830,13.4,9.5,198,0,192,1941,52,28.5
808.61,3.820,13.4,9.8,199,0,194,1951,51,28.5
807.82,3.810,13.5,10.0,199,0,196,1959,50,28.5
806.83,3.810,13.4,10.3,200,0,198,1970,48,28.5
805.85,3.800,13.8,10.6,201,0,200,1980,39,28.5
804.67,3.790,14.0,10.9,201,0,202,1992,38,28.6
803.49,3.760,14.1,11.2,202,0,204,2005,35,28.6
802.31,3.730,14.2,11.5,203,0,206,2017,32,28.6
801.14,3.690,14.2,11.8,203,0,208,2029,30,28.6
799.77,3.650,14.2,12.1,203,0,210,2044,29,28.6
798.41,3.650,14.2,12.3,203,0,212,2058,28,28.6
797.04,3.620,14.1,12.5,204,0,214,2073,28,28.6
795.68,3.600,14.1,12.7,204,0,216,2087,28,28.7
794.32,3.570,14.1,12.8,203,0,218,2101,27,28.7
793.16,3.560,14.1,12.9,203,0,220,2114,23,28.7
792.19,3.560,14.2,13.0,203,0,222,2124,19,28.7
791.23,3.560,14.2,13.0,203,0,224,2134,16,28.7
790.26,3.560,14.2,13.1,203,0,226,2145,13,28.7
789.49,3.580,14.2,13.1,203,0,228,2153,11,28.7
788.53,3.590,14.2,13.1,204,0,230,2163,10,28.7
787.56,3.630,14.2,13.0,204,2,232,2173,11,28.8
786.80,3.630,14.1,13.0,204,0,234,2182,11,28.8
786.03,3.670,14.1,13.0,205,0,236,2190,11,28.8
785.07,3.720,14.0,12.9,205,0,238,2200,11,28.8
784.11,3.730,13.9,12.9,206,0,240,2210,11,28.8
783.15,3.760,13.8,12.8,206,0,242,2221,11,28.8
782.01,3.770,13.7,12.7,206,0,244,2233,11,28.8
780.86,3.810,13.6,12.6,207,0,246,2245,11,28.9
779.72,3.830,13.5,12.5,207,0,248,2258,11,28.9
778.77,3.860,13.4,12.4,208,0,250,2268,12,28.9
778.01,3.870,13.3,12.3,208,0,252,2276,13,28.9
776.87,3.870,13.2,12.3,209,0,254,2288,18,28.9
775.54,3.870,13.0,12.3,209,0,256,2303,21,28.9
774.41,3.830,12.8,12.3,210,0,258,2315,23,28.9
773.46,3.800,12.8,12.4,211,0,260,2325,24,29.0
772.52,3.770,12.6,12.5,211,0,262,2335,25,29.0
771.58,3.750,12.5,12.6,212,0,264,2346,25,29.0
770.45,3.740,12.4,12.7,212,0,266,2358,26,29.0
769.32,3.730,12.3,12.9,213,0,268,2370,29,29.0
768.01,3.690,12.2,13.1,213,0,270,2385,30,29.0
766.88,3.660,12.2,13.2,214,0,272,2397,30,29.1
765.76,3.640,12.1,13.4,214,0,274,2409,30,29.1
764.64,3.620,12.0,13.5,214,0,276,2421,30,29.1
763.52,3.600,11.9,13.6,214,0,278,2434,29,29.1
762.59,3.590,11.9,13.6,214,0,280,2444,27,29.1
761.47,3.570,11.9,13.7,213,0,282,2456,26,29.1
760.54,3.550,11.9,13.7,213,0,284,2466,25,29.1
759.43,3.540,11.8,13.7,213,0,286,2478,24,29.1
758.32,3.520,11.7,13.7,212,0,288,2491,24,29.2
757.39,3.500,11.6,13.7,212,0,290,2501,24,29.2
756.47,3.490,11.6,13.7,211,0,292,2511,23,29.2
755.55,3.490,11.6,13.7,211,0,294,2521,23,29.2
754.44,3.480,11.4,13.8,210,0,296,2534,23,29.2
753.52,3.480,11.4,13.8,210,0,298,2544,23,29.2
752.42,3.480,11.3,13.8,209,0,300,2556,23,29.2
751.50,3.470,11.2,13.8,208,0,302,2566,22,29.3
750.40,3.470,11.1,13.8,208,0,304,2578,21,29.3
749.48,3.470,11.0,13.9,207,0,306,2588,21,29.3
748.39,3.460,11.0,13.9,207,0,308,2601,19,29.3
747.29,3.460,11.0,13.9,206,0,310,2613,18,29.3
746.38,3.460,11.0,13.9,206,0,312,2623,17,29.3
