
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-01-09,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27138

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2013-12-27,10:56:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB  88
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
245.2,0,281.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.028,27.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.28,1.910,10.8,4.1,213,2,0,631,82,21.5
941.44,1.920,10.6,3.7,221,0,2,647,83,21.6
940.29,1.920,10.5,3.9,224,0,4,657,84,21.6
938.69,1.910,10.4,4.4,225,0,6,672,85,21.6
937.08,1.910,10.2,5.1,225,0,8,686,85,21.6
935.71,1.910,10.1,5.7,225,0,10,698,86,21.6
934.12,1.910,9.9,6.2,225,0,12,712,87,21.6
932.75,1.910,9.7,6.6,225,0,14,725,88,21.7
931.61,1.920,9.6,7.1,225,0,16,735,88,21.7
930.25,1.930,9.5,7.5,225,0,18,747,89,21.7
928.88,1.950,9.3,7.8,226,0,20,759,90,21.7
927.52,1.970,9.2,8.1,226,0,22,771,90,21.7
926.17,1.980,9.1,8.4,226,0,24,783,91,21.8
925.00,2.000,9.0,8.7,226,3,25,794,91,21.8
924.59,2.000,8.9,8.7,226,0,26,798,91,21.8
923.01,2.040,8.7,9.0,225,0,28,812,92,21.8
921.21,2.050,8.5,9.3,225,0,30,828,93,21.8
919.41,2.060,8.4,9.7,225,0,32,844,94,21.8
917.84,2.060,8.3,10.1,225,0,34,858,95,21.8
916.05,2.070,8.2,10.5,225,0,36,874,95,21.9
914.48,2.080,8.1,11.0,224,0,38,889,96,21.9
912.92,2.090,7.9,11.5,224,0,40,903,97,21.9
911.59,2.090,7.8,11.9,224,0,42,915,97,21.9
910.03,2.140,7.7,12.3,224,0,44,929,98,21.9
908.48,2.180,7.6,12.6,224,0,46,943,98,21.9
906.70,2.190,7.5,12.8,224,0,48,959,98,21.9
905.60,2.220,7.4,13.0,224,0,50,969,99,22.0
904.49,2.250,7.4,13.1,224,0,52,979,99,22.0
903.39,2.280,7.3,13.2,225,0,54,989,99,22.0
902.29,2.310,7.3,13.2,225,0,56,999,100,22.0
900.75,2.320,7.2,13.2,225,0,58,1013,100,22.0
899.21,2.340,7.1,13.1,226,0,60,1028,100,22.1
897.89,2.370,7.1,13.1,227,0,62,1040,100,22.1
896.58,2.380,7.0,13.1,228,0,64,1052,100,22.1
895.48,2.410,7.0,13.1,228,0,66,1062,100,22.1
894.39,2.450,6.9,13.2,230,0,68,1072,99,22.1
893.30,2.460,6.8,13.3,230,0,70,1082,99,22.1
891.99,2.480,6.8,13.5,231,0,72,1094,99,22.1
891.12,2.490,6.8,13.7,232,0,74,1102,99,22.1
890.03,2.530,6.7,13.9,232,0,76,1112,100,22.2
889.17,2.550,6.7,14.1,233,0,78,1120,100,22.2
888.51,2.560,6.6,14.4,233,0,80,1126,100,22.2
887.65,2.580,6.6,14.7,233,0,82,1134,100,22.2
886.78,2.590,6.6,14.9,233,0,84,1142,100,22.2
885.70,2.590,6.5,15.2,233,0,86,1152,100,22.2
884.83,2.630,6.4,15.5,233,0,88,1160,100,22.3
883.75,2.630,6.4,15.8,233,0,90,1170,100,22.3
882.89,2.660,6.4,16.0,234,0,92,1178,100,22.3
882.25,2.670,6.4,16.2,235,0,94,1184,100,22.3
881.60,2.680,6.4,16.4,235,0,96,1190,99,22.3
880.74,2.690,6.4,16.5,236,0,98,1198,100,22.3
879.88,2.710,6.3,16.6,238,0,100,1206,99,22.3
878.81,2.710,6.2,16.6,239,0,102,1216,98,22.4
877.95,2.730,6.4,16.6,240,0,104,1224,98,22.4
877.09,2.770,6.4,16.5,241,0,106,1232,97,22.4
875.81,2.780,6.4,16.4,242,0,108,1244,95,22.4
874.95,2.810,6.3,16.3,243,0,110,1252,95,22.4
874.10,2.810,6.3,16.2,244,0,112,1260,94,22.4
873.25,2.830,6.3,16.1,245,0,114,1269,93,22.4
872.39,2.830,6.2,16.0,245,0,116,1277,92,22.4
871.33,2.840,6.1,15.9,246,0,118,1287,92,22.4
870.48,2.860,6.0,15.9,246,0,120,1295,92,22.4
869.42,2.870,6.0,15.8,247,0,122,1305,93,22.5
868.36,2.880,5.9,15.8,247,0,124,1315,92,22.5
867.30,2.890,5.8,15.8,247,0,126,1325,92,22.5
866.24,2.890,5.8,15.7,247,0,128,1335,92,22.5
865.18,2.910,5.7,15.6,248,0,130,1345,91,22.5
863.92,2.910,5.7,15.5,248,0,132,1357,91,22.5
862.65,2.920,5.6,15.3,248,0,134,1369,91,22.5
861.60,2.920,5.6,15.1,248,0,136,1379,91,22.5
860.34,2.930,5.5,14.9,248,0,138,1391,91,22.5
859.29,2.940,5.5,14.7,248,0,140,1401,91,22.6
858.24,2.940,5.4,14.6,249,0,142,1411,91,22.6
856.98,2.950,5.3,14.5,249,0,144,1423,90,22.6
855.73,2.950,5.3,14.5,249,0,146,1435,90,22.6
854.68,2.950,5.3,14.5,249,0,148,1445,91,22.6
853.64,2.950,5.2,14.6,249,0,150,1455,91,22.6
852.60,2.940,5.2,14.7,249,0,152,1465,91,22.6
851.56,2.950,5.1,14.9,249,0,154,1474,90,22.6
850.52,2.940,5.1,15.1,249,0,156,1484,87,22.6
850.00,2.940,5.0,15.3,249,3,157,1489,88,22.6
849.48,2.940,5.0,15.3,249,0,158,1494,88,22.6
848.45,2.940,4.9,15.6,249,0,160,1504,88,22.6
847.41,2.940,4.9,15.8,249,0,162,1514,88,22.7
846.38,2.940,4.8,16.0,249,0,164,1524,87,22.7
845.35,2.930,4.7,16.2,249,0,166,1534,87,22.7
844.11,2.940,4.7,16.4,249,0,168,1546,87,22.7
842.87,2.950,4.6,16.5,249,0,170,1558,86,22.7
841.84,2.950,4.6,16.5,249,0,172,1568,86,22.7
840.41,2.940,4.6,16.5,249,0,174,1582,85,22.7
839.18,2.940,4.5,16.5,249,0,176,1594,85,22.7
