
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-04-03,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A27026

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2014-04-02,10:51:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 253
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
351.2,0,383.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,,0.026,26.40,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
929.79,1.730,10.5,5.8,152,2,0,631,89,22.1
927.75,1.750,10.3,3.9,160,0,2,650,92,22.1
926.39,1.820,10.3,4.4,161,0,4,661,92,22.1
925.49,1.900,10.2,4.9,161,0,6,669,92,22.1
925.00,1.930,10.2,4.9,161,3,7,673,92,22.1
924.59,1.960,10.1,5.4,162,0,8,678,92,22.1
923.68,2.010,10.0,5.8,162,0,10,686,93,22.1
922.56,2.090,10.0,6.1,163,0,12,695,93,22.2
921.66,2.140,9.9,6.4,164,0,14,704,93,22.2
920.76,2.180,9.8,6.7,164,0,16,712,93,22.2
919.63,2.210,9.7,6.9,165,0,18,721,94,22.2
918.74,2.230,9.6,7.0,165,0,20,731,94,22.2
917.61,2.260,9.5,7.2,166,0,22,741,94,22.2
916.50,2.310,9.5,7.4,166,0,24,750,95,22.2
915.60,2.350,9.4,7.6,166,0,26,758,95,22.2
914.71,2.390,9.3,7.8,166,0,28,767,95,22.2
913.59,2.420,9.2,8.1,166,0,30,778,95,22.2
912.25,2.450,9.1,8.4,166,0,32,789,96,22.3
910.92,2.490,9.0,8.8,166,0,34,800,96,22.3
909.81,2.490,8.9,9.2,166,0,36,810,95,22.3
908.92,2.510,8.9,9.6,166,0,38,819,95,22.3
