
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2015-01-08,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A29474

#LOCATION
Latitude,Longitude,Height
40.46,-3.57,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2014-12-23,10:40:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 210
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
233.4,0,259.7

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-SGPW,0.032,27.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
956.50,0.980,6.8,0.0,0,2,0,631,56,18.6
954.40,1.030,6.1,0.5,360,0,2,649,54,18.6
953.24,1.050,5.9,0.6,14,0,4,657,54,18.6
952.31,1.050,5.8,0.7,30,0,6,666,54,18.7
951.14,1.060,5.7,0.8,43,0,8,676,55,18.7
949.98,1.070,5.6,1.0,54,0,10,687,56,18.7
948.59,1.080,5.5,1.2,63,0,12,698,57,18.7
947.67,1.090,5.5,1.5,69,0,14,707,58,18.7
946.74,1.100,5.4,1.7,74,0,16,715,58,18.7
945.59,1.100,5.3,2.0,79,0,18,725,58,18.8
944.43,1.100,5.2,2.2,83,0,20,734,57,18.8
943.51,1.100,5.1,2.4,87,0,22,743,53,18.8
942.36,1.120,5.1,2.6,91,0,24,752,51,18.8
941.21,1.120,5.0,2.7,96,2,26,762,51,18.8
940.06,1.210,5.0,2.9,100,0,28,772,50,18.8
938.92,1.290,5.0,3.0,104,0,30,782,50,18.8
937.54,1.410,5.0,3.1,109,0,32,794,50,18.8
936.17,1.520,5.1,3.2,114,0,34,806,49,18.9
935.03,1.630,5.2,3.3,119,0,36,816,49,18.9
933.89,1.750,5.3,3.4,124,0,38,825,48,18.9
932.98,1.840,5.3,3.5,129,0,40,835,48,18.9
931.84,1.950,5.6,3.6,133,0,42,844,49,18.9
930.93,2.050,5.9,3.7,137,0,44,853,49,18.9
929.79,2.130,6.1,3.8,140,0,46,862,50,18.9
928.43,2.250,6.2,4.0,142,0,48,873,50,18.9
927.30,2.340,6.4,4.0,144,0,50,883,50,18.9
926.17,2.420,6.4,4.1,145,0,52,893,51,19.0
925.26,2.520,6.4,4.1,145,0,54,902,51,19.0
925.00,2.520,6.4,4.1,145,3,54,904,51,19.0
923.91,2.570,6.3,4.1,145,0,56,914,51,19.0
922.33,2.700,6.2,4.1,144,0,58,927,50,19.0
921.21,2.790,6.1,4.1,143,0,60,939,51,19.0
919.86,2.840,6.1,4.0,141,0,62,949,51,19.0
918.74,2.890,6.0,4.0,139,0,64,960,51,19.1
917.61,2.970,5.9,3.9,137,0,66,969,52,19.1
916.72,3.010,5.8,3.9,134,0,68,978,53,19.1
915.82,3.060,5.8,3.9,132,0,70,985,54,19.1
914.93,3.110,5.8,3.9,130,0,72,994,56,19.1
913.81,3.150,5.8,3.8,129,0,74,1004,58,19.1
912.48,3.210,5.8,3.8,127,0,76,1016,58,19.1
911.14,3.270,5.8,3.8,126,0,78,1028,58,19.1
909.58,3.320,5.8,3.7,125,2,80,1041,58,19.1
908.25,3.340,5.8,3.7,123,0,82,1054,59,19.1
906.92,3.350,5.8,3.7,122,0,84,1066,60,19.2
905.60,3.370,5.7,3.6,121,0,86,1078,61,19.2
904.27,3.370,5.7,3.6,119,0,88,1089,62,19.2
903.39,3.370,5.7,3.6,118,0,90,1097,62,19.2
902.29,3.390,5.7,3.6,116,0,92,1107,62,19.2
901.19,3.430,5.6,3.6,114,0,94,1118,61,19.2
899.87,3.470,5.5,3.6,112,0,96,1129,58,19.2
898.77,3.470,5.6,3.6,110,0,98,1140,54,19.3
897.45,3.470,5.6,3.6,108,0,100,1151,52,19.3
896.80,3.490,5.6,3.6,107,0,102,1159,52,19.3
895.70,3.520,5.6,3.6,105,0,104,1167,53,19.3
894.83,3.520,5.5,3.5,104,0,106,1175,54,19.3
893.95,3.550,5.5,3.5,103,0,108,1184,55,19.3
892.65,3.550,5.4,3.5,102,0,110,1195,55,19.3
891.34,3.570,5.3,3.5,102,0,112,1208,55,19.3
890.03,3.570,5.2,3.4,102,0,114,1220,55,19.3
888.73,3.570,5.2,3.4,103,0,116,1231,55,19.3
887.65,3.570,5.1,3.3,105,0,118,1241,55,19.4
886.56,3.570,5.0,3.2,106,0,120,1252,55,19.4
885.05,3.620,4.8,3.1,108,0,122,1265,55,19.4
883.75,3.640,4.7,3.0,111,0,124,1278,56,19.4
882.25,3.650,4.6,2.9,114,0,126,1291,57,19.4
880.95,3.650,4.6,2.7,118,0,128,1303,58,19.4
879.88,3.650,4.5,2.6,122,0,130,1314,58,19.4
878.81,3.630,4.5,2.4,126,0,132,1323,59,19.4
877.73,3.620,4.5,2.2,130,2,134,1332,59,19.4
876.88,3.610,4.7,2.1,135,0,136,1341,58,19.4
876.02,3.610,5.1,1.9,140,0,138,1349,55,19.5
875.17,3.610,5.6,1.7,146,0,140,1358,51,19.5
874.10,3.610,5.9,1.5,152,0,142,1366,47,19.5
873.25,3.610,6.1,1.3,158,0,144,1375,44,19.5
872.39,3.620,6.2,1.2,165,0,146,1384,41,19.5
871.33,3.630,6.3,1.0,174,0,148,1393,38,19.5
870.05,3.630,6.4,0.9,185,0,150,1404,34,19.5
868.99,3.700,6.6,0.9,196,0,152,1416,30,19.5
867.72,3.720,6.8,0.9,207,2,154,1427,27,19.5
866.24,3.720,6.8,0.9,215,0,156,1440,26,19.6
865.18,3.720,6.9,0.9,221,0,158,1452,28,19.6
863.92,3.720,6.8,1.0,224,0,160,1462,33,19.6
863.28,3.720,6.7,1.1,226,0,162,1469,36,19.6
862.44,3.720,6.7,1.1,226,0,164,1477,39,19.6
861.39,3.730,6.6,1.2,225,0,166,1487,42,19.6
860.13,3.780,6.5,1.3,223,0,168,1499,44,19.6
858.66,3.780,6.5,1.3,220,0,170,1512,44,19.6
857.40,3.780,6.5,1.3,218,0,172,1525,44,19.6
856.15,3.740,6.5,1.3,216,0,174,1537,44,19.6
854.89,3.720,6.5,1.3,215,0,176,1549,43,19.6
854.06,3.710,6.6,1.2,215,0,178,1558,42,19.6
853.23,3.710,6.6,1.2,217,0,180,1565,42,19.6
852.39,3.710,6.5,1.1,220,0,182,1572,41,19.6
851.56,3.710,6.5,1.0,226,0,184,1581,41,19.7
850.52,3.720,6.6,1.0,235,0,186,1590,39,19.7
850.00,3.720,6.6,1.0,247,3,187,1596,38,19.7
849.69,3.720,6.6,1.0,247,0,188,1600,37,19.7
848.65,3.720,6.7,1.0,260,0,190,1608,35,19.7
847.83,3.710,6.7,1.1,271,0,192,1616,34,19.7
847.00,3.710,6.7,1.3,281,0,194,1626,34,19.7
845.76,3.710,6.6,1.4,287,0,196,1637,34,19.7
844.52,3.720,6.5,1.6,292,0,198,1649,34,19.7
843.28,3.730,6.4,1.7,295,0,200,1662,34,19.7
842.05,3.720,6.3,1.9,297,0,202,1672,35,19.7
841.43,3.720,6.2,1.9,298,0,204,1680,35,19.8
840.61,3.720,6.2,2.0,297,0,206,1687,36,19.8
839.59,3.720,6.1,2.0,296,0,208,1698,36,19.8
838.56,3.740,6.0,1.9,293,0,210,1708,36,19.8
837.54,3.740,6.0,1.8,290,0,212,1717,36,19.8
836.72,3.760,5.9,1.6,284,0,214,1726,36,19.8
835.70,3.760,5.8,1.5,276,0,216,1735,36,19.8
834.68,3.740,5.8,1.4,266,0,218,1744,36,19.8
833.87,3.740,5.8,1.4,253,0,220,1754,35,19.8
832.65,3.720,5.7,1.4,240,0,222,1764,35,19.8
831.63,3.710,5.6,1.5,228,0,224,1774,35,19.8
830.82,3.690,5.5,1.7,220,0,226,1783,35,19.8
830.01,3.700,5.5,2.0,215,0,228,1791,35,19.9
829.00,3.700,5.4,2.2,212,0,230,1801,35,19.9
827.78,3.710,5.2,2.5,212,0,232,1813,35,19.9
826.57,3.720,5.1,2.8,212,0,234,1825,35,19.9
825.36,3.720,5.0,3.1,213,0,236,1837,35,19.9
824.55,3.720,5.0,3.4,215,0,238,1846,35,19.9
823.75,3.700,4.9,3.7,217,0,240,1853,35,19.9
822.75,3.700,4.8,4.0,219,0,242,1864,35,19.9
821.54,3.690,4.7,4.3,221,0,244,1875,34,19.9
820.74,3.690,4.7,4.6,222,0,246,1883,33,19.9
819.94,3.690,4.8,4.8,224,0,248,1891,31,19.9
818.94,3.680,4.8,5.0,224,0,250,1901,30,19.9
817.94,3.670,4.8,5.2,225,0,252,1910,28,20.0
816.94,3.670,4.9,5.4,225,0,254,1920,28,20.0
815.94,3.690,4.8,5.4,226,0,256,1931,27,20.0
814.55,3.700,4.7,5.5,226,0,258,1944,27,20.0
813.36,3.700,4.6,5.5,226,0,260,1957,27,20.0
812.17,3.690,4.6,5.5,226,0,262,1968,27,20.0
811.38,3.690,4.5,5.4,226,0,264,1977,27,20.0
810.58,3.690,4.5,5.3,227,0,266,1985,27,20.0
809.59,3.690,4.4,5.3,227,0,268,1995,27,20.0
808.61,3.680,4.3,5.2,227,0,270,2004,27,20.1
807.62,3.680,4.3,5.1,228,0,272,2013,27,20.1
806.83,3.670,4.2,5.1,228,0,274,2021,27,20.1
806.04,3.670,4.1,5.1,228,0,276,2030,28,20.1
804.86,3.670,4.0,5.1,228,0,278,2042,28,20.1
803.69,3.670,3.9,5.1,228,0,280,2053,29,20.1
802.71,3.680,3.8,5.1,227,0,282,2063,29,20.1
801.92,3.680,3.8,5.2,227,0,284,2072,29,20.1
800.94,3.670,3.8,5.2,226,0,286,2082,29,20.1
799.97,3.660,3.7,5.2,225,0,288,2090,28,20.1
799.19,3.660,3.7,5.1,224,0,290,2098,29,20.1
798.41,3.650,3.5,5.1,223,0,292,2107,29,20.1
797.24,3.650,3.4,5.0,222,0,294,2118,28,20.1
796.07,3.650,3.4,4.9,221,0,296,2130,28,20.1
794.91,3.640,3.3,4.8,220,0,298,2142,28,20.1
793.94,3.630,3.2,4.7,219,0,300,2153,28,20.1
792.77,3.630,3.1,4.6,218,0,302,2165,28,20.1
791.42,3.630,3.0,4.5,217,0,304,2178,28,20.2
790.07,3.640,2.9,4.4,217,0,306,2193,28,20.2
788.72,3.640,2.8,4.3,216,0,308,2206,28,20.2
787.76,3.640,2.8,4.2,216,0,310,2216,28,20.2
786.80,3.640,2.7,4.2,216,0,312,2225,28,20.2
785.84,3.640,2.5,4.2,215,0,314,2236,27,20.2
784.30,3.660,2.4,4.3,215,2,316,2251,27,20.2
782.96,3.670,2.4,4.3,215,0,318,2266,26,20.2
781.44,3.680,2.5,4.3,215,0,320,2280,23,20.2
780.29,3.670,2.7,4.4,215,0,322,2292,21,20.2
779.53,3.670,2.8,4.4,215,0,324,2301,20,20.3
778.58,3.690,2.9,4.4,214,0,326,2310,19,20.3
777.44,3.660,2.8,4.5,214,0,328,2322,18,20.3
776.30,3.670,2.8,4.5,214,0,330,2334,17,20.3
775.35,3.680,2.9,4.6,213,0,332,2345,16,20.3
774.41,3.660,2.9,4.6,212,0,334,2355,14,20.3
773.46,3.650,2.9,4.7,212,0,336,2364,13,20.3
772.52,3.650,3.0,4.8,211,0,338,2373,12,20.3
771.39,3.650,3.0,5.0,210,0,340,2385,12,20.3
770.26,3.660,2.9,5.2,209,0,342,2398,11,20.3
769.13,3.660,2.8,5.4,209,0,344,2409,11,20.3
768.01,3.650,2.7,5.6,208,0,346,2422,12,20.3
766.70,3.640,2.7,5.8,208,0,348,2434,12,20.3
765.57,3.640,2.6,6.0,209,0,350,2446,12,20.3
764.64,3.640,2.6,6.1,209,0,352,2457,12,20.4
763.71,3.630,2.5,6.2,210,0,354,2466,13,20.4
762.96,3.630,2.4,6.3,210,0,356,2473,13,20.4
762.22,3.640,2.5,6.3,212,0,358,2482,13,20.4
761.29,3.660,2.5,6.3,213,0,360,2492,12,20.4
760.36,3.710,2.6,6.3,215,0,362,2501,12,20.4
759.62,3.710,2.7,6.2,217,0,364,2510,11,20.4
758.69,3.740,2.7,6.1,219,0,366,2519,11,20.4
