
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2015-01-08,AEMET,1.0,Jose Luis Hernandez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A28902

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2015-01-07,10:47:00
* SOFTWARE: SNDPRO 1.321
* TROPOPAUSE IN MB 201
* Jose Luis

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
315.8,0,356.0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92-sgpw,,0.042,28.50,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
956.97,0.900,4.7,0.0,0,2,0,631,61,18.1
955.10,0.900,3.7,0.7,299,0,2,647,59,18.1
954.17,0.900,3.5,1.1,346,0,4,655,60,18.1
953.24,0.900,3.4,1.3,9,0,6,663,61,18.1
952.54,0.910,3.3,1.5,18,0,8,669,61,18.1
951.38,0.910,3.2,1.7,22,0,10,679,61,18.1
950.45,0.940,3.1,2.0,23,0,12,686,62,18.1
949.29,0.940,3.0,2.3,30,0,14,696,63,18.1
948.13,0.960,2.9,2.5,36,0,16,706,63,18.2
946.97,0.980,2.9,2.8,42,0,18,716,64,18.2
945.36,1.000,2.7,3.0,48,2,20,730,64,18.2
943.97,1.000,3.2,3.2,54,0,22,742,72,18.2
942.59,1.040,3.5,3.4,60,0,24,754,72,18.2
941.44,1.100,3.6,3.5,67,0,26,764,72,18.2
940.29,1.150,3.7,3.6,73,0,28,774,72,18.3
938.92,1.230,3.9,3.8,78,0,30,785,72,18.3
937.54,1.390,4.0,3.8,84,0,32,797,72,18.3
936.17,1.480,4.3,3.9,88,0,34,809,72,18.3
935.03,1.580,4.6,4.0,92,0,36,819,72,18.3
934.12,1.660,4.9,4.0,95,0,38,827,70,18.3
933.20,1.720,5.3,4.1,98,0,40,835,69,18.3
931.84,1.840,5.8,4.1,99,0,42,847,67,18.4
930.47,1.960,6.0,4.1,100,0,44,859,66,18.4
928.88,2.100,5.9,4.0,100,0,46,873,64,18.4
927.30,2.190,5.9,4.0,99,0,48,887,61,18.4
925.94,2.220,5.9,3.9,98,0,50,899,60,18.4
925.00,2.290,6.0,3.7,97,3,52,907,58,18.4
924.81,2.290,6.0,3.7,97,0,52,909,58,18.4
923.91,2.410,6.2,3.6,95,0,54,917,55,18.4
922.56,2.550,6.5,3.4,93,0,56,929,52,18.5
921.43,2.620,6.4,3.2,91,0,58,939,50,18.5
920.31,2.710,6.3,3.0,89,0,60,949,48,18.5
919.18,2.740,6.3,2.8,87,0,62,959,48,18.5
918.06,2.820,6.2,2.5,85,0,64,969,48,18.5
916.94,2.880,6.1,2.3,83,0,66,979,48,18.5
915.82,2.970,6.1,2.0,80,0,68,989,48,18.5
914.93,3.000,6.1,1.8,78,0,70,997,49,18.6
913.81,3.030,6.0,1.5,72,0,72,1007,49,18.6
912.70,3.140,5.9,1.3,64,2,74,1017,49,18.6
911.14,3.150,5.7,1.1,58,0,76,1031,50,18.6
909.81,3.160,5.6,1.0,49,0,78,1043,50,18.6
908.48,3.170,5.6,0.9,32,0,80,1055,51,18.6
907.37,3.170,5.7,0.8,11,0,82,1065,52,18.6
906.48,3.180,5.7,0.8,354,0,84,1073,53,18.6
904.93,3.180,5.6,0.9,339,0,86,1087,52,18.7
903.61,3.200,5.5,0.9,331,0,88,1099,53,18.7
902.51,3.230,5.4,1.0,326,0,90,1109,53,18.7
