Artega Sounding / Arteaga Sundaketa / Sondeo Arteaga - 2014/03/07 12:00UTC
Euskalmet: Basque Meteorology Agency / Euskal Meteorologia Agentzia / Agencia Vasca de Meteorologia
Basque Government / Eusko Jaurlaritza / Gobierno Vasco

-------------------------------------------------------------------------------------
PRES	HGHT	TEMP	DWPT	RELH	MIXR   	DRCT   	SKNT   	THTA   	THTE   	THTV
hPa	m	C	C	%	g/kg   	deg    	knot    K      	K      	K
-------------------------------------------------------------------------------------
1023.4	14.0	17.3	1.8	35.0	4.3	180.0	0.0	288.6	299.0	289.3
1022.2	24.0	14.9	3.7	47.0	4.9	41.6	0.7	286.3	298.2	287.1
1021.1	33.0	13.2	3.8	53.0	4.9	43.1	0.8	284.7	296.8	285.5
1019.9	43.0	13.1	4.7	56.0	5.2	35.2	0.8	284.7	297.5	285.6
1018.9	51.0	13.0	5.1	59.0	5.4	29.1	0.8	284.7	297.9	285.6
1017.9	60.0	12.9	5.4	60.0	5.5	21.5	0.8	284.7	298.2	285.6
1016.6	70.0	12.9	5.5	61.0	5.6	13.0	0.8	284.8	298.4	285.7
1015.2	82.0	12.9	5.4	60.0	5.5	2.9	0.8	284.9	298.4	285.8
1013.9	92.0	12.9	5.3	60.0	5.5	352.7	0.8	285.0	298.4	285.9
1012.7	103.0	12.9	5.3	60.0	5.5	340.1	0.7	285.1	298.6	286.0
1011.4	113.0	12.8	5.2	60.0	5.5	330.1	0.7	285.1	298.5	286.0
1010.2	124.0	12.7	4.9	59.0	5.4	319.2	0.7	285.1	298.3	286.0
1008.9	134.0	12.6	4.7	58.0	5.3	306.6	0.8	285.1	298.0	286.0
1007.9	143.0	12.6	4.7	58.0	5.3	295.9	0.8	285.2	298.2	286.1
1006.8	151.0	12.6	4.8	59.0	5.3	286.6	0.8	285.2	298.3	286.2
1005.7	160.0	12.6	4.7	59.0	5.3	277.5	0.7	285.3	298.4	286.2
1004.7	169.0	12.5	4.7	59.0	5.3	270.0	0.7	285.3	298.4	286.2
1003.6	179.0	12.5	4.8	59.0	5.3	262.1	0.7	285.4	298.5	286.3
1002.3	189.0	12.4	4.8	60.0	5.4	253.1	0.7	285.4	298.6	286.3
1001.0	200.0	12.4	4.8	60.0	5.4	247.5	0.6	285.5	298.8	286.4
999.6	212.0	12.3	4.8	60.0	5.4	244.4	0.5	285.5	298.8	286.5
998.3	223.0	12.2	4.8	60.0	5.4	243.4	0.4	285.5	298.8	286.5
997.0	234.0	12.1	4.7	60.0	5.4	241.9	0.3	285.5	298.8	286.5
995.7	244.0	12.0	4.7	61.0	5.4	248.2	0.2	285.6	298.7	286.5
994.5	255.0	11.9	4.7	61.0	5.4	279.5	0.1	285.5	298.8	286.5
993.3	264.0	11.8	4.7	61.0	5.4	341.6	0.1	285.5	298.8	286.5
992.2	274.0	11.8	4.7	62.0	5.4	5.2	0.2	285.6	298.9	286.6
990.9	285.0	11.7	4.7	62.0	5.4	10.6	0.3	285.6	298.9	286.6
989.6	296.0	11.6	4.6	62.0	5.4	9.0	0.4	285.7	298.9	286.6
988.4	306.0	11.5	4.6	63.0	5.4	6.0	0.4	285.7	298.9	286.6
987.2	316.0	11.4	4.6	63.0	5.4	357.0	0.4	285.6	298.9	286.6
985.9	327.0	11.3	4.6	64.0	5.4	340.6	0.4	285.7	299.0	286.6
984.6	338.0	11.2	4.6	64.0	5.4	312.5	0.3	285.7	299.0	286.6
983.2	350.0	11.0	4.6	65.0	5.4	278.5	0.4	285.6	298.9	286.5
981.9	362.0	10.9	4.6	65.0	5.4	255.1	0.6	285.6	298.9	286.5
980.5	373.0	10.8	4.6	66.0	5.5	245.1	0.9	285.6	299.0	286.5
979.2	384.0	10.8	4.8	67.0	5.5	239.3	1.2	285.7	299.3	286.7
978.0	395.0	10.7	5.1	68.0	5.6	235.9	1.6	285.7	299.6	286.7
976.8	405.0	10.6	5.1	69.0	5.7	232.9	2.0	285.7	299.6	286.7
975.6	415.0	10.5	5.1	69.0	5.7	230.6	2.4	285.7	299.6	286.7
974.4	425.0	10.4	5.2	70.0	5.7	229.0	2.8	285.7	299.7	286.7
973.3	435.0	10.4	5.2	71.0	5.7	228.2	3.2	285.8	299.9	286.8
972.0	446.0	10.2	5.2	71.0	5.7	227.7	3.5	285.7	299.8	286.7
970.6	457.0	10.1	5.1	71.0	5.7	227.1	3.8	285.7	299.8	286.7
969.2	469.0	10.1	5.1	71.0	5.7	226.4	4.0	285.8	299.8	286.8
967.8	482.0	10.0	5.0	71.0	5.7	225.6	4.2	285.9	299.9	286.8
966.5	493.0	10.0	5.0	71.0	5.7	224.8	4.4	286.0	299.9	286.9
965.1	505.0	9.9	4.9	71.0	5.7	224.3	4.4	286.0	299.9	287.0
963.7	517.0	9.8	4.9	72.0	5.7	223.4	4.5	286.0	299.9	287.0
962.2	530.0	9.7	4.9	72.0	5.7	222.5	4.5	286.0	299.9	287.0
960.8	542.0	9.6	4.7	71.0	5.6	221.1	4.5	286.0	299.8	287.0
959.7	552.0	9.6	4.6	71.0	5.5	219.7	4.5	286.1	299.8	287.1
958.5	562.0	9.5	4.5	71.0	5.5	217.8	4.5	286.1	299.7	287.1
957.2	573.0	9.4	4.4	71.0	5.5	215.7	4.5	286.2	299.7	287.1
955.8	585.0	9.3	4.4	71.0	5.5	213.6	4.6	286.2	299.7	287.1
954.3	598.0	9.2	4.3	72.0	5.5	211.2	4.7	286.2	299.7	287.1
952.8	611.0	9.0	4.3	72.0	5.5	208.4	4.9	286.1	299.6	287.1
951.3	625.0	8.9	4.3	73.0	5.5	205.5	5.1	286.2	299.7	287.1
949.8	637.0	8.7	4.3	74.0	5.5	202.8	5.4	286.1	299.6	287.0
948.7	647.0	8.6	4.3	74.0	5.5	200.2	5.7	286.1	299.6	287.0
947.5	657.0	8.5	4.3	74.0	5.5	197.7	6.1	286.1	299.6	287.0
946.1	670.0	8.5	4.1	74.0	5.4	195.3	6.4	286.2	299.6	287.1
944.8	681.0	8.6	3.5	70.0	5.2	192.9	6.8	286.4	299.3	287.3
943.5	692.0	8.7	2.8	67.0	5.0	190.8	7.1	286.6	298.9	287.5
942.3	703.0	8.7	2.5	65.0	4.9	189.0	7.5	286.7	298.7	287.6
941.2	713.0	8.7	2.4	65.0	4.8	187.2	7.8	286.8	298.7	287.6
939.9	724.0	8.7	2.1	63.0	4.8	185.7	8.0	286.9	298.6	287.7
938.7	735.0	8.8	1.9	62.0	4.7	184.3	8.3	287.1	298.7	287.9
937.4	746.0	8.8	1.9	62.0	4.7	183.0	8.4	287.3	298.8	288.1
936.1	758.0	8.8	1.8	62.0	4.7	181.9	8.6	287.4	298.9	288.2
934.9	769.0	8.7	1.7	61.0	4.6	180.9	8.7	287.4	298.8	288.2
933.6	780.0	8.7	1.9	62.0	4.7	180.0	8.7	287.5	299.1	288.3
932.4	791.0	8.7	2.1	63.0	4.8	179.2	8.7	287.6	299.4	288.4
931.3	801.0	8.6	2.1	64.0	4.8	178.3	8.7	287.6	299.4	288.4
930.2	810.0	8.5	2.1	64.0	4.8	177.7	8.6	287.6	299.4	288.4
928.9	822.0	8.5	2.1	64.0	4.8	177.2	8.5	287.7	299.5	288.5
927.5	834.0	8.4	2.0	64.0	4.8	176.9	8.3	287.7	299.5	288.5
926.3	845.0	8.4	1.9	64.0	4.7	177.0	8.1	287.8	299.5	288.6
925.2	855.0	8.3	1.6	62.0	4.6	177.3	7.9	287.8	299.2	288.6
924.3	863.0	8.3	1.3	61.0	4.6	178.1	7.7	287.9	299.1	288.7
923.6	869.0	8.3	1.2	61.0	4.5	179.5	7.4	288.0	299.1	288.7
922.8	876.0	8.3	1.2	61.0	4.5	181.7	7.1	288.0	299.1	288.8
921.7	886.0	8.3	0.9	60.0	4.4	184.5	6.9	288.1	299.1	288.9
920.4	898.0	8.3	0.4	57.0	4.3	188.0	6.7	288.2	298.8	289.0
918.8	912.0	8.4	-0.4	54.0	4.0	192.3	6.5	288.5	298.5	289.2
917.3	925.0	8.5	-1.0	51.0	3.9	196.8	6.4	288.7	298.3	289.4
916.0	937.0	8.4	-1.3	50.0	3.8	201.6	6.4	288.7	298.1	289.4
914.8	948.0	8.4	-1.4	50.0	3.8	206.0	6.5	288.9	298.1	289.5
913.7	958.0	8.3	-1.6	50.0	3.7	210.2	6.7	288.9	298.0	289.5
912.5	968.0	8.2	-1.6	50.0	3.7	213.7	6.8	288.9	298.0	289.5
911.3	979.0	8.0	-1.6	50.0	3.7	216.5	7.0	288.8	297.9	289.4
